Index        TIME             V(2)             TEMP
0       0.00000000e+00   7.15520836e+00   -5.50000000e+01  
1       1.00000000e-10   7.15520648e+00   -5.50000000e+01  
2       3.00000000e-10   7.15520559e+00   -5.50000000e+01  
3       7.00000000e-10   7.15520609e+00   -5.50000000e+01  
4       1.50000000e-09   7.15520611e+00   -5.50000000e+01  
5       3.10000000e-09   7.15520611e+00   -5.50000000e+01  
6       6.30000000e-09   7.15520611e+00   -5.50000000e+01  
7       1.27000000e-08   7.15520611e+00   -5.50000000e+01  
8       2.55000000e-08   7.15520611e+00   -5.50000000e+01  
9       5.11000000e-08   7.15520611e+00   -5.50000000e+01  
10      1.02300000e-07   7.15520611e+00   -5.50000000e+01  
11      2.04700000e-07   7.15520611e+00   -5.50000000e+01  
12      4.09500000e-07   7.15520611e+00   -5.50000000e+01  
13      8.19100000e-07   7.15520611e+00   -5.50000000e+01  
14      1.63830000e-06   7.15520611e+00   -5.50000000e+01  
15      3.27670000e-06   7.15520611e+00   -5.50000000e+01  
16      6.55350000e-06   7.15520611e+00   -5.50000000e+01  
17      1.31071000e-05   7.15520611e+00   -5.50000000e+01  
18      2.62143000e-05   7.15520611e+00   -5.50000000e+01  
19      5.24287000e-05   7.15520611e+00   -5.50000000e+01  
20      1.04857500e-04   7.15520611e+00   -5.50000000e+01  
21      2.04857500e-04   7.15520611e+00   -5.50000000e+01  
22      3.04857500e-04   7.15520611e+00   -5.50000000e+01  
23      4.04857500e-04   7.15520611e+00   -5.50000000e+01  
24      5.04857500e-04   7.15520611e+00   -5.50000000e+01  
25      6.04857500e-04   7.15520611e+00   -5.50000000e+01  
26      7.04857500e-04   7.15520611e+00   -5.50000000e+01  
27      8.04857500e-04   7.15520611e+00   -5.50000000e+01  
28      9.04857500e-04   7.15520611e+00   -5.50000000e+01  
29      1.00000000e-03   7.15520611e+00   -5.50000000e+01  
30      1.00000010e-03   7.15520611e+00   -5.50000000e+01  
31      1.00000030e-03   7.15520611e+00   -5.50000000e+01  
32      1.00000070e-03   7.15520611e+00   -5.50000000e+01  
33      1.00000150e-03   7.15520611e+00   -5.50000000e+01  
34      1.00000310e-03   7.15520611e+00   -5.50000000e+01  
35      1.00000630e-03   7.15520611e+00   -5.50000000e+01  
36      1.00001270e-03   7.15520611e+00   -5.50000000e+01  
37      1.00002550e-03   7.15520612e+00   -5.50000000e+01  
38      1.00005110e-03   7.15520612e+00   -5.50000000e+01  
39      1.00010230e-03   7.15520613e+00   -5.50000000e+01  
40      1.00020470e-03   7.15520614e+00   -5.50000000e+01  
41      1.00040950e-03   7.15520617e+00   -5.50000000e+01  
42      1.00081910e-03   7.15520622e+00   -5.50000000e+01  
43      1.00163830e-03   7.15520632e+00   -5.50000000e+01  
44      1.00327670e-03   7.15520654e+00   -5.50000000e+01  
45      1.00655350e-03   7.15520696e+00   -5.50000000e+01  
46      1.01310710e-03   7.15520781e+00   -5.50000000e+01  
47      1.02621430e-03   7.15520950e+00   -5.50000000e+01  
48      1.05242870e-03   7.15521289e+00   -5.50000000e+01  
49      1.10485750e-03   7.15521966e+00   -5.50000000e+01  
50      1.20971510e-03   7.15523320e+00   -5.50000000e+01  
51      1.41943030e-03   7.15526025e+00   -5.50000000e+01  
