Index        V(20)           I(VMON)
0       2.00000000e-01   2.34927043e-09   
1       2.16000000e-01   3.11926858e-09   
2       2.32000000e-01   4.14076901e-09   
3       2.48000000e-01   5.49648760e-09   
4       2.64000000e-01   7.29677437e-09   
5       2.80000000e-01   9.68940559e-09   
6       2.96000000e-01   1.28734403e-08   
7       3.12000000e-01   1.71191467e-08   
8       3.28000000e-01   2.27975133e-08   
9       3.44000000e-01   3.04249909e-08   
10      3.60000000e-01   4.07332668e-08   
11      3.76000000e-01   5.47810805e-08   
12      3.92000000e-01   7.41380519e-08   
13      4.08000000e-01   1.01193819e-07   
14      4.24000000e-01   1.39690757e-07   
15      4.40000000e-01   1.95668431e-07   
16      4.56000000e-01   2.79212174e-07   
17      4.72000000e-01   4.07943347e-07   
18      4.88000000e-01   6.14698988e-07   
19      5.04000000e-01   9.63848647e-07   
20      5.20000000e-01   1.57254710e-06   
21      5.36000000e-01   2.62782337e-06   
22      5.52000000e-01   4.43779728e-06   
23      5.68000000e-01   7.54056871e-06   
24      5.84000000e-01   1.28818864e-05   
25      6.00000000e-01   2.21229928e-05   
26      6.16000000e-01   3.81852518e-05   
27      6.32000000e-01   6.62136303e-05   
28      6.48000000e-01   1.15279517e-04   
29      6.64000000e-01   2.01386059e-04   
30      6.80000000e-01   3.52758061e-04   
31      6.96000000e-01   6.19105409e-04   
32      7.12000000e-01   1.08769234e-03   
33      7.28000000e-01   1.91073893e-03   
34      7.44000000e-01   3.35071273e-03   
35      7.60000000e-01   5.85100743e-03   
36      7.76000000e-01   1.01346930e-02   
37      7.92000000e-01   1.73131982e-02   
38      8.08000000e-01   2.89390211e-02   
39      8.24000000e-01   4.68816784e-02   
40      8.40000000e-01   7.29405973e-02   
41      8.56000000e-01   1.08321996e-01   
42      8.72000000e-01   1.53315206e-01   
43      8.88000000e-01   2.07371472e-01   
44      9.04000000e-01   2.69445421e-01   
45      9.20000000e-01   3.38338758e-01   
46      9.36000000e-01   4.12915355e-01   
47      9.52000000e-01   4.92192785e-01   
48      9.68000000e-01   5.75359770e-01   
49      9.84000000e-01   6.61760573e-01   
50      1.00000000e+00   7.50869248e-01   
End of Xyce(TM) Simulation
