Index       TIME              V(1)            V(RC_OUT)         V(RG_OUT)    
31       1.90996094e-09    9.09960938e-01    9.09960938e-01    9.09960938e-01
32       2.00000000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
33       2.01500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
34       2.04500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
35       2.10500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
36       2.22500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
37       2.37500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
38       2.52500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
39       2.67500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
40       2.82500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
41       2.97500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
42       3.12500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
43       3.27500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
44       3.42500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
45       3.57500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
46       3.72500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
47       3.87500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
48       4.02500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
49       4.17500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
50       4.32500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
51       4.47500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
52       4.62500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
53       4.77500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
54       4.92500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
55       5.07500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
56       5.22500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
57       5.37500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
58       5.52500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
59       5.67500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
60       5.82500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
61       5.97500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
62       6.12500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
63       6.27500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
64       6.42500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
65       6.57500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
66       6.72500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
67       6.87500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
68       7.02500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
69       7.17500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
70       7.32500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
71       7.47500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
72       7.62500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
73       7.77500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
74       7.92500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
75       8.07500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
76       8.22500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
77       8.37500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
78       8.52500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
79       8.67500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
80       8.82500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
81       8.97500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
82       9.12500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
83       9.27500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
84       9.42500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
85       9.57500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
86       9.72500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
87       9.87500000e-09    1.00000000e+00    1.00000000e+00    1.00000000e+00
88       1.00250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
89       1.01750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
90       1.03250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
91       1.04750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
92       1.06250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
93       1.07750000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
94       1.09250000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
