Index        TIME          {1.0+V(1)}       {1.0+V(2)}       {3.0+V(3)}
0       0.00000000e+00   1.00000000e+00   4.21757640e+00   6.21744770e+00   
1       5.00000000e-12   1.00000000e+00   4.21757640e+00   6.21744770e+00   
2       1.50000000e-11   1.00000000e+00   4.21757640e+00   6.21744770e+00   
3       3.50000000e-11   1.00000000e+00   4.21757640e+00   6.21744770e+00   
4       7.50000000e-11   1.00000000e+00   4.21757640e+00   6.21744770e+00   
5       1.55000000e-10   1.00000000e+00   4.21757640e+00   6.21744770e+00   
6       2.55000000e-10   1.00000000e+00   4.21757640e+00   6.21744770e+00   
7       3.55000000e-10   1.00000000e+00   4.21757640e+00   6.21744770e+00   
8       4.55000000e-10   1.00000000e+00   4.21757640e+00   6.21744770e+00   
9       5.55000000e-10   1.00000000e+00   4.21757640e+00   6.21744770e+00   
10      6.55000000e-10   1.00000000e+00   4.21757640e+00   6.21744770e+00   
11      7.55000000e-10   1.00000000e+00   4.21757640e+00   6.21744770e+00   
12      8.55000000e-10   1.00000000e+00   4.21757640e+00   6.21744770e+00   
13      9.55000000e-10   1.00000000e+00   4.21757640e+00   6.21744770e+00   
14      1.00000000e-09   1.00000000e+00   4.21757640e+00   6.21744770e+00   
15      1.01000000e-09   1.04000000e+00   4.21783005e+00   6.21744770e+00   
16      1.01718562e-09   1.06874249e+00   4.21796872e+00   6.21744770e+00   
17      1.03155687e-09   1.12622746e+00   4.21811592e+00   6.21744770e+00   
18      1.06029935e-09   1.24119741e+00   4.21799836e+00   6.21744770e+00   
19      1.08904184e-09   1.35616736e+00   4.21786426e+00   6.21744770e+00   
20      1.11778433e-09   1.47113732e+00   4.21790925e+00   6.21744770e+00   
21      1.14652682e-09   1.58610727e+00   4.21797017e+00   6.21744770e+00   
22      1.20401179e-09   1.81604717e+00   4.21801898e+00   6.21744770e+00   
23      1.26149677e-09   2.04598707e+00   4.21803151e+00   6.21744770e+00   
24      1.37646672e-09   2.50586687e+00   4.21819287e+00   6.21744770e+00   
25      1.49143667e-09   2.96574668e+00   4.21845062e+00   6.21744770e+00   
26      1.59202883e-09   3.36811532e+00   4.21847029e+00   6.21744770e+00   
27      1.69262099e-09   3.77048396e+00   4.21837720e+00   6.21744770e+00   
28      1.79321315e-09   4.17285260e+00   4.21802178e+00   6.21744770e+00   
29      1.89380531e-09   4.57522124e+00   4.21444908e+00   6.21744770e+00   
30      1.99439747e-09   4.97758988e+00   4.18526526e+00   6.21744770e+00   
31      2.00000000e-09   5.00000000e+00   4.18200121e+00   6.21744770e+00   
32      2.00905329e-09   5.00000000e+00   4.17570845e+00   6.21744770e+00   
33      2.01720126e-09   5.00000000e+00   4.16948019e+00   6.21744770e+00   
34      2.03349719e-09   5.00000000e+00   4.15540581e+00   6.21744770e+00   
35      2.06608905e-09   5.00000000e+00   4.12006749e+00   6.21744770e+00   
36      2.09868091e-09   5.00000000e+00   4.07846104e+00   6.21744770e+00   
37      2.13127277e-09   5.00000000e+00   4.03544459e+00   6.21744770e+00   
38      2.16386463e-09   5.00000000e+00   3.99284278e+00   6.21744770e+00   
39      2.19645649e-09   5.00000000e+00   3.94938035e+00   6.21744770e+00   
40      2.22904835e-09   5.00000000e+00   3.90436823e+00   6.21744770e+00   
41      2.26164021e-09   5.00000000e+00   3.85783600e+00   6.21744770e+00   
42      2.29423207e-09   5.00000000e+00   3.81000173e+00   6.21744770e+00   
43      2.32682393e-09   5.00000000e+00   3.75646608e+00   6.21744770e+00   
44      2.35941579e-09   5.00000000e+00   3.68659491e+00   6.21744770e+00   
45      2.39200765e-09   5.00000000e+00   3.59167999e+00   6.21744770e+00   
46      2.42459951e-09   5.00000000e+00   3.46512907e+00   6.21744770e+00   
47      2.45719137e-09   5.00000000e+00   3.30796588e+00   6.21744770e+00   
48      2.48978323e-09   5.00000000e+00   3.13222496e+00   6.21744770e+00   
49      2.55496695e-09   5.00000000e+00   2.80727628e+00   6.21744770e+00   
50      2.61363230e-09   5.00000000e+00   2.57818754e+00   6.21744770e+00   
51      2.67229764e-09   5.00000000e+00   2.39709577e+00   6.21744770e+00   
52      2.73096299e-09   5.00000000e+00   2.23978328e+00   6.21744770e+00   
53      2.78962834e-09   5.00000000e+00   2.08956896e+00   6.21744770e+00   
54      2.84829369e-09   5.00000000e+00   1.92393275e+00   6.21744770e+00   
55      2.90109250e-09   5.00000000e+00   1.73268618e+00   6.21744770e+00   
56      2.94861143e-09   5.00000000e+00   1.56289916e+00   6.21744770e+00   
57      2.99137847e-09   5.00000000e+00   1.46015438e+00   6.21744770e+00   
58      3.02925229e-09   5.00000000e+00   1.38194329e+00   6.21744770e+00   
59      3.06712611e-09   5.00000000e+00   1.29850236e+00   6.21744770e+00   
60      3.10499992e-09   5.00000000e+00   1.22232866e+00   6.21744770e+00   
61      3.14287374e-09   5.00000000e+00   1.16859406e+00   6.21744770e+00   
62      3.18074756e-09   5.00000000e+00   1.15097408e+00   6.21744770e+00   
63      3.21862137e-09   5.00000000e+00   1.15046626e+00   6.21744770e+00   
64      3.25649519e-09   5.00000000e+00   1.14982522e+00   6.21744770e+00   
65      3.29436901e-09   5.00000000e+00   1.14965015e+00   6.21744770e+00   
66      3.33224283e-09   5.00000000e+00   1.14951352e+00   6.21744770e+00   
67      3.40799046e-09   5.00000000e+00   1.14937241e+00   6.21744770e+00   
68      3.48373810e-09   5.00000000e+00   1.14929902e+00   6.21744770e+00   
69      3.63373810e-09   5.00000000e+00   1.14915884e+00   6.21744770e+00   
70      3.78373810e-09   5.00000000e+00   1.14904925e+00   6.21744770e+00   
71      3.93373810e-09   5.00000000e+00   1.14891285e+00   6.21744770e+00   
72      4.08373810e-09   5.00000000e+00   1.14877866e+00   6.21744770e+00   
73      4.23373810e-09   5.00000000e+00   1.14859110e+00   6.21744770e+00   
74      4.38373810e-09   5.00000000e+00   1.14840432e+00   6.21744770e+00   
75      4.53373810e-09   5.00000000e+00   1.14818515e+00   6.21744770e+00   
76      4.68373810e-09   5.00000000e+00   1.14798947e+00   6.21744770e+00   
77      4.83373810e-09   5.00000000e+00   1.14777174e+00   6.21744770e+00   
78      4.98373810e-09   5.00000000e+00   1.14752353e+00   6.21744770e+00   
79      5.13373810e-09   5.00000000e+00   1.14710594e+00   6.21744770e+00   
80      5.28373810e-09   5.00000000e+00   1.14727933e+00   6.21744770e+00   
81      5.41873810e-09   5.00000000e+00   1.14867135e+00   6.21767469e+00   
82      5.52894647e-09   5.00000000e+00   1.15068456e+00   6.21792167e+00   
83      5.63915485e-09   5.00000000e+00   1.15301637e+00   6.21804318e+00   
84      5.74936323e-09   5.00000000e+00   1.15555292e+00   6.21819050e+00   
85      5.85957160e-09   5.00000000e+00   1.15826895e+00   6.21841683e+00   
86      5.96977998e-09   5.00000000e+00   1.16108199e+00   6.21866363e+00   
87      6.07998836e-09   5.00000000e+00   1.16370302e+00   6.21880268e+00   
88      6.19019674e-09   5.00000000e+00   1.16602848e+00   6.21861657e+00   
89      6.30040511e-09   5.00000000e+00   1.16802162e+00   6.21544741e+00   
90      6.41061349e-09   5.00000000e+00   1.16974697e+00   6.19328460e+00   
91      6.52082187e-09   5.00000000e+00   1.17120124e+00   6.11549592e+00   
92      6.63103025e-09   5.00000000e+00   1.17248554e+00   5.96807472e+00   
93      6.74123862e-09   5.00000000e+00   1.17359534e+00   5.75723253e+00   
94      6.85144700e-09   5.00000000e+00   1.17463245e+00   5.40422569e+00   
95      6.86549678e-09   5.00000000e+00   1.17474908e+00   5.34069282e+00   
96      6.87954656e-09   5.00000000e+00   1.17487281e+00   5.27496379e+00   
97      6.90764612e-09   5.00000000e+00   1.17511800e+00   5.13195164e+00   
