Index        TIME          {1.0+V(5)}
0       0.00000000e+00   1.00000000e+00   
1       5.00000000e-12   1.00000000e+00   
2       1.50000000e-11   1.00000000e+00   
3       3.50000000e-11   1.00000000e+00   
4       7.50000000e-11   1.00000000e+00   
5       1.55000000e-10   1.00000000e+00   
6       2.55000000e-10   1.00000000e+00   
7       3.55000000e-10   1.00000000e+00   
8       4.55000000e-10   1.00000000e+00   
9       5.55000000e-10   1.00000000e+00   
10      6.55000000e-10   1.00000000e+00   
11      7.55000000e-10   1.00000000e+00   
12      8.55000000e-10   1.00000000e+00   
13      9.55000000e-10   1.00000000e+00   
14      1.00000000e-09   1.00000000e+00   
15      1.01000000e-09   1.00000000e+00   
16      1.01808622e-09   1.00000000e+00   
17      1.03425866e-09   1.00000000e+00   
18      1.06660354e-09   1.00000000e+00   
19      1.09894842e-09   1.00000000e+00   
20      1.13129330e-09   1.00000000e+00   
21      1.16363818e-09   1.00000000e+00   
22      1.22832794e-09   1.00000000e+00   
23      1.29301770e-09   1.00000000e+00   
24      1.39301770e-09   1.00000000e+00   
25      1.49301770e-09   1.00000000e+00   
26      1.59301770e-09   1.00000000e+00   
27      1.69301770e-09   1.00000000e+00   
28      1.79301770e-09   1.00000000e+00   
29      1.89301770e-09   1.00000000e+00   
30      1.99301770e-09   1.00000000e+00   
31      2.00000000e-09   1.00000000e+00   
32      2.01000000e-09   1.00000000e+00   
33      2.02000000e-09   1.00000000e+00   
34      2.04000000e-09   1.00000000e+00   
35      2.08000000e-09   1.00000000e+00   
36      2.12000000e-09   1.00000000e+00   
37      2.16000000e-09   1.00000000e+00   
38      2.20000000e-09   1.00000000e+00   
39      2.24000000e-09   1.00000000e+00   
40      2.28000000e-09   1.00000000e+00   
41      2.29000000e-09   1.00000000e+00   
42      2.31000000e-09   1.00000000e+00   
43      2.35000000e-09   1.00000000e+00   
44      2.38600000e-09   1.00000000e+00   
45      2.42200000e-09   1.00000000e+00   
46      2.45800000e-09   1.00000000e+00   
47      2.49400000e-09   1.00000000e+00   
48      2.53000000e-09   1.00000000e+00   
49      2.56600000e-09   1.00000000e+00   
50      2.60200000e-09   1.00000000e+00   
51      2.63800000e-09   1.00000000e+00   
52      2.67400000e-09   1.00000000e+00   
53      2.71000000e-09   1.00000000e+00   
54      2.74600000e-09   1.00000000e+00   
55      2.78200000e-09   1.00000000e+00   
56      2.81800000e-09   1.00000000e+00   
57      2.85400000e-09   1.00000000e+00   
58      2.89000000e-09   1.00000000e+00   
59      2.92600000e-09   1.00000000e+00   
60      2.96200000e-09   1.00000000e+00   
61      2.99800000e-09   1.00000000e+00   
62      3.03400000e-09   1.00000000e+00   
63      3.07000000e-09   1.00000000e+00   
64      3.10600000e-09   1.00000000e+00   
65      3.14200000e-09   1.00000000e+00   
66      3.17800000e-09   1.00000000e+00   
67      3.21400000e-09   1.00000000e+00   
68      3.25000000e-09   1.00000000e+00   
69      3.28600000e-09   1.00000000e+00   
70      3.32200000e-09   1.00000000e+00   
71      3.35800000e-09   1.00000000e+00   
72      3.39400000e-09   1.00000000e+00   
73      3.43000000e-09   1.00000000e+00   
74      3.46600000e-09   1.00000000e+00   
75      3.50200000e-09   1.00000000e+00   
76      3.53800000e-09   1.00000000e+00   
77      3.57400000e-09   1.00000000e+00   
78      3.61000000e-09   1.00000000e+00   
79      3.64600000e-09   1.00000000e+00   
80      3.68200000e-09   1.00000000e+00   
81      3.71800000e-09   1.00000000e+00   
82      3.75400000e-09   1.00000000e+00   
83      3.79000000e-09   1.00000000e+00   
84      3.82600000e-09   1.00000000e+00   
85      3.86200000e-09   1.00000000e+00   
86      3.89800000e-09   1.00000000e+00   
87      3.93400000e-09   1.00000000e+00   
88      3.97000000e-09   1.00000000e+00   
89      4.00600000e-09   1.00000000e+00   
90      4.04200000e-09   1.00000000e+00   
91      4.07800000e-09   1.00000000e+00   
92      4.11400000e-09   1.00000000e+00   
93      4.15000000e-09   1.00000000e+00   
94      4.18600000e-09   1.00000000e+00   
95      4.22200000e-09   1.00000000e+00   
96      4.25800000e-09   1.00000000e+00   
97      4.29400000e-09   1.00000000e+00   
98      4.33000000e-09   1.00000000e+00   
99      4.36600000e-09   1.00000000e+00   
100     4.40200000e-09   1.00000000e+00   
101     4.43800000e-09   1.00000000e+00   
102     4.47400000e-09   1.00000000e+00   
103     4.51000000e-09   1.00000000e+00   
104     4.54600000e-09   1.00000000e+00   
105     4.58200000e-09   1.00000000e+00   
106     4.61800000e-09   1.00000000e+00   
107     4.65400000e-09   1.00000000e+00   
108     4.69000000e-09   1.00000000e+00   
109     4.72600000e-09   1.00000000e+00   
110     4.76200000e-09   1.00000000e+00   
111     4.79800000e-09   1.00000000e+00   
112     4.83400000e-09   1.00000000e+00   
113     4.87000000e-09   1.00000000e+00   
114     4.90600000e-09   1.00000000e+00   
115     4.94200000e-09   1.00000000e+00   
116     4.97800000e-09   1.00000000e+00   
117     5.01400000e-09   9.99981399e-01   
118     5.05000000e-09   9.99918554e-01   
119     5.08600000e-09   9.99822410e-01   
120     5.12200000e-09   9.99779249e-01   
121     5.15800000e-09   9.99797401e-01   
122     5.19400000e-09   9.99851835e-01   
123     5.23000000e-09   9.99854976e-01   
124     5.26600000e-09   9.99839244e-01   
125     5.30200000e-09   9.99812895e-01   
126     5.33800000e-09   9.99801638e-01   
127     5.37400000e-09   9.99792261e-01   
128     5.41000000e-09   9.99778707e-01   
129     5.44600000e-09   9.99750081e-01   
130     5.48200000e-09   9.99713182e-01   
131     5.51800000e-09   9.99679081e-01   
132     5.55400000e-09   9.99652862e-01   
133     5.59000000e-09   9.99629310e-01   
134     5.62600000e-09   9.99621415e-01   
135     5.66200000e-09   9.99627024e-01   
136     5.69800000e-09   9.99643607e-01   
137     5.73400000e-09   9.99655719e-01   
138     5.77000000e-09   9.99719609e-01   
139     5.80600000e-09   9.99840624e-01   
140     5.84200000e-09   1.00001753e+00   
141     5.87800000e-09   1.00020183e+00   
142     5.91400000e-09   1.00064256e+00   
143     5.95000000e-09   1.00133011e+00   
144     5.98600000e-09   1.00336268e+00   
145     6.02200000e-09   1.00732225e+00   
146     6.05800000e-09   1.01283039e+00   
147     6.09400000e-09   1.02286193e+00   
148     6.13000000e-09   1.03795335e+00   
149     6.16600000e-09   1.05666277e+00   
150     6.20200000e-09   1.07649796e+00   
151     6.23800000e-09   1.09602959e+00   
152     6.27400000e-09   1.11594597e+00   
153     6.31000000e-09   1.13669945e+00   
154     6.34600000e-09   1.15817626e+00   
155     6.38200000e-09   1.18080328e+00   
