Index        TIME             V(1)             V(2)             V(3)             V(4)
57      4.05652225e-05   8.92366625e-01   4.46183312e-01   8.92366625e-01   4.46183312e-01   
58      4.12717444e-05   8.75779604e-01   4.37889802e-01   8.75779604e-01   4.37889802e-01   
59      4.19782662e-05   8.58088149e-01   4.29044074e-01   8.58088149e-01   4.29044074e-01   
60      4.26847880e-05   8.39314569e-01   4.19657285e-01   8.39314569e-01   4.19657285e-01   
61      4.33913099e-05   8.19482541e-01   4.09741270e-01   8.19482541e-01   4.09741270e-01   
62      4.40978317e-05   7.98617073e-01   3.99308536e-01   7.98617073e-01   3.99308536e-01   
63      4.48043535e-05   7.76744479e-01   3.88372239e-01   7.76744479e-01   3.88372239e-01   
64      4.55108754e-05   7.53892342e-01   3.76946171e-01   7.53892342e-01   3.76946171e-01   
65      4.62173972e-05   7.30089481e-01   3.65044741e-01   7.30089481e-01   3.65044741e-01   
66      4.69239190e-05   7.05365914e-01   3.52682957e-01   7.05365914e-01   3.52682957e-01   
67      4.76304408e-05   6.79752818e-01   3.39876409e-01   6.79752818e-01   3.39876409e-01   
68      4.83369627e-05   6.53282494e-01   3.26641247e-01   6.53282494e-01   3.26641247e-01   
69      4.90434845e-05   6.25988324e-01   3.12994162e-01   6.25988324e-01   3.12994162e-01   
70      4.97500063e-05   5.97904728e-01   2.98952364e-01   5.97904728e-01   2.98952364e-01   
71      5.04565282e-05   5.69067121e-01   2.84533561e-01   5.69067121e-01   2.84533561e-01   
72      5.11630500e-05   5.39511871e-01   2.69755936e-01   5.39511871e-01   2.69755936e-01   
73      5.18695718e-05   5.09276250e-01   2.54638125e-01   5.09276250e-01   2.54638125e-01   
74      5.25760937e-05   4.78398386e-01   2.39199193e-01   4.78398386e-01   2.39199193e-01   
75      5.32826155e-05   4.46917221e-01   2.23458610e-01   4.46917221e-01   2.23458610e-01   
76      5.39891373e-05   4.14872453e-01   2.07436227e-01   4.14872453e-01   2.07436227e-01   
77      5.46956592e-05   3.82304495e-01   1.91152248e-01   3.82304495e-01   1.91152248e-01   
78      5.54021810e-05   3.49254418e-01   1.74627209e-01   3.49254418e-01   1.74627209e-01   
79      5.61087028e-05   3.15763900e-01   1.57881950e-01   3.15763900e-01   1.57881950e-01   
80      5.68152246e-05   2.81875176e-01   1.40937588e-01   2.81875176e-01   1.40937588e-01   
81      5.75217465e-05   2.47630983e-01   1.23815492e-01   2.47630983e-01   1.23815492e-01   
82      5.82282683e-05   2.13074506e-01   1.06537253e-01   2.13074506e-01   1.06537253e-01   
83      5.89347901e-05   1.78249323e-01   8.91246614e-02   1.78249323e-01   8.91246614e-02   
84      5.96413120e-05   1.43199352e-01   7.15996759e-02   1.43199352e-01   7.15996759e-02   
85      6.03478338e-05   1.07968794e-01   5.39843970e-02   1.07968794e-01   5.39843970e-02   
86      6.10543556e-05   7.26020780e-02   3.63010390e-02   7.26020780e-02   3.63010390e-02   
87      6.17608775e-05   3.71438044e-02   1.85719022e-02   3.71438044e-02   1.85719022e-02   
88      6.24673993e-05   1.63868929e-03   8.19344646e-04   1.63868929e-03   8.19344646e-04   
89      6.31739211e-05   -3.38684924e-02  -1.69342462e-02  -3.38684924e-02  -1.69342462e-02  
90      6.38804430e-05   -6.93329629e-02  -3.46664815e-02  -6.93329629e-02  -3.46664815e-02  
91      6.45869648e-05   -1.04709999e-01  -5.23549993e-02  -1.04709999e-01  -5.23549993e-02  
92      6.52934866e-05   -1.39954986e-01  -6.99774928e-02  -1.39954986e-01  -6.99774928e-02  
93      6.60000085e-05   -1.75023477e-01  -8.75117387e-02  -1.75023477e-01  -8.75117387e-02  
94      6.67065303e-05   -2.09871249e-01  -1.04935625e-01  -2.09871249e-01  -1.04935625e-01  
95      6.74130521e-05   -2.44454355e-01  -1.22227177e-01  -2.44454355e-01  -1.22227177e-01  
96      6.81195739e-05   -2.78729182e-01  -1.39364591e-01  -2.78729182e-01  -1.39364591e-01  
97      6.88260958e-05   -3.12652508e-01  -1.56326254e-01  -3.12652508e-01  -1.56326254e-01  
98      6.95326176e-05   -3.46181551e-01  -1.73090775e-01  -3.46181551e-01  -1.73090775e-01  
99      7.02391394e-05   -3.79274029e-01  -1.89637014e-01  -3.79274029e-01  -1.89637014e-01  
100     7.09456613e-05   -4.11888209e-01  -2.05944105e-01  -4.11888209e-01  -2.05944105e-01  
101     7.16521831e-05   -4.43982962e-01  -2.21991481e-01  -4.43982962e-01  -2.21991481e-01  
102     7.23587049e-05   -4.75517814e-01  -2.37758907e-01  -4.75517814e-01  -2.37758907e-01  
103     7.30652268e-05   -5.06452996e-01  -2.53226498e-01  -5.06452996e-01  -2.53226498e-01  
104     7.37717486e-05   -5.36749497e-01  -2.68374748e-01  -5.36749497e-01  -2.68374748e-01  
105     7.44782704e-05   -5.66369109e-01  -2.83184555e-01  -5.66369109e-01  -2.83184555e-01  
106     7.51847923e-05   -5.95274481e-01  -2.97637240e-01  -5.95274481e-01  -2.97637240e-01  
107     7.58913141e-05   -6.23429159e-01  -3.11714580e-01  -6.23429159e-01  -3.11714580e-01  
108     7.65978359e-05   -6.50797639e-01  -3.25398819e-01  -6.50797639e-01  -3.25398819e-01  
109     7.73043577e-05   -6.77345405e-01  -3.38672703e-01  -6.77345405e-01  -3.38672703e-01  
110     7.80108796e-05   -7.03038980e-01  -3.51519490e-01  -7.03038980e-01  -3.51519490e-01  
111     7.87174014e-05   -7.27845961e-01  -3.63922981e-01  -7.27845961e-01  -3.63922981e-01  
112     7.94239232e-05   -7.51735065e-01  -3.75867533e-01  -7.51735065e-01  -3.75867533e-01  
113     8.01304451e-05   -7.74676165e-01  -3.87338083e-01  -7.74676165e-01  -3.87338083e-01  
114     8.08369669e-05   -7.96640331e-01  -3.98320165e-01  -7.96640331e-01  -3.98320165e-01  
115     8.15434887e-05   -8.17599863e-01  -4.08799931e-01  -8.17599863e-01  -4.08799931e-01  
116     8.22500106e-05   -8.37528330e-01  -4.18764165e-01  -8.37528330e-01  -4.18764165e-01  
117     8.29565324e-05   -8.56400601e-01  -4.28200300e-01  -8.56400601e-01  -4.28200300e-01  
118     8.36630542e-05   -8.74192876e-01  -4.37096438e-01  -8.74192876e-01  -4.37096438e-01  
119     8.43695761e-05   -8.90882716e-01  -4.45441358e-01  -8.90882716e-01  -4.45441358e-01  
120     8.50760979e-05   -9.06449076e-01  -4.53224538e-01  -9.06449076e-01  -4.53224538e-01  
121     8.57826197e-05   -9.20872324e-01  -4.60436162e-01  -9.20872324e-01  -4.60436162e-01  
122     8.64891416e-05   -9.34134272e-01  -4.67067136e-01  -9.34134272e-01  -4.67067136e-01  
123     8.71956634e-05   -9.46218194e-01  -4.73109097e-01  -9.46218194e-01  -4.73109097e-01  
124     8.79021852e-05   -9.57108853e-01  -4.78554426e-01  -9.57108853e-01  -4.78554426e-01  
125     8.86087070e-05   -9.66792513e-01  -4.83396257e-01  -9.66792513e-01  -4.83396257e-01  
126     8.93152289e-05   -9.75256963e-01  -4.87628482e-01  -9.75256963e-01  -4.87628482e-01  
127     9.00217507e-05   -9.82491529e-01  -4.91245765e-01  -9.82491529e-01  -4.91245765e-01  
128     9.07282725e-05   -9.88487088e-01  -4.94243544e-01  -9.88487088e-01  -4.94243544e-01  
129     9.14347944e-05   -9.93236077e-01  -4.96618038e-01  -9.93236077e-01  -4.96618038e-01  
130     9.21413162e-05   -9.96732509e-01  -4.98366254e-01  -9.96732509e-01  -4.98366254e-01  
131     9.28478380e-05   -9.98971973e-01  -4.99485987e-01  -9.98971973e-01  -4.99485987e-01  
132     9.35543599e-05   -9.99951647e-01  -4.99975824e-01  -9.99951647e-01  -4.99975824e-01  
133     9.42608817e-05   -9.99670294e-01  -4.99835147e-01  -9.99670294e-01  -4.99835147e-01  
134     9.49674035e-05   -9.98128270e-01  -4.99064135e-01  -9.98128270e-01  -4.99064135e-01  
135     9.56739254e-05   -9.95327518e-01  -4.97663759e-01  -9.95327518e-01  -4.97663759e-01  
136     9.63804472e-05   -9.91271571e-01  -4.95635785e-01  -9.91271571e-01  -4.95635785e-01  
137     9.70869690e-05   -9.85965544e-01  -4.92982772e-01  -9.85965544e-01  -4.92982772e-01  
138     9.77934908e-05   -9.79416128e-01  -4.89708064e-01  -9.79416128e-01  -4.89708064e-01  
139     9.85000127e-05   -9.71631582e-01  -4.85815791e-01  -9.71631582e-01  -4.85815791e-01  
140     9.92065345e-05   -9.62621724e-01  -4.81310862e-01  -9.62621724e-01  -4.81310862e-01  
141     9.99130563e-05   -9.52397916e-01  -4.76198958e-01  -9.52397916e-01  -4.76198958e-01  
142     1.00619578e-04   -9.40973051e-01  -4.70486525e-01  -9.40973051e-01  -4.70486525e-01  
143     1.01326100e-04   -9.28361536e-01  -4.64180768e-01  -9.28361536e-01  -4.64180768e-01  
144     1.02032622e-04   -9.14579276e-01  -4.57289638e-01  -9.14579276e-01  -4.57289638e-01  
145     1.02739144e-04   -8.99643651e-01  -4.49821826e-01  -8.99643651e-01  -4.49821826e-01  
146     1.03445665e-04   -8.83573497e-01  -4.41786749e-01  -8.83573497e-01  -4.41786749e-01  
147     1.04152187e-04   -8.66389080e-01  -4.33194540e-01  -8.66389080e-01  -4.33194540e-01  
148     1.04858709e-04   -8.48112070e-01  -4.24056035e-01  -8.48112070e-01  -4.24056035e-01  
149     1.05565231e-04   -8.28765516e-01  -4.14382758e-01  -8.28765516e-01  -4.14382758e-01  
150     1.06271753e-04   -8.08373817e-01  -4.04186909e-01  -8.08373817e-01  -4.04186909e-01  
151     1.06978275e-04   -7.86962688e-01  -3.93481344e-01  -7.86962688e-01  -3.93481344e-01  
152     1.07684796e-04   -7.64559129e-01  -3.82279565e-01  -7.64559129e-01  -3.82279565e-01  
153     1.08391318e-04   -7.41191395e-01  -3.70595697e-01  -7.41191395e-01  -3.70595697e-01  
154     1.09097840e-04   -7.16888953e-01  -3.58444477e-01  -7.16888953e-01  -3.58444477e-01  
155     1.09804362e-04   -6.91682452e-01  -3.45841226e-01  -6.91682452e-01  -3.45841226e-01  
156     1.10510884e-04   -6.65603678e-01  -3.32801839e-01  -6.65603678e-01  -3.32801839e-01  
157     1.11217406e-04   -6.38685521e-01  -3.19342760e-01  -6.38685521e-01  -3.19342760e-01  
158     1.11923927e-04   -6.10961924e-01  -3.05480962e-01  -6.10961924e-01  -3.05480962e-01  
159     1.12630449e-04   -5.82467851e-01  -2.91233926e-01  -5.82467851e-01  -2.91233926e-01  
160     1.13336971e-04   -5.53239236e-01  -2.76619618e-01  -5.53239236e-01  -2.76619618e-01  
161     1.14043493e-04   -5.23312937e-01  -2.61656468e-01  -5.23312937e-01  -2.61656468e-01  
162     1.14750015e-04   -4.92726695e-01  -2.46363347e-01  -4.92726695e-01  -2.46363347e-01  
163     1.15456537e-04   -4.61519081e-01  -2.30759540e-01  -4.61519081e-01  -2.30759540e-01  
164     1.16163058e-04   -4.29729451e-01  -2.14864726e-01  -4.29729451e-01  -2.14864726e-01  
165     1.16869580e-04   -3.97397895e-01  -1.98698947e-01  -3.97397895e-01  -1.98698947e-01  
166     1.17576102e-04   -3.64565185e-01  -1.82282593e-01  -3.64565185e-01  -1.82282593e-01  
167     1.18282624e-04   -3.31272727e-01  -1.65636363e-01  -3.31272727e-01  -1.65636363e-01  
168     1.18989146e-04   -2.97562504e-01  -1.48781252e-01  -2.97562504e-01  -1.48781252e-01  
169     1.19695668e-04   -2.63477030e-01  -1.31738515e-01  -2.63477030e-01  -1.31738515e-01  
170     1.20402189e-04   -2.29059288e-01  -1.14529644e-01  -2.29059288e-01  -1.14529644e-01  
171     1.21108711e-04   -1.94352682e-01  -9.71763408e-02  -1.94352682e-01  -9.71763408e-02  
172     1.21815233e-04   -1.59400980e-01  -7.97004899e-02  -1.59400980e-01  -7.97004899e-02  
173     1.22521755e-04   -1.24248259e-01  -6.21241297e-02  -1.24248259e-01  -6.21241297e-02  
174     1.23228277e-04   -8.89388510e-02  -4.44694255e-02  -8.89388510e-02  -4.44694255e-02  
175     1.23934799e-04   -5.35172831e-02  -2.67586415e-02  -5.35172831e-02  -2.67586415e-02  
176     1.24641320e-04   -1.80282251e-02  -9.01411254e-03  -1.80282251e-02  -9.01411254e-03  
177     1.25347842e-04   1.74835681e-02   8.74178403e-03   1.74835681e-02   8.74178403e-03   
178     1.26054364e-04   5.29733129e-02   2.64866564e-02   5.29733129e-02   2.64866564e-02   
179     1.26760886e-04   8.83962537e-02   4.41981269e-02   8.83962537e-02   4.41981269e-02   
180     1.27467408e-04   1.23707719e-01   6.18538596e-02   1.23707719e-01   6.18538596e-02   
181     1.28173930e-04   1.58863178e-01   7.94315892e-02   1.58863178e-01   7.94315892e-02   
182     1.28880451e-04   1.93818297e-01   9.69091486e-02   1.93818297e-01   9.69091486e-02   
183     1.29586973e-04   2.28528994e-01   1.14264497e-01   2.28528994e-01   1.14264497e-01   
184     1.30293495e-04   2.62951496e-01   1.31475748e-01   2.62951496e-01   1.31475748e-01   
185     1.31000017e-04   2.97042393e-01   1.48521196e-01   2.97042393e-01   1.48521196e-01   
186     1.31706539e-04   3.30758694e-01   1.65379347e-01   3.30758694e-01   1.65379347e-01   
187     1.32413061e-04   3.64057878e-01   1.82028939e-01   3.64057878e-01   1.82028939e-01   
188     1.33119582e-04   3.96897954e-01   1.98448977e-01   3.96897954e-01   1.98448977e-01   
189     1.33826104e-04   4.29237507e-01   2.14618754e-01   4.29237507e-01   2.14618754e-01   
190     1.34532626e-04   4.61035754e-01   2.30517877e-01   4.61035754e-01   2.30517877e-01   
191     1.35239148e-04   4.92252595e-01   2.46126297e-01   4.92252595e-01   2.46126297e-01   
192     1.35945670e-04   5.22848662e-01   2.61424331e-01   5.22848662e-01   2.61424331e-01   
193     1.36652192e-04   5.52785371e-01   2.76392685e-01   5.52785371e-01   2.76392685e-01   
194     1.37358713e-04   5.82024969e-01   2.91012484e-01   5.82024969e-01   2.91012484e-01   
195     1.38065235e-04   6.10530582e-01   3.05265291e-01   6.10530582e-01   3.05265291e-01   
196     1.38771757e-04   6.38266264e-01   3.19133132e-01   6.38266264e-01   3.19133132e-01   
197     1.39478279e-04   6.65197035e-01   3.32598518e-01   6.65197035e-01   3.32598518e-01   
198     1.40184801e-04   6.91288935e-01   3.45644468e-01   6.91288935e-01   3.45644468e-01   
199     1.40891323e-04   7.16509059e-01   3.58254530e-01   7.16509059e-01   3.58254530e-01   
200     1.41597844e-04   7.40825602e-01   3.70412801e-01   7.40825602e-01   3.70412801e-01   
201     1.42304366e-04   7.64207900e-01   3.82103950e-01   7.64207900e-01   3.82103950e-01   
202     1.43010888e-04   7.86626464e-01   3.93313232e-01   7.86626464e-01   3.93313232e-01   
203     1.43717410e-04   8.08053024e-01   4.04026512e-01   8.08053024e-01   4.04026512e-01   
204     1.44423932e-04   8.28460558e-01   4.14230279e-01   8.28460558e-01   4.14230279e-01   
205     1.45130454e-04   8.47823330e-01   4.23911665e-01   8.47823330e-01   4.23911665e-01   
206     1.45836975e-04   8.66116923e-01   4.33058462e-01   8.66116923e-01   4.33058462e-01   
207     1.46543497e-04   8.83318267e-01   4.41659134e-01   8.83318267e-01   4.41659134e-01   
208     1.47250019e-04   8.99405669e-01   4.49702835e-01   8.99405669e-01   4.49702835e-01   
209     1.47956541e-04   9.14358842e-01   4.57179421e-01   9.14358842e-01   4.57179421e-01   
210     1.48663063e-04   9.28158929e-01   4.64079464e-01   9.28158929e-01   4.64079464e-01   
211     1.49369585e-04   9.40788526e-01   4.70394263e-01   9.40788526e-01   4.70394263e-01   
212     1.50076106e-04   9.52231706e-01   4.76115853e-01   9.52231706e-01   4.76115853e-01   
213     1.50782628e-04   9.62474038e-01   4.81237019e-01   9.62474038e-01   4.81237019e-01   
214     1.51489150e-04   9.71502607e-01   4.85751303e-01   9.71502607e-01   4.85751303e-01   
215     1.52195672e-04   9.79306025e-01   4.89653013e-01   9.79306025e-01   4.89653013e-01   
216     1.52902194e-04   9.85874453e-01   4.92937227e-01   9.85874453e-01   4.92937227e-01   
217     1.53608715e-04   9.91199607e-01   4.95599804e-01   9.91199607e-01   4.95599804e-01   
218     1.54315237e-04   9.95274772e-01   4.97637386e-01   9.95274772e-01   4.97637386e-01   
219     1.55021759e-04   9.98094808e-01   4.99047404e-01   9.98094808e-01   4.99047404e-01   
220     1.55728281e-04   9.99656159e-01   4.99828079e-01   9.99656159e-01   4.99828079e-01   
