Index              V(1)           V(2)           V(2A)           V(3)           V(3A)           V(4)           V(5)
252   5.200000000e+00   9.063336266e+01   9.063336266e+01   9.063887922e+01   9.063887922e+01   9.999391369e-01   9.999391369e-01 
253   5.300000000e+00   1.001659092e+02   1.001659092e+02   1.001709008e+02   1.001709008e+02   9.999501692e-01   9.999501692e-01 
254   5.400000000e+00   1.107009498e+02   1.107009498e+02   1.107054664e+02   1.107054664e+02   9.999592018e-01   9.999592018e-01 
255   5.500000000e+00   1.223439227e+02   1.223439227e+02   1.223480095e+02   1.223480095e+02   9.999665972e-01   9.999665972e-01 
256   5.600000000e+00   1.352113548e+02   1.352113548e+02   1.352150526e+02   1.352150526e+02   9.999726520e-01   9.999726520e-01 
257   5.700000000e+00   1.494320275e+02   1.494320275e+02   1.494353735e+02   1.494353735e+02   9.999776093e-01   9.999776093e-01 
258   5.800000000e+00   1.651482662e+02   1.651482662e+02   1.651512937e+02   1.651512937e+02   9.999816680e-01   9.999816680e-01 
259   5.900000000e+00   1.825173642e+02   1.825173642e+02   1.825201037e+02   1.825201037e+02   9.999849910e-01   9.999849910e-01 
260   6.000000000e+00   2.017131574e+02   2.017131574e+02   2.017156361e+02   2.017156361e+02   9.999877117e-01   9.999877117e-01 
261   6.100000000e+00   2.229277636e+02   2.229277636e+02   2.229300065e+02   2.229300065e+02   9.999899391e-01   9.999899391e-01 
262   6.200000000e+00   2.463735058e+02   2.463735058e+02   2.463755353e+02   2.463755353e+02   9.999917629e-01   9.999917629e-01 
263   6.300000000e+00   2.722850369e+02   2.722850369e+02   2.722868732e+02   2.722868732e+02   9.999932560e-01   9.999932560e-01 
264   6.400000000e+00   3.009216882e+02   3.009216882e+02   3.009233497e+02   3.009233497e+02   9.999944785e-01   9.999944785e-01 
265   6.500000000e+00   3.325700648e+02   3.325700648e+02   3.325715682e+02   3.325715682e+02   9.999954794e-01   9.999954794e-01 
266   6.600000000e+00   3.675469144e+02   3.675469144e+02   3.675482748e+02   3.675482748e+02   9.999962988e-01   9.999962988e-01 
267   6.700000000e+00   4.062022971e+02   4.062022971e+02   4.062035280e+02   4.062035280e+02   9.999969697e-01   9.999969697e-01 
268   6.800000000e+00   4.489230889e+02   4.489230889e+02   4.489242027e+02   4.489242027e+02   9.999975190e-01   9.999975190e-01 
269   6.900000000e+00   4.961368539e+02   4.961368539e+02   4.961378617e+02   4.961378617e+02   9.999979687e-01   9.999979687e-01 
270   7.000000000e+00   5.483161233e+02   5.483161233e+02   5.483170352e+02   5.483170352e+02   9.999983369e-01   9.999983369e-01 
271   7.100000000e+00   6.059831247e+02   6.059831247e+02   6.059839498e+02   6.059839498e+02   9.999986384e-01   9.999986384e-01 
272   7.200000000e+00   6.697150089e+02   6.697150089e+02   6.697157555e+02   6.697157555e+02   9.999988852e-01   9.999988852e-01 
273   7.300000000e+00   7.401496260e+02   7.401496260e+02   7.401503016e+02   7.401503016e+02   9.999990873e-01   9.999990873e-01 
274   7.400000000e+00   8.179919094e+02   8.179919094e+02   8.179925206e+02   8.179925206e+02   9.999992527e-01   9.999992527e-01 
275   7.500000000e+00   9.040209307e+02   9.040209307e+02   9.040214838e+02   9.040214838e+02   9.999993882e-01   9.999993882e-01 
276   7.600000000e+00   9.990976973e+02   9.990976973e+02   9.990981978e+02   9.990981978e+02   9.999994991e-01   9.999994991e-01 
277   7.700000000e+00   1.104173770e+03   1.104173770e+03   1.104174222e+03   1.104174222e+03   9.999995899e-01   9.999995899e-01 
278   7.800000000e+00   1.220300784e+03   1.220300784e+03   1.220301194e+03   1.220301194e+03   9.999996642e-01   9.999996642e-01 
279   7.900000000e+00   1.348640979e+03   1.348640979e+03   1.348641350e+03   1.348641350e+03   9.999997251e-01   9.999997251e-01 
280   8.000000000e+00   1.490478826e+03   1.490478826e+03   1.490479161e+03   1.490479161e+03   9.999997749e-01   9.999997749e-01 
281   8.100000000e+00   1.647233886e+03   1.647233886e+03   1.647234189e+03   1.647234189e+03   9.999998157e-01   9.999998157e-01 
282   8.200000000e+00   1.820475016e+03   1.820475016e+03   1.820475291e+03   1.820475291e+03   9.999998491e-01   9.999998491e-01 
283   8.300000000e+00   2.011936073e+03   2.011936073e+03   2.011936321e+03   2.011936321e+03   9.999998765e-01   9.999998765e-01 
284   8.400000000e+00   2.223533261e+03   2.223533261e+03   2.223533486e+03   2.223533486e+03   9.999998989e-01   9.999998989e-01 
285   8.500000000e+00   2.457384318e+03   2.457384318e+03   2.457384522e+03   2.457384522e+03   9.999999172e-01   9.999999172e-01 
286   8.600000000e+00   2.715829704e+03   2.715829704e+03   2.715829888e+03   2.715829888e+03   9.999999322e-01   9.999999322e-01 
287   8.700000000e+00   3.001456025e+03   3.001456025e+03   3.001456192e+03   3.001456192e+03   9.999999445e-01   9.999999445e-01 
288   8.800000000e+00   3.317121928e+03   3.317121928e+03   3.317122079e+03   3.317122079e+03   9.999999546e-01   9.999999546e-01 
289   8.900000000e+00   3.665986701e+03   3.665986701e+03   3.665986838e+03   3.665986838e+03   9.999999628e-01   9.999999628e-01 
290   9.000000000e+00   4.051541902e+03   4.051541902e+03   4.051542025e+03   4.051542025e+03   9.999999695e-01   9.999999695e-01 
291   9.100000000e+00   4.477646296e+03   4.477646296e+03   4.477646408e+03   4.477646408e+03   9.999999751e-01   9.999999751e-01 
292   9.200000000e+00   4.948564479e+03   4.948564479e+03   4.948564580e+03   4.948564580e+03   9.999999796e-01   9.999999796e-01 
293   9.300000000e+00   5.469009558e+03   5.469009558e+03   5.469009650e+03   5.469009650e+03   9.999999833e-01   9.999999833e-01 
294   9.400000000e+00   6.044190324e+03   6.044190324e+03   6.044190406e+03   6.044190406e+03   9.999999863e-01   9.999999863e-01 
295   9.500000000e+00   6.679863377e+03   6.679863377e+03   6.679863452e+03   6.679863452e+03   9.999999888e-01   9.999999888e-01 
296   9.600000000e+00   7.382390749e+03   7.382390749e+03   7.382390817e+03   7.382390817e+03   9.999999908e-01   9.999999908e-01 
297   9.700000000e+00   8.158803568e+03   8.158803568e+03   8.158803630e+03   8.158803630e+03   9.999999925e-01   9.999999925e-01 
298   9.800000000e+00   9.016872436e+03   9.016872436e+03   9.016872492e+03   9.016872492e+03   9.999999939e-01   9.999999939e-01 
299   9.900000000e+00   9.965185194e+03   9.965185194e+03   9.965185244e+03   9.965185244e+03   9.999999950e-01   9.999999950e-01 
300   1.000000000e+01   1.101323287e+04   1.101323287e+04   1.101323292e+04   1.101323292e+04   9.999999959e-01   9.999999959e-01 
301   1.010000000e+01   1.217150469e+04   1.217150469e+04   1.217150473e+04   1.217150473e+04   9.999999966e-01   9.999999966e-01 
