Index      TIME           I(V1)
0       0.00000000e+00   0.00000000e+00   
1       1.00000000e-05   1.00000000e-05   
2       3.00000000e-05   3.00000000e-05   
3       7.00000000e-05   7.00000000e-05   
4       1.50000000e-04   1.50000000e-04   
5       3.10000000e-04   3.10000000e-04   
6       6.30000000e-04   6.30000000e-04   
7       1.27000000e-03   1.27000000e-03   
8       2.55000000e-03   2.55000000e-03   
9       5.11000000e-03   5.11000000e-03   
10      1.02300000e-02   1.02300000e-02   
11      2.04700000e-02   2.04700000e-02   
12      4.09500000e-02   4.09500000e-02   
13      8.19100000e-02   8.19100000e-02   
14      1.63830000e-01   1.63830000e-01   
15      2.63830000e-01   2.63830000e-01   
16      3.63830000e-01   3.63830000e-01   
17      4.63830000e-01   4.63830000e-01   
18      5.63830000e-01   5.63830000e-01   
19      6.63830000e-01   6.63830000e-01   
20      7.63830000e-01   7.63830000e-01   
21      8.63830000e-01   8.63830000e-01   
22      9.63830000e-01   9.63830000e-01   
23      1.00000000e+00   1.00000000e+00   
End of Xyce(TM) Simulation
