Index       TIME              V(1)              V(2)              V(3A)             V(4A)             V(5A)             V(8A)             V(9A)            V(10A)            V(11A)             {P1}       
0        0.00000000e+00    2.00000000e+00    4.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
1        1.00000000e-10    2.00000000e+00    4.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
2        3.00000000e-10    2.00000000e+00    4.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
3        7.00000000e-10    2.00000000e+00    4.00000001e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
4        1.50000000e-09    2.00000001e+00    4.00000002e+00    2.00000001e+00    2.00000001e+00    2.00000001e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
5        3.10000000e-09    2.00000002e+00    4.00000004e+00    2.00000002e+00    2.00000002e+00    2.00000002e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
6        6.30000000e-09    2.00000004e+00    4.00000008e+00    2.00000004e+00    2.00000004e+00    2.00000004e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
7        1.27000000e-08    2.00000008e+00    4.00000016e+00    2.00000008e+00    2.00000008e+00    2.00000008e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
8        2.55000000e-08    2.00000016e+00    4.00000032e+00    2.00000016e+00    2.00000016e+00    2.00000016e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
9        5.11000000e-08    2.00000032e+00    4.00000064e+00    2.00000032e+00    2.00000032e+00    2.00000032e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
10       1.02300000e-07    2.00000064e+00    4.00000129e+00    2.00000064e+00    2.00000064e+00    2.00000064e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
11       2.04700000e-07    2.00000129e+00    4.00000257e+00    2.00000129e+00    2.00000129e+00    2.00000129e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
12       4.09500000e-07    2.00000257e+00    4.00000515e+00    2.00000257e+00    2.00000257e+00    2.00000257e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
13       8.19100000e-07    2.00000515e+00    4.00001029e+00    2.00000515e+00    2.00000515e+00    2.00000515e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
14       1.63830000e-06    2.00001029e+00    4.00002059e+00    2.00001029e+00    2.00001029e+00    2.00001029e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
15       3.27670000e-06    2.00002059e+00    4.00004118e+00    2.00002059e+00    2.00002059e+00    2.00002059e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
16       6.55350000e-06    2.00004118e+00    4.00008235e+00    2.00004118e+00    2.00004118e+00    2.00004118e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
17       1.31071000e-05    2.00008235e+00    4.00016471e+00    2.00008235e+00    2.00008235e+00    2.00008235e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
18       2.62143000e-05    2.00016471e+00    4.00032942e+00    2.00016471e+00    2.00016471e+00    2.00016471e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
19       5.24287000e-05    2.00032942e+00    4.00065884e+00    2.00032942e+00    2.00032942e+00    2.00032942e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
20       1.04857500e-04    2.00065884e+00    4.00131768e+00    2.00065884e+00    2.00065884e+00    2.00065884e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
21       2.09715100e-04    2.00131768e+00    4.00263536e+00    2.00131768e+00    2.00131768e+00    2.00131768e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
22       4.19430300e-04    2.00263536e+00    4.00527071e+00    2.00263536e+00    2.00263536e+00    2.00263536e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
23       8.38860700e-04    2.00527069e+00    4.01054139e+00    2.00527069e+00    2.00527069e+00    2.00527069e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
24       1.67772150e-03    2.01054124e+00    4.02108248e+00    2.01054124e+00    2.01054124e+00    2.01054124e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
25       3.35544310e-03    2.02108131e+00    4.04216262e+00    2.02108131e+00    2.02108131e+00    2.02108131e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
26       6.71088630e-03    2.04215325e+00    4.08430650e+00    2.04215325e+00    2.04215325e+00    2.04215325e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
27       1.34217727e-02    2.08423156e+00    4.16846312e+00    2.08423156e+00    2.08423156e+00    2.08423156e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
28       2.68435455e-02    2.16786444e+00    4.33572889e+00    2.16786444e+00    2.16786444e+00    2.16786444e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
29       5.36870911e-02    2.33096492e+00    4.66192984e+00    2.33096492e+00    2.33096492e+00    2.33096492e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
30       8.05306367e-02    2.48467268e+00    4.96934535e+00    2.48467268e+00    2.48467268e+00    2.48467268e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
31       8.41543323e-02    2.50446071e+00    5.00892142e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
32       9.14017234e-02    2.54324216e+00    5.08648431e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
33       9.86491146e-02    2.58089734e+00    5.16179467e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
34       1.05896506e-01    2.61734818e+00    5.23469636e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
35       1.20391288e-01    2.68633723e+00    5.37267446e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
36       1.49380853e-01    2.80672427e+00    5.61344853e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
37       1.78370417e-01    2.90042016e+00    5.80084032e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
38       2.07359982e-01    2.96432490e+00    5.92864980e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
39       2.36349546e-01    2.99632415e+00    5.99264830e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
40       2.65339111e-01    2.99535919e+00    5.99071838e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
41       2.94328676e-01    2.96146194e+00    5.92292388e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
42       3.23318240e-01    2.89575392e+00    5.79150784e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
43       3.52307805e-01    2.80040914e+00    5.60081828e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
44       3.81297370e-01    2.67858216e+00    5.35716432e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
45       4.10286934e-01    2.53430372e+00    5.06860744e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
46       4.14335791e-01    2.51262915e+00    5.02525830e+00    2.50000000e+00    2.50000000e+00    2.50000000e+00    1.00000000e+00    3.00000000e+00    3.00000000e+00    1.00000000e+00    4.00000000e+00
