Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
0       -1.00000000e-01    0.00000000e+00   -4.00927312e-10    1.35448103e-08    1.35448092e-08   -1.06732030e-15   -4.12680211e-01    2.00000000e-01   -1.00000000e-01    1.00000000e-01    6.84924888e-02
1       -9.90000000e-02    0.00000000e+00   -3.86609728e-10    1.30624515e-08    1.30624492e-08   -2.34765753e-15   -4.12692912e-01    1.98000000e-01   -9.90000000e-02    9.90000000e-02    6.84923121e-02
2       -9.80000000e-02    0.00000000e+00   -3.72799233e-10    1.25971181e-08    1.25971193e-08    1.18611620e-15   -4.12705587e-01    1.96000000e-01   -9.80000000e-02    9.80000000e-02    6.84921415e-02
3       -9.70000000e-02    0.00000000e+00   -3.59477949e-10    1.21482199e-08    1.21482213e-08    1.43313246e-15   -4.12718235e-01    1.94000000e-01   -9.70000000e-02    9.70000000e-02    6.84919768e-02
4       -9.60000000e-02    0.00000000e+00   -3.46628625e-10    1.17151782e-08    1.17151778e-08   -4.06687894e-16   -4.12730856e-01    1.92000000e-01   -9.60000000e-02    9.60000000e-02    6.84918178e-02
5       -9.50000000e-02    0.00000000e+00   -3.34234611e-10    1.12974312e-08    1.12974316e-08    3.85836524e-16   -4.12743448e-01    1.90000000e-01   -9.50000000e-02    9.50000000e-02    6.84916644e-02
6       -9.40000000e-02    0.00000000e+00   -3.22279842e-10    1.08944495e-08    1.08944446e-08   -4.93683808e-15   -4.12756012e-01    1.88000000e-01   -9.40000000e-02    9.40000000e-02    6.84915163e-02
7       -9.30000000e-02    0.00000000e+00   -3.10748815e-10    1.05057004e-08    1.05056978e-08   -2.59103986e-15   -4.12768547e-01    1.86000000e-01   -9.30000000e-02    9.30000000e-02    6.84913733e-02
8       -9.20000000e-02    0.00000000e+00   -2.99626569e-10    1.01306903e-08    1.01306901e-08   -1.98413306e-16   -4.12781051e-01    1.84000000e-01   -9.20000000e-02    9.20000000e-02    6.84912354e-02
9       -9.10000000e-02    0.00000000e+00   -2.88898665e-10    9.76893835e-09    9.76893800e-09   -3.53784227e-16   -4.12793525e-01    1.82000000e-01   -9.10000000e-02    9.10000000e-02    6.84911022e-02
