Index       FREQ            VM(VOUT)          VP(VOUT)     
0        1.00000000e+03    1.39730460e+00    3.14159253e+00
1        1.25892541e+03    1.39730460e+00    3.14159250e+00
2        1.58489319e+03    1.39730460e+00    3.14159246e+00
3        1.99526231e+03    1.39730460e+00    3.14159241e+00
4        2.51188643e+03    1.39730460e+00    3.14159235e+00
5        3.16227766e+03    1.39730460e+00    3.14159227e+00
6        3.98107171e+03    1.39730460e+00    3.14159217e+00
7        5.01187234e+03    1.39730460e+00    3.14159205e+00
8        6.30957344e+03    1.39730460e+00    3.14159189e+00
9        7.94328235e+03    1.39730460e+00    3.14159169e+00
10       1.00000000e+04    1.39730460e+00    3.14159144e+00
11       1.25892541e+04    1.39730460e+00    3.14159113e+00
12       1.58489319e+04    1.39730460e+00    3.14159073e+00
13       1.99526231e+04    1.39730460e+00    3.14159023e+00
14       2.51188643e+04    1.39730460e+00    3.14158961e+00
15       3.16227766e+04    1.39730460e+00    3.14158882e+00
16       3.98107171e+04    1.39730460e+00    3.14158783e+00
17       5.01187234e+04    1.39730460e+00    3.14158658e+00
18       6.30957344e+04    1.39730460e+00    3.14158500e+00
19       7.94328235e+04    1.39730460e+00    3.14158302e+00
20       1.00000000e+05    1.39730460e+00    3.14158053e+00
21       1.25892541e+05    1.39730460e+00    3.14157739e+00
22       1.58489319e+05    1.39730460e+00    3.14157343e+00
23       1.99526231e+05    1.39730460e+00    3.14156846e+00
24       2.51188643e+05    1.39730460e+00    3.14156219e+00
25       3.16227766e+05    1.39730460e+00    3.14155430e+00
26       3.98107171e+05    1.39730460e+00    3.14154437e+00
27       5.01187234e+05    1.39730460e+00    3.14153187e+00
28       6.30957344e+05    1.39730460e+00    3.14151613e+00
29       7.94328235e+05    1.39730460e+00    3.14149632e+00
30       1.00000000e+06    1.39730459e+00    3.14147138e+00
31       1.25892541e+06    1.39730459e+00    3.14143997e+00
32       1.58489319e+06    1.39730458e+00    3.14140044e+00
33       1.99526231e+06    1.39730456e+00    3.14135067e+00
34       2.51188643e+06    1.39730454e+00    3.14128802e+00
35       3.16227766e+06    1.39730450e+00    3.14120914e+00
36       3.98107171e+06    1.39730444e+00    3.14110984e+00
37       5.01187234e+06    1.39730435e+00    3.14098483e+00
38       6.30957344e+06    1.39730420e+00    3.14082745e+00
39       7.94328235e+06    1.39730397e+00    3.14062932e+00
40       1.00000000e+07    1.39730360e+00    3.14037988e+00
41       1.25892541e+07    1.39730301e+00    3.14006587e+00
42       1.58489319e+07    1.39730207e+00    3.13967054e+00
43       1.99526231e+07    1.39730060e+00    3.13917286e+00
44       2.51188643e+07    1.39729825e+00    3.13854632e+00
45       3.16227766e+07    1.39729454e+00    3.13775756e+00
46       3.98107171e+07    1.39728866e+00    3.13676457e+00
47       5.01187234e+07    1.39727933e+00    3.13551448e+00
48       6.30957344e+07    1.39726455e+00    3.13394074e+00
49       7.94328235e+07    1.39724113e+00    3.13195957e+00
50       1.00000000e+08    1.39720401e+00    3.12946553e+00
51       1.25892541e+08    1.39714519e+00    3.12632593e+00
52       1.58489319e+08    1.39705197e+00    3.12237384e+00
53       1.99526231e+08    1.39690427e+00    3.11739928e+00
54       2.51188643e+08    1.39667028e+00    3.11113837e+00
55       3.16227766e+08    1.39629967e+00    3.10325970e+00
56       3.98107171e+08    1.39571290e+00    3.09334771e+00
57       5.01187234e+08    1.39478444e+00    3.08088253e+00
58       6.30957344e+08    1.39331672e+00    3.06521624e+00
59       7.94328235e+08    1.39100000e+00    3.04554606e+00
60       1.00000000e+09    1.38735180e+00    3.02088678e+00
61       1.25892541e+09    1.38162816e+00    2.99004786e+00
62       1.58489319e+09    1.37270017e+00    2.95162638e+00
63       1.99526231e+09    1.35889815e+00    2.90403781e+00
64       2.51188643e+09    1.33785162e+00    2.84562099e+00
65       3.16227766e+09    1.30641051e+00    2.77486942e+00
66       3.98107171e+09    1.26082530e+00    2.69083971e+00
67       5.01187234e+09    1.19743866e+00    2.59373180e+00
68       6.30957344e+09    1.11403100e+00    2.48548455e+00
69       7.94328235e+09    1.01146524e+00    2.37002656e+00
70       1.00000000e+10    8.94586417e-01    2.25279026e+00
71       1.25892541e+10    7.71348419e-01    2.13948156e+00
72       1.58489319e+10    6.50402201e-01    2.03468474e+00
73       1.99526231e+10    5.38669022e-01    1.94102803e+00
74       2.51188643e+10    4.40194124e-01    1.85915648e+00
75       3.16227766e+10    3.56342703e-01    1.78822620e+00
76       3.98107171e+10    2.86642031e-01    1.72650733e+00
77       5.01187234e+10    2.29643883e-01    1.67185202e+00
78       6.30957344e+10    1.83542013e-01    1.62197200e+00
79       7.94328235e+10    1.46529808e-01    1.57456367e+00
80       1.00000000e+11    1.16971838e-01    1.52733866e+00
81       1.25892541e+11    9.34651942e-02    1.47801033e+00
82       1.58489319e+11    7.48438168e-02    1.42427714e+00
83       1.99526231e+11    6.01571185e-02    1.36384310e+00
84       2.51188643e+11    4.86393787e-02    1.29452376e+00
85       3.16227766e+11    3.96776197e-02    1.21449564e+00
86       3.98107171e+11    3.27810230e-02    1.12273374e+00
87       5.01187234e+11    2.75529120e-02    1.01960349e+00
88       6.30957344e+11    2.36661366e-02    9.07397741e-01
89       7.94328235e+11    2.08436099e-02    7.90421430e-01
90       1.00000000e+12    1.88462360e-02    6.74287161e-01
End of Xyce(TM) Simulation
