Index       TIME            {V(VI)+1}         {V(VO)+1}    
0        0.00000000e+00    1.50000000e+00    1.00000003e+00
1        1.00000000e-08    1.53139526e+00    1.00000003e+00
2        2.00000000e-08    1.56265301e+00    1.00000003e+00
3        3.00000000e-08    1.59367099e+00    1.00000003e+00
4        4.00000000e-08    1.62422188e+00    1.00000003e+00
5        5.00000000e-08    1.65420547e+00    1.00000003e+00
6        6.00000000e-08    1.68331687e+00    1.00000003e+00
7        7.00000000e-08    1.71242827e+00    1.00000003e+00
8        8.00000000e-08    1.74028657e+00    1.00000003e+00
9        9.00000000e-08    1.76684046e+00    1.00000003e+00
10       1.00000000e-07    1.79339435e+00    1.00000003e+00
11       1.10000000e-07    1.81779248e+00    1.00000003e+00
12       1.20000000e-07    1.84093484e+00    1.00000003e+00
13       1.30000000e-07    1.86407720e+00    1.00000003e+00
14       1.40000000e-07    1.88400362e+00    1.00000003e+00
15       1.50000000e-07    1.90299017e+00    1.00000003e+00
16       1.60000000e-07    1.92197671e+00    1.00000003e+00
17       1.70000000e-07    1.93659824e+00    1.00000003e+00
18       1.80000000e-07    1.95081833e+00    1.00000003e+00
19       1.90000000e-07    1.96473694e+00    1.00000003e+00
20       2.00000000e-07    1.97373324e+00    1.00000003e+00
21       2.10000000e-07    1.98272954e+00    1.00000003e+00
22       2.20000000e-07    1.99062514e+00    1.00000003e+00
23       2.30000000e-07    1.99410831e+00    1.00000003e+00
24       2.40000000e-07    1.99759148e+00    1.00000003e+00
25       2.50000000e-07    1.99915317e+00    1.00000003e+00
26       2.60000000e-07    1.99701119e+00    1.00000003e+00
27       2.70000000e-07    1.99486921e+00    1.00000003e+00
28       2.80000000e-07    1.99004065e+00    1.00000003e+00
29       2.90000000e-07    1.98234241e+00    1.00000003e+00
30       3.00000000e-07    1.97464417e+00    1.00000003e+00
31       3.10000000e-07    1.96362556e+00    1.00000003e+00
32       3.20000000e-07    1.95061865e+00    1.00000003e+00
33       3.30000000e-07    1.93761174e+00    1.00000003e+00
34       3.40000000e-07    1.92085198e+00    1.00000003e+00
35       3.50000000e-07    1.90295471e+00    1.00000003e+00
36       3.60000000e-07    1.88505744e+00    1.00000003e+00
37       3.70000000e-07    1.86323663e+00    1.00000003e+00
38       3.80000000e-07    1.84102461e+00    1.00000003e+00
39       3.90000000e-07    1.81862800e+00    1.00000003e+00
40       4.00000000e-07    1.79281560e+00    1.00000003e+00
41       4.10000000e-07    1.76700321e+00    1.00000003e+00
42       4.20000000e-07    1.74065558e+00    1.00000003e+00
43       4.30000000e-07    1.71207297e+00    1.00000003e+00
44       4.40000000e-07    1.68349036e+00    1.00000003e+00
45       4.50000000e-07    1.65428741e+00    1.00000003e+00
46       4.60000000e-07    1.62385385e+00    1.00000003e+00
47       4.70000000e-07    1.59342028e+00    1.00000003e+00
48       4.80000000e-07    1.56266534e+00    1.00000003e+00
49       4.90000000e-07    1.53138264e+00    1.00000003e+00
50       5.00000000e-07    1.49999859e+00    1.00000003e+00
51       5.10000000e-07    1.46860969e+00    1.00000003e+00
52       5.20000000e-07    1.43733364e+00    1.00000003e+00
53       5.30000000e-07    1.40630940e+00    1.99998772e+00
54       5.40000000e-07    1.37565613e+00    1.99998809e+00
55       5.50000000e-07    1.34550669e+00    1.99998825e+00
56       5.60000000e-07    1.31596754e+00    1.99998787e+00
57       5.70000000e-07    1.28723697e+00    1.99998760e+00
58       5.80000000e-07    1.25928087e+00    1.99998782e+00
59       5.90000000e-07    1.23225296e+00    1.99998798e+00
60       6.00000000e-07    1.20645346e+00    1.99998726e+00
61       6.10000000e-07    1.18210747e+00    1.99998789e+00
62       6.20000000e-07    1.15776148e+00    1.99998851e+00
63       6.30000000e-07    1.13645492e+00    1.99998792e+00
64       6.40000000e-07    1.11522304e+00    1.99998729e+00
65       6.50000000e-07    1.09637922e+00    1.99998750e+00
66       6.60000000e-07    1.07870598e+00    1.99998813e+00
67       6.70000000e-07    1.06247103e+00    1.99998830e+00
68       6.80000000e-07    1.04872648e+00    1.99998767e+00
69       6.90000000e-07    1.03523971e+00    1.99998712e+00
70       7.00000000e-07    1.02571163e+00    1.99998775e+00
71       7.10000000e-07    1.01618355e+00    1.99998837e+00
72       7.20000000e-07    1.00999470e+00    1.99998805e+00
73       7.30000000e-07    1.00488259e+00    1.99998743e+00
74       7.40000000e-07    1.00181129e+00    1.99998737e+00
75       7.50000000e-07    1.00122218e+00    1.99998799e+00
76       7.60000000e-07    1.00129634e+00    1.99998843e+00
