Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
29      -7.10000000e-02    0.00000000e+00    1.83440316e-08    6.01089969e-07    6.01089848e-07   -1.20960454e-13    3.03772333e-01    1.42000000e-01   -7.10000000e-02    7.10000000e-02    7.43616946e-02
30      -7.00000000e-02    0.00000000e+00    1.76680050e-08    5.79138269e-07    5.79138069e-07   -1.99778843e-13    3.03784487e-01    1.40000000e-01   -7.00000000e-02    7.00000000e-02    7.43590583e-02
31      -6.90000000e-02    0.00000000e+00    1.70160952e-08    5.57959832e-07    5.57959686e-07   -1.46077448e-13    3.03796582e-01    1.38000000e-01   -6.90000000e-02    6.90000000e-02    7.43565142e-02
32      -6.80000000e-02    0.00000000e+00    1.63874458e-08    5.37527985e-07    5.37527686e-07   -2.99397277e-13    3.03808617e-01    1.36000000e-01   -6.80000000e-02    6.80000000e-02    7.43540590e-02
33      -6.70000000e-02    0.00000000e+00    1.57812294e-08    5.17816056e-07    5.17815943e-07   -1.13301543e-13    3.03820590e-01    1.34000000e-01   -6.70000000e-02    6.70000000e-02    7.43516898e-02
34      -6.60000000e-02    0.00000000e+00    1.51966465e-08    4.98799257e-07    4.98799189e-07   -6.78629612e-14    3.03832499e-01    1.32000000e-01   -6.60000000e-02    6.60000000e-02    7.43494036e-02
35      -6.50000000e-02    0.00000000e+00    1.46329245e-08    4.80452988e-07    4.80452988e-07    6.23045672e-18    3.03844343e-01    1.30000000e-01   -6.50000000e-02    6.50000000e-02    7.43471976e-02
36      -6.40000000e-02    0.00000000e+00    1.40893171e-08    4.62753670e-07    4.62753705e-07    3.50070208e-14    3.03856119e-01    1.28000000e-01   -6.40000000e-02    6.40000000e-02    7.43450689e-02
37      -6.30000000e-02    0.00000000e+00    1.35651029e-08    4.45678630e-07    4.45678485e-07   -1.45403559e-13    3.03867826e-01    1.26000000e-01   -6.30000000e-02    6.30000000e-02    7.43430151e-02
38      -6.20000000e-02    0.00000000e+00    1.30595848e-08    4.29205220e-07    4.29205220e-07   -5.84817646e-16    3.03879461e-01    1.24000000e-01   -6.20000000e-02    6.20000000e-02    7.43410334e-02
39      -6.10000000e-02    0.00000000e+00    1.25720893e-08    4.13312722e-07    4.13312530e-07   -1.91552718e-13    3.03891022e-01    1.22000000e-01   -6.10000000e-02    6.10000000e-02    7.43391214e-02
40      -6.00000000e-02    0.00000000e+00    1.21019655e-08    3.97979865e-07    3.97979738e-07   -1.26478645e-13    3.03902507e-01    1.20000000e-01   -6.00000000e-02    6.00000000e-02    7.43372766e-02
41      -5.90000000e-02    0.00000000e+00    1.16485843e-08    3.83186972e-07    3.83186844e-07   -1.27736850e-13    3.03913915e-01    1.18000000e-01   -5.90000000e-02    5.90000000e-02    7.43354969e-02
42      -5.80000000e-02    0.00000000e+00    1.12113378e-08    3.68914588e-07    3.68914502e-07   -8.56786684e-14    3.03925241e-01    1.16000000e-01   -5.80000000e-02    5.80000000e-02    7.43337799e-02
43      -5.70000000e-02    0.00000000e+00    1.07896383e-08    3.55144139e-07    3.55144002e-07   -1.36944478e-13    3.03936485e-01    1.14000000e-01   -5.70000000e-02    5.70000000e-02    7.43321234e-02
44      -5.60000000e-02    0.00000000e+00    1.03829180e-08    3.41857335e-07    3.41857245e-07   -9.03556112e-14    3.03947643e-01    1.12000000e-01   -5.60000000e-02    5.60000000e-02    7.43305254e-02
45      -5.50000000e-02    0.00000000e+00    9.99062779e-09    3.29036828e-07    3.29036724e-07   -1.04260225e-13    3.03958713e-01    1.10000000e-01   -5.50000000e-02    5.50000000e-02    7.43289838e-02
46      -5.40000000e-02    0.00000000e+00    9.61223717e-09    3.16665576e-07    3.16665504e-07   -7.27440725e-14    3.03969693e-01    1.08000000e-01   -5.40000000e-02    5.40000000e-02    7.43274967e-02
47      -5.30000000e-02    0.00000000e+00    9.24723317e-09    3.04727150e-07    3.04727201e-07    5.13677342e-14    3.03980579e-01    1.06000000e-01   -5.30000000e-02    5.30000000e-02    7.43260623e-02
48      -5.20000000e-02    0.00000000e+00    8.89511995e-09    2.93206080e-07    2.93205969e-07   -1.11416379e-13    3.03991368e-01    1.04000000e-01   -5.20000000e-02    5.20000000e-02    7.43246785e-02
49      -5.10000000e-02    0.00000000e+00    8.55541818e-09    2.82086489e-07    2.82086474e-07   -1.42442884e-14    3.04002059e-01    1.02000000e-01   -5.10000000e-02    5.10000000e-02    7.43233438e-02
50      -5.00000000e-02    0.00000000e+00    8.22766448e-09    2.71353899e-07    2.71353886e-07   -1.25175216e-14    3.04012647e-01    1.00000000e-01   -5.00000000e-02    5.00000000e-02    7.43220564e-02
51      -4.90000000e-02    0.00000000e+00    7.91141090e-09    2.60993876e-07    2.60993857e-07   -1.95483126e-14    3.04023130e-01    9.80000000e-02   -4.90000000e-02    4.90000000e-02    7.43208146e-02
52      -4.80000000e-02    0.00000000e+00    7.60622437e-09    2.50992564e-07    2.50992505e-07   -5.81091060e-14    3.04033504e-01    9.60000000e-02   -4.80000000e-02    4.80000000e-02    7.43196169e-02
53      -4.70000000e-02    0.00000000e+00    7.31168626e-09    2.41336479e-07    2.41336406e-07   -7.38552202e-14    3.04043766e-01    9.40000000e-02   -4.70000000e-02    4.70000000e-02    7.43184617e-02
54      -4.60000000e-02    0.00000000e+00    7.02739189e-09    2.32012580e-07    2.32012569e-07   -1.08480390e-14    3.04053913e-01    9.20000000e-02   -4.60000000e-02    4.60000000e-02    7.43173475e-02
55      -4.50000000e-02    0.00000000e+00    6.75295006e-09    2.23008519e-07    2.23008432e-07   -8.66791907e-14    3.04063942e-01    9.00000000e-02   -4.50000000e-02    4.50000000e-02    7.43162730e-02
56      -4.40000000e-02    0.00000000e+00    6.48798259e-09    2.14311842e-07    2.14311844e-07    1.12475726e-15    3.04073848e-01    8.80000000e-02   -4.40000000e-02    4.40000000e-02    7.43152367e-02
57      -4.30000000e-02    0.00000000e+00    6.23212394e-09    2.05911019e-07    2.05911047e-07    2.83410365e-14    3.04083628e-01    8.60000000e-02   -4.30000000e-02    4.30000000e-02    7.43142373e-02
58      -4.20000000e-02    0.00000000e+00    5.98502067e-09    1.97794634e-07    1.97794672e-07    3.86120403e-14    3.04093277e-01    8.40000000e-02   -4.20000000e-02    4.20000000e-02    7.43132734e-02
59      -4.10000000e-02    0.00000000e+00    5.74633104e-09    1.89951750e-07    1.89951716e-07   -3.44146406e-14    3.04102794e-01    8.20000000e-02   -4.10000000e-02    4.10000000e-02    7.43123439e-02
