Index    TIME    V(5)mean    V(5)meanPlus    V(5)meanMinus    V(5)meanPlusTwoSigma    V(5)meanMinusTwoSigma    V(5)stddev    V(5)variance    V(5)quad_pce_mean    V(5)quad_pce_meanPlus    V(5)quad_pce_meanMinus    V(5)quad_pce_meanPlusTwoSigma    V(5)quad_pce_meanMinusTwoSigma    V(5)quad_pce_stddev    V(5)quad_pce_variance    V(2)mean    V(2)meanPlus    V(2)meanMinus    V(2)meanPlusTwoSigma    V(2)meanMinusTwoSigma    V(2)stddev    V(2)variance    V(2)quad_pce_mean    V(2)quad_pce_meanPlus    V(2)quad_pce_meanMinus    V(2)quad_pce_meanPlusTwoSigma    V(2)quad_pce_meanMinusTwoSigma    V(2)quad_pce_stddev    V(2)quad_pce_variance    
10   6.55000000e-10   2.49058000e+00   2.50512000e+00   2.47604000e+00   2.51966000e+00   2.46149900e+00   1.45402500e-02   2.11418900e-04   2.49218000e+00   2.50040300e+00   2.48395700e+00   2.50862600e+00   2.47573400e+00   8.22306600e-03   6.76188100e-05   2.49058000e+00   2.50512000e+00   2.47604000e+00   2.51966000e+00   2.46149900e+00   1.45402500e-02   2.11418900e-04   2.49218000e+00   2.50040300e+00   2.48395700e+00   2.50862600e+00   2.47573400e+00   8.22306600e-03   6.76188100e-05   
11   7.55000000e-10   2.49058000e+00   2.50512100e+00   2.47603800e+00   2.51966300e+00   2.46149700e+00   1.45414100e-02   2.11452600e-04   2.49218000e+00   2.50040300e+00   2.48395600e+00   2.50862700e+00   2.47573200e+00   8.22372100e-03   6.76296000e-05   2.49058000e+00   2.50512100e+00   2.47603800e+00   2.51966300e+00   2.46149700e+00   1.45414100e-02   2.11452600e-04   2.49218000e+00   2.50040300e+00   2.48395600e+00   2.50862700e+00   2.47573200e+00   8.22372100e-03   6.76295900e-05   
12   8.55000000e-10   2.49058000e+00   2.50512200e+00   2.47603700e+00   2.51966400e+00   2.46149500e+00   1.45424400e-02   2.11482700e-04   2.49218000e+00   2.50040400e+00   2.48395500e+00   2.50862800e+00   2.47573100e+00   8.22430800e-03   6.76392400e-05   2.49058000e+00   2.50512200e+00   2.47603700e+00   2.51966400e+00   2.46149500e+00   1.45424400e-02   2.11482700e-04   2.49218000e+00   2.50040400e+00   2.48395500e+00   2.50862800e+00   2.47573100e+00   8.22430800e-03   6.76392400e-05   
13   9.55000000e-10   2.49057900e+00   2.50512300e+00   2.47603600e+00   2.51966600e+00   2.46149300e+00   1.45433400e-02   2.11508700e-04   2.49218000e+00   2.50040400e+00   2.48395500e+00   2.50862900e+00   2.47573000e+00   8.22481600e-03   6.76475900e-05   2.49057900e+00   2.50512300e+00   2.47603600e+00   2.51966600e+00   2.46149300e+00   1.45433400e-02   2.11508700e-04   2.49218000e+00   2.50040400e+00   2.48395500e+00   2.50862900e+00   2.47573000e+00   8.22481500e-03   6.76475900e-05   
14   1.00000000e-09   2.49057900e+00   2.50512300e+00   2.47603600e+00   2.51966700e+00   2.46149200e+00   1.45437000e-02   2.11519300e-04   2.49218000e+00   2.50040500e+00   2.48395500e+00   2.50863000e+00   2.47573000e+00   8.22502000e-03   6.76509600e-05   2.49057900e+00   2.50512300e+00   2.47603600e+00   2.51966700e+00   2.46149200e+00   1.45437000e-02   2.11519200e-04   2.49218000e+00   2.50040500e+00   2.48395500e+00   2.50863000e+00   2.47573000e+00   8.22502000e-03   6.76509500e-05   
15   1.01000000e-09   2.49086500e+00   2.50540200e+00   2.47632900e+00   2.51993800e+00   2.46179300e+00   1.45361700e-02   2.11300100e-04   2.49246300e+00   2.50068400e+00   2.48424300e+00   2.50890400e+00   2.47602200e+00   8.22055500e-03   6.75775300e-05   2.49210800e+00   2.50668400e+00   2.47753300e+00   2.52125900e+00   2.46295700e+00   1.45754000e-02   2.12442200e-04   2.49371000e+00   2.50195300e+00   2.48546700e+00   2.51019600e+00   2.47722400e+00   8.24300600e-03   6.79471500e-05   
16   1.02000000e-09   2.49133700e+00   2.50586000e+00   2.47681400e+00   2.52038300e+00   2.46229100e+00   1.45230600e-02   2.10919300e-04   2.49293100e+00   2.50114400e+00   2.48471800e+00   2.50935700e+00   2.47650500e+00   8.21297400e-03   6.74529500e-05   2.49378700e+00   2.50839400e+00   2.47917900e+00   2.52300200e+00   2.46457200e+00   1.46074400e-02   2.13377200e-04   2.49539400e+00   2.50365600e+00   2.48713200e+00   2.51191800e+00   2.47886900e+00   8.26227100e-03   6.82651200e-05   
17   1.03000000e-09   2.49186900e+00   2.50637700e+00   2.47736100e+00   2.52088500e+00   2.46285300e+00   1.45079600e-02   2.10481000e-04   2.49345900e+00   2.50166300e+00   2.48525400e+00   2.50986700e+00   2.47705000e+00   8.20440500e-03   6.73122600e-05   2.49535000e+00   2.50998800e+00   2.48071100e+00   2.52462700e+00   2.46607200e+00   1.46387500e-02   2.14293000e-04   2.49696200e+00   2.50524400e+00   2.48868000e+00   2.51352600e+00   2.48039800e+00   8.28188000e-03   6.85895400e-05   
18   1.05000000e-09   2.49307700e+00   2.50754500e+00   2.47860900e+00   2.52201300e+00   2.46414100e+00   1.44680700e-02   2.09325100e-04   2.49465600e+00   2.50283800e+00   2.48647300e+00   2.51102100e+00   2.47829100e+00   8.18241900e-03   6.69519800e-05   2.49744300e+00   2.51214100e+00   2.48274600e+00   2.52683900e+00   2.46804800e+00   1.46977500e-02   2.16023800e-04   2.49906000e+00   2.50738000e+00   2.49074000e+00   2.51570000e+00   2.48242100e+00   8.31976900e-03   6.92185600e-05   
19   1.09000000e-09   2.49545000e+00   2.50981400e+00   2.48108700e+00   2.52417800e+00   2.46672300e+00   1.43637200e-02   2.06316600e-04   2.49700500e+00   2.50513100e+00   2.48887800e+00   2.51325800e+00   2.48075100e+00   8.12677700e-03   6.60445000e-05   2.49934300e+00   2.51416800e+00   2.48451700e+00   2.52899400e+00   2.46969100e+00   1.48257200e-02   2.19802000e-04   2.50095800e+00   2.50935700e+00   2.49255900e+00   2.51775600e+00   2.48415900e+00   8.39902900e-03   7.05436900e-05   
