Index    TIME    V(5)mean    V(5)meanPlus    V(5)meanMinus    V(5)meanPlusTwoSigma    V(5)meanMinusTwoSigma    V(5)stddev    V(5)variance    V(5)quad_pce_mean    V(5)quad_pce_meanPlus    V(5)quad_pce_meanMinus    V(5)quad_pce_meanPlusTwoSigma    V(5)quad_pce_meanMinusTwoSigma    V(5)quad_pce_stddev    V(5)quad_pce_variance    V(2)mean    V(2)meanPlus    V(2)meanMinus    V(2)meanPlusTwoSigma    V(2)meanMinusTwoSigma    V(2)stddev    V(2)variance    V(2)quad_pce_mean    V(2)quad_pce_meanPlus    V(2)quad_pce_meanMinus    V(2)quad_pce_meanPlusTwoSigma    V(2)quad_pce_meanMinusTwoSigma    V(2)quad_pce_stddev    V(2)quad_pce_variance    
44   2.90699100e-09   2.34849100e+00   2.50789200e+00   2.18909000e+00   2.66729300e+00   2.02968900e+00   1.59400900e-01   2.54086500e-02   2.36894700e+00   2.45932700e+00   2.27856600e+00   2.54970800e+00   2.18818500e+00   9.03807100e-02   8.16867200e-03   2.40305400e+00   2.45390600e+00   2.35220100e+00   2.50475800e+00   2.30134900e+00   5.08522200e-02   2.58594900e-03   2.40729900e+00   2.43849100e+00   2.37610600e+00   2.46968400e+00   2.34491300e+00   3.11928000e-02   9.72990600e-04   
45   3.00466900e-09   2.32911200e+00   2.48614200e+00   2.17208200e+00   2.64317200e+00   2.01505200e+00   1.57030000e-01   2.46584200e-02   2.34962500e+00   2.43886500e+00   2.26038500e+00   2.52810400e+00   2.17114500e+00   8.92397600e-02   7.96373500e-03   2.42045400e+00   2.47302000e+00   2.36788700e+00   2.52558700e+00   2.31532100e+00   5.25665900e-02   2.76324600e-03   2.42514200e+00   2.45723600e+00   2.39304800e+00   2.48933100e+00   2.36095400e+00   3.20941900e-02   1.03003700e-03   
46   3.10234700e-09   2.29994500e+00   2.45411300e+00   2.14577600e+00   2.60828200e+00   1.99160700e+00   1.54168800e-01   2.37680100e-02   2.31923500e+00   2.40731600e+00   2.23115400e+00   2.49539700e+00   2.14307300e+00   8.80809100e-02   7.75824600e-03   2.43900200e+00   2.49316000e+00   2.38484400e+00   2.54731900e+00   2.33068600e+00   5.41581100e-02   2.93310100e-03   2.44413900e+00   2.47688600e+00   2.41139100e+00   2.50963400e+00   2.37864400e+00   3.27473900e-02   1.07239100e-03   
47   3.20002600e-09   2.26512500e+00   2.41345700e+00   2.11679200e+00   2.56178900e+00   1.96846000e+00   1.48332300e-01   2.20024800e-02   2.28119100e+00   2.36594300e+00   2.19644000e+00   2.45069400e+00   2.11168800e+00   8.47515300e-02   7.18282300e-03   2.45726300e+00   2.51297700e+00   2.40154800e+00   2.56869200e+00   2.34583400e+00   5.57145800e-02   3.10411400e-03   2.46259400e+00   2.49594500e+00   2.42924400e+00   2.52929500e+00   2.39589300e+00   3.33505400e-02   1.11225800e-03   
48   3.29770400e-09   2.23342700e+00   2.37640700e+00   2.09044600e+00   2.51938700e+00   1.94746600e+00   1.42980300e-01   2.04433700e-02   2.24805200e+00   2.32951300e+00   2.16659000e+00   2.41097500e+00   2.08512900e+00   8.14613800e-02   6.63595700e-03   2.47470600e+00   2.53185700e+00   2.41755400e+00   2.58900800e+00   2.36040300e+00   5.71513600e-02   3.26627800e-03   2.48014700e+00   2.51411900e+00   2.44617600e+00   2.54809000e+00   2.41220500e+00   3.39712900e-02   1.15404800e-03   
49   3.39538200e-09   2.20776800e+00   2.34563000e+00   2.06990700e+00   2.48349200e+00   1.93204500e+00   1.37861600e-01   1.90058300e-02   2.22167000e+00   2.30020000e+00   2.14314000e+00   2.37872900e+00   2.06461000e+00   7.85298100e-02   6.16693000e-03   2.49163300e+00   2.55041300e+00   2.43285300e+00   2.60919300e+00   2.37407300e+00   5.87799200e-02   3.45507900e-03   2.49726300e+00   2.53198100e+00   2.46254500e+00   2.56669900e+00   2.42782700e+00   3.47179200e-02   1.20533400e-03   
50   3.49306100e-09   2.18676200e+00   2.32114800e+00   2.05237700e+00   2.45553300e+00   1.91799100e+00   1.34385400e-01   1.80594400e-02   2.20003200e+00   2.27655500e+00   2.12350800e+00   2.35307800e+00   2.04698500e+00   7.65234700e-02   5.85584200e-03   2.50797800e+00   2.56810900e+00   2.44784600e+00   2.62824100e+00   2.38771400e+00   6.01318000e-02   3.61583400e-03   2.51371300e+00   2.54905000e+00   2.47837500e+00   2.58438800e+00   2.44303700e+00   3.53376400e-02   1.24874900e-03   
51   3.68841700e-09   2.15503200e+00   2.28348400e+00   2.02658100e+00   2.41193500e+00   1.89813000e+00   1.28451200e-01   1.64997100e-02   2.16733400e+00   2.24052500e+00   2.09414400e+00   2.31371500e+00   2.02095300e+00   7.31904600e-02   5.35684300e-03   2.53956600e+00   2.60281400e+00   2.47631900e+00   2.66606200e+00   2.41307100e+00   6.32478600e-02   4.00029200e-03   2.54561100e+00   2.58250400e+00   2.50871700e+00   2.61939800e+00   2.47182400e+00   3.68935500e-02   1.36113400e-03   
52   3.88377400e-09   2.13270000e+00   2.25759700e+00   2.00780300e+00   2.38249300e+00   1.88290600e+00   1.24896700e-01   1.55991900e-02   2.14425200e+00   2.21542800e+00   2.07307700e+00   2.28660300e+00   2.00190100e+00   7.11755900e-02   5.06596500e-03   2.56982900e+00   2.63587100e+00   2.50378600e+00   2.70191400e+00   2.43774300e+00   6.60426700e-02   4.36163400e-03   2.57618500e+00   2.61454100e+00   2.53783000e+00   2.65289600e+00   2.49947500e+00   3.83552400e-02   1.47112500e-03   
53   4.07913000e-09   2.11651500e+00   2.23836600e+00   1.99466300e+00   2.36021800e+00   1.87281200e+00   1.21851400e-01   1.48477600e-02   2.12750800e+00   2.19697300e+00   2.05804400e+00   2.26643800e+00   1.98857900e+00   6.94648900e-02   4.82537100e-03   2.59880200e+00   2.66780400e+00   2.52980000e+00   2.73680600e+00   2.46079800e+00   6.90019800e-02   4.76127300e-03   2.60555100e+00   2.64551000e+00   2.56559200e+00   2.68546900e+00   2.52563200e+00   3.99591700e-02   1.59673500e-03   
54   4.46984300e-09   2.09420600e+00   2.21255100e+00   1.97586100e+00   2.33089700e+00   1.85751600e+00   1.18345200e-01   1.40055800e-02   2.10438300e+00   2.17180900e+00   2.03695700e+00   2.23923500e+00   1.96953100e+00   6.74258700e-02   4.54624700e-03   2.65187100e+00   2.72564300e+00   2.57810000e+00   2.79941400e+00   2.50432900e+00   7.37713800e-02   5.44221600e-03   2.65933800e+00   2.70194500e+00   2.61673000e+00   2.74455300e+00   2.57412300e+00   4.26075600e-02   1.81540400e-03   
55   4.86055600e-09   2.07980700e+00   2.19540300e+00   1.96421200e+00   2.31099800e+00   1.84861700e+00   1.15595200e-01   1.33622500e-02   2.08947000e+00   2.15528700e+00   2.02365300e+00   2.22110400e+00   1.95783500e+00   6.58170900e-02   4.33188900e-03   2.69789700e+00   2.77544200e+00   2.62035200e+00   2.85298600e+00   2.54280800e+00   7.75446000e-02   6.01316500e-03   2.70605300e+00   2.75078600e+00   2.66131900e+00   2.79551900e+00   2.61658600e+00   4.47333300e-02   2.00107100e-03   
56   5.25126900e-09   2.06871700e+00   2.18262500e+00   1.95480900e+00   2.29653300e+00   1.84090100e+00   1.13908000e-01   1.29750300e-02   2.07800400e+00   2.14278600e+00   2.01322200e+00   2.20756800e+00   1.94844000e+00   6.47821300e-02   4.19672400e-03   2.73679800e+00   2.81642100e+00   2.65717500e+00   2.89604500e+00   2.57755200e+00   7.96232800e-02   6.33986700e-03   2.74547600e+00   2.79138100e+00   2.69957200e+00   2.83728500e+00   2.65366700e+00   4.59043600e-02   2.10721000e-03   
57   6.03269500e-09   2.05049700e+00   2.16080800e+00   1.94018700e+00   2.27111800e+00   1.82987700e+00   1.10310100e-01   1.21683300e-02   2.05921000e+00   2.12184100e+00   1.99657900e+00   2.18447200e+00   1.93394800e+00   6.26308500e-02   3.92262300e-03   2.79676900e+00   2.87726600e+00   2.71627200e+00   2.95776300e+00   2.63577600e+00   8.04967500e-02   6.47972700e-03   2.80613600e+00   2.85247500e+00   2.75979600e+00   2.89881500e+00   2.71345600e+00   4.63396100e-02   2.14736000e-03   
58   6.81412200e-09   2.03454800e+00   2.14214600e+00   1.92695000e+00   2.24974300e+00   1.81935300e+00   1.07597700e-01   1.15772600e-02   2.04271400e+00   2.10368600e+00   1.98174300e+00   2.16465800e+00   1.92077100e+00   6.09715800e-02   3.71753300e-03   2.83799200e+00   2.91513100e+00   2.76085300e+00   2.99227100e+00   2.68371400e+00   7.71392700e-02   5.95046800e-03   2.84745800e+00   2.89178400e+00   2.80313100e+00   2.93611100e+00   2.75880400e+00   4.43267700e-02   1.96486300e-03   
59   7.59554800e-09   2.02047700e+00   2.12524700e+00   1.91570700e+00   2.23001800e+00   1.81093700e+00   1.04770300e-01   1.09768100e-02   2.02808900e+00   2.08739000e+00   1.96878700e+00   2.14669200e+00   1.90948600e+00   5.93014600e-02   3.51666300e-03   2.86663500e+00   2.93807600e+00   2.79519500e+00   3.00951600e+00   2.72375500e+00   7.14403000e-02   5.10371600e-03   2.87573900e+00   2.91671700e+00   2.83476200e+00   2.95769500e+00   2.79378400e+00   4.09778500e-02   1.67918400e-03   
60   9.15840000e-09   1.99938300e+00   2.10077400e+00   1.89799300e+00   2.20216400e+00   1.79660300e+00   1.01390100e-01   1.02799500e-02   2.00613400e+00   2.06346800e+00   1.94880100e+00   2.12080200e+00   1.89146700e+00   5.73339100e-02   3.28717700e-03   2.90369000e+00   2.95899300e+00   2.84838700e+00   3.01429600e+00   2.79308400e+00   5.53030600e-02   3.05842900e-03   2.91111300e+00   2.94280700e+00   2.87941800e+00   2.97450100e+00   2.84772400e+00   3.16942200e-02   1.00452300e-03   
61   1.07212500e-08   1.98739200e+00   2.08740500e+00   1.88737900e+00   2.18741800e+00   1.78736600e+00   1.00012800e-01   1.00025600e-02   1.99391400e+00   2.05053400e+00   1.93729300e+00   2.10715400e+00   1.88067300e+00   5.66202800e-02   3.20585600e-03   2.92617200e+00   2.96346000e+00   2.88888500e+00   3.00074700e+00   2.85159800e+00   3.72871400e-02   1.39033100e-03   2.93150000e+00   2.95298900e+00   2.91001000e+00   2.97447900e+00   2.88852000e+00   2.14895900e-02   4.61802500e-04   
62   1.20000000e-08   1.98173400e+00   2.08338600e+00   1.88008100e+00   2.18503900e+00   1.77842800e+00   1.01652900e-01   1.03333100e-02   1.98850900e+00   2.04600500e+00   1.93101300e+00   2.10350100e+00   1.87351700e+00   5.74959400e-02   3.30578300e-03   2.93835700e+00   2.96375000e+00   2.91296400e+00   2.98914300e+00   2.88757100e+00   2.53929300e-02   6.44800900e-04   2.94229600e+00   2.95708500e+00   2.92750600e+00   2.97187500e+00   2.91271600e+00   1.47897000e-02   2.18735200e-04   
63   1.20269000e-08   1.97819100e+00   2.08066700e+00   1.87571600e+00   2.18314200e+00   1.77324000e+00   1.02475400e-01   1.05012000e-02   1.98509600e+00   2.04306300e+00   1.92712900e+00   2.10103000e+00   1.86916100e+00   5.79672400e-02   3.36020100e-03   2.92414500e+00   2.94840000e+00   2.89989000e+00   2.97265500e+00   2.87563500e+00   2.42550500e-02   5.88307300e-04   2.92798300e+00   2.94208700e+00   2.91387900e+00   2.95619000e+00   2.89977500e+00   1.41038400e-02   1.98918300e-04   
64   1.20511100e-08   1.97324600e+00   2.07740200e+00   1.86909100e+00   2.18155700e+00   1.76493500e+00   1.04155400e-01   1.08483500e-02   1.98037500e+00   2.03929700e+00   1.92145400e+00   2.09821900e+00   1.86253200e+00   5.89217400e-02   3.47177200e-03   2.90495500e+00   2.92798100e+00   2.88192900e+00   2.95100700e+00   2.85890300e+00   2.30260900e-02   5.30200800e-04   2.90866800e+00   2.92202400e+00   2.89531300e+00   2.93537900e+00   2.88195800e+00   1.33552000e-02   1.78361400e-04   
65   1.20753200e-08   1.96772300e+00   2.07399400e+00   1.86145200e+00   2.18026500e+00   1.75518100e+00   1.06271000e-01   1.12935200e-02   1.97513100e+00   2.03525500e+00   1.91500600e+00   2.09537900e+00   1.85488200e+00   6.01244100e-02   3.61494500e-03   2.88326400e+00   2.90507100e+00   2.86145700e+00   2.92687800e+00   2.83965000e+00   2.18070200e-02   4.75546200e-04   2.88685000e+00   2.89946700e+00   2.87423300e+00   2.91208400e+00   2.86161600e+00   1.26171400e-02   1.59192200e-04   
66   1.21237500e-08   1.95528300e+00   2.06821600e+00   1.84234900e+00   2.18115000e+00   1.72941500e+00   1.12933700e-01   1.27540300e-02   1.96356400e+00   2.02747900e+00   1.89965000e+00   2.09139300e+00   1.83573600e+00   6.39142800e-02   4.08503600e-03   2.82997000e+00   2.84964900e+00   2.81029100e+00   2.86932700e+00   2.79061200e+00   1.96789600e-02   3.87261500e-04   2.83332800e+00   2.84467200e+00   2.82198300e+00   2.85601600e+00   2.81063900e+00   1.13444500e-02   1.28696500e-04   
67   1.21721700e-08   1.94378800e+00   2.06632100e+00   1.82125600e+00   2.18885300e+00   1.69872300e+00   1.22532400e-01   1.50141800e-02   1.95333500e+00   2.02271300e+00   1.88395800e+00   2.09209100e+00   1.81458000e+00   6.93776700e-02   4.81326100e-03   2.76913800e+00   2.78745000e+00   2.75082500e+00   2.80576200e+00   2.73251300e+00   1.83123700e-02   3.35342900e-04   2.77231900e+00   2.78293000e+00   2.76170800e+00   2.79354100e+00   2.75109700e+00   1.06110900e-02   1.12595200e-04   
68   1.22205900e-08   1.93527500e+00   2.06962300e+00   1.80092600e+00   2.20397200e+00   1.66657700e+00   1.34348700e-01   1.80495800e-02   1.94639300e+00   2.02249600e+00   1.87029000e+00   2.09859900e+00   1.79418800e+00   7.61029200e-02   5.79165400e-03   2.71090100e+00   2.72916200e+00   2.69264000e+00   2.74742200e+00   2.67437900e+00   1.82608700e-02   3.33459400e-04   2.71390600e+00   2.72460600e+00   2.70320600e+00   2.73530600e+00   2.69250600e+00   1.07001000e-02   1.14492100e-04   
69   1.22690100e-08   1.92947000e+00   2.07673900e+00   1.78220200e+00   2.22400700e+00   1.63493400e+00   1.47268300e-01   2.16879500e-02   1.94232300e+00   2.02577100e+00   1.85887500e+00   2.10922000e+00   1.77542600e+00   8.34483800e-02   6.96363100e-03   2.70109400e+00   2.72795800e+00   2.67423000e+00   2.75482200e+00   2.64736600e+00   2.68640800e-02   7.21678700e-04   2.70497500e+00   2.72057500e+00   2.68937600e+00   2.73617500e+00   2.67377600e+00   1.55996700e-02   2.43349700e-04   
70   1.23076300e-08   1.92695300e+00   2.08493000e+00   1.76897600e+00   2.24290700e+00   1.61099900e+00   1.57977100e-01   2.49567800e-02   1.94125800e+00   2.03077800e+00   1.85173800e+00   2.12029800e+00   1.76221800e+00   8.95201300e-02   8.01385300e-03   2.70736900e+00   2.74366900e+00   2.67106900e+00   2.77996800e+00   2.63477000e+00   3.62996000e-02   1.31766100e-03   2.71261700e+00   2.73365300e+00   2.69158100e+00   2.75468900e+00   2.67054400e+00   2.10360600e-02   4.42516000e-04   
71   1.23462500e-08   1.92496700e+00   2.09364300e+00   1.75629000e+00   2.26232000e+00   1.58761400e+00   1.68676500e-01   2.84517500e-02   1.94075800e+00   2.03633800e+00   1.84517900e+00   2.13191800e+00   1.74959900e+00   9.55796800e-02   9.13547400e-03   2.71010000e+00   2.75471300e+00   2.66548800e+00   2.79932600e+00   2.62087500e+00   4.46127100e-02   1.99029400e-03   2.71658900e+00   2.74235100e+00   2.69082800e+00   2.76811300e+00   2.66506600e+00   2.57616300e-02   6.63661400e-04   
72   1.23848600e-08   1.92156100e+00   2.10052800e+00   1.74259400e+00   2.27949600e+00   1.56362700e+00   1.78967100e-01   3.20292300e-02   1.93879600e+00   2.04020800e+00   1.83738500e+00   2.14162000e+00   1.73597300e+00   1.01411600e-01   1.02843200e-02   2.71727800e+00   2.77081100e+00   2.66374500e+00   2.82434400e+00   2.61021100e+00   5.35331200e-02   2.86579500e-03   2.72506800e+00   2.75589800e+00   2.69423900e+00   2.78672700e+00   2.66340900e+00   3.08295600e-02   9.50461600e-04   
73   1.24234800e-08   1.91687600e+00   2.10571600e+00   1.72803700e+00   2.29455500e+00   1.53919700e+00   1.88839400e-01   3.56603300e-02   1.93548400e+00   2.04249200e+00   1.82847700e+00   2.14949900e+00   1.72146900e+00   1.07007600e-01   1.14506300e-02   2.72333600e+00   2.78519700e+00   2.66147500e+00   2.84705900e+00   2.59961400e+00   6.18612400e-02   3.82681200e-03   2.73241000e+00   2.76795200e+00   2.69686800e+00   2.80349400e+00   2.66132600e+00   3.55421400e-02   1.26324300e-03   
74   1.25007100e-08   1.90362100e+00   2.11121600e+00   1.69602700e+00   2.31881000e+00   1.48843200e+00   2.07594400e-01   4.30954400e-02   1.92480700e+00   2.04245300e+00   1.80716200e+00   2.16009800e+00   1.68951600e+00   1.17645500e-01   1.38404600e-02   2.74110700e+00   2.81839900e+00   2.66381600e+00   2.89569000e+00   2.58652500e+00   7.72913500e-02   5.97395200e-03   2.75252200e+00   2.79676800e+00   2.70827600e+00   2.84101500e+00   2.66403000e+00   4.42462900e-02   1.95773500e-03   
75   1.25779500e-08   1.88561100e+00   2.11451100e+00   1.65671100e+00   2.34341100e+00   1.42781000e+00   2.28900200e-01   5.23953200e-02   1.90967900e+00   2.03938300e+00   1.77997400e+00   2.16908800e+00   1.65027000e+00   1.29704500e-01   1.68232600e-02   2.76221300e+00   2.83797800e+00   2.68644900e+00   2.91374200e+00   2.61068500e+00   7.57643000e-02   5.74023000e-03   2.77365900e+00   2.81711700e+00   2.73020100e+00   2.86057500e+00   2.68674200e+00   4.34582300e-02   1.88861800e-03   
76   1.26551800e-08   1.86473300e+00   2.11362500e+00   1.61584000e+00   2.36251800e+00   1.36694800e+00   2.48892400e-01   6.19474300e-02   1.89148000e+00   2.03250500e+00   1.75045500e+00   2.17353000e+00   1.60943000e+00   1.41025000e-01   1.98880400e-02   2.78383700e+00   2.86496300e+00   2.70271200e+00   2.94608800e+00   2.62158600e+00   8.11254400e-02   6.58133700e-03   2.79622400e+00   2.84267400e+00   2.74977500e+00   2.88912400e+00   2.70332500e+00   4.64498200e-02   2.15758600e-03   
77   1.27246900e-08   1.84489300e+00   2.10802100e+00   1.58176600e+00   2.37114800e+00   1.31863900e+00   2.63127200e-01   6.92359200e-02   1.87352400e+00   2.02262700e+00   1.72442200e+00   2.17172900e+00   1.57531900e+00   1.49102400e-01   2.22315100e-02   2.80117600e+00   2.88957400e+00   2.71277900e+00   2.97797200e+00   2.62438100e+00   8.83977700e-02   7.81416600e-03   2.81473400e+00   2.86525900e+00   2.76420900e+00   2.91578300e+00   2.71368500e+00   5.05245700e-02   2.55273200e-03   
78   1.27942000e-08   1.82401200e+00   2.10121900e+00   1.54680500e+00   2.37842600e+00   1.26959800e+00   2.77206900e-01   7.68436700e-02   1.85449800e+00   2.01158500e+00   1.69741100e+00   2.16867100e+00   1.54032400e+00   1.57086800e-01   2.46762800e-02   2.81895700e+00   2.91416400e+00   2.72375000e+00   3.00937100e+00   2.62854300e+00   9.52069900e-02   9.06437100e-03   2.83357400e+00   2.88795100e+00   2.77919800e+00   2.94232700e+00   2.72482200e+00   5.43761200e-02   2.95676200e-03   
79   1.28637100e-08   1.80216600e+00   2.09556500e+00   1.50876600e+00   2.38896500e+00   1.21536700e+00   2.93399500e-01   8.60832800e-02   1.83478000e+00   2.00106400e+00   1.66849500e+00   2.16734900e+00   1.50221100e+00   1.66284400e-01   2.76504900e-02   2.83258100e+00   2.94506100e+00   2.72010100e+00   3.05754100e+00   2.60762100e+00   1.12479900e-01   1.26517400e-02   2.84964800e+00   2.91379200e+00   2.78550500e+00   2.97793500e+00   2.72136200e+00   6.41434500e-02   4.11438300e-03   
80   1.29332200e-08   1.77924000e+00   2.09366600e+00   1.46481400e+00   2.40809200e+00   1.15038800e+00   3.14425900e-01   9.88636400e-02   1.81462900e+00   1.99283300e+00   1.63642500e+00   2.17103700e+00   1.45822000e+00   1.78204200e-01   3.17567200e-02   2.84369600e+00   2.98411400e+00   2.70327900e+00   3.12453200e+00   2.56286100e+00   1.40418000e-01   1.97172100e-02   2.86464300e+00   2.94454500e+00   2.78474100e+00   3.02444800e+00   2.70483900e+00   7.99023200e-02   6.38438000e-03   
81   1.30000000e-08   1.75868400e+00   2.08684600e+00   1.43052200e+00   2.41500700e+00   1.10236000e+00   3.28161900e-01   1.07690300e-01   1.79586300e+00   1.98171700e+00   1.61000900e+00   2.16757100e+00   1.42415600e+00   1.85853800e-01   3.45416500e-02   2.85292500e+00   3.01682300e+00   2.68902800e+00   3.18072100e+00   2.52513000e+00   1.63897600e-01   2.68624300e-02   2.87715900e+00   2.97028600e+00   2.78403200e+00   3.06341200e+00   2.69090600e+00   9.31266500e-02   8.67257300e-03   
82   1.30069500e-08   1.75707700e+00   2.08518600e+00   1.42896800e+00   2.41329400e+00   1.10086000e+00   3.28108600e-01   1.07655300e-01   1.79423700e+00   1.98006600e+00   1.60840800e+00   2.16589500e+00   1.42257900e+00   1.85829000e-01   3.45324000e-02   2.85505200e+00   3.02065600e+00   2.68944800e+00   3.18626000e+00   2.52384400e+00   1.65604200e-01   2.74247500e-02   2.87951500e+00   2.97359000e+00   2.78544000e+00   3.06766500e+00   2.69136500e+00   9.40750400e-02   8.85011300e-03   
83   1.30139000e-08   1.75580400e+00   2.08320700e+00   1.42840000e+00   2.41061100e+00   1.10099600e+00   3.27403800e-01   1.07193200e-01   1.79285300e+00   1.97830500e+00   1.60740100e+00   2.16375600e+00   1.42194900e+00   1.85451800e-01   3.43923500e-02   2.85749500e+00   3.02480900e+00   2.69018100e+00   3.19212200e+00   2.52286800e+00   1.67313600e-01   2.79938300e-02   2.88219100e+00   2.97722900e+00   2.78715400e+00   3.07226600e+00   2.69211600e+00   9.50374000e-02   9.03210700e-03   
84   1.30208500e-08   1.75468900e+00   2.08102800e+00   1.42835100e+00   2.40736700e+00   1.10201200e+00   3.26338800e-01   1.06497000e-01   1.79158000e+00   1.97645100e+00   1.60670900e+00   2.16132100e+00   1.42183800e+00   1.84870900e-01   3.41772400e-02   2.86002500e+00   3.02897600e+00   2.69107400e+00   3.19792600e+00   2.52212400e+00   1.68950700e-01   2.85443300e-02   2.88494600e+00   2.98091500e+00   2.78897600e+00   3.07688500e+00   2.69300600e+00   9.59696000e-02   9.21016300e-03   
85   1.30347600e-08   1.75315100e+00   2.07568500e+00   1.43061700e+00   2.39821900e+00   1.10808300e+00   3.22533900e-01   1.04028100e-01   1.78950000e+00   1.97224800e+00   1.60675200e+00   2.15499600e+00   1.42400400e+00   1.82747900e-01   3.33968000e-02   2.86522200e+00   3.03616100e+00   2.69428300e+00   3.20710000e+00   2.52334300e+00   1.70939200e-01   2.92202300e-02   2.89042800e+00   2.98754200e+00   2.79331400e+00   3.08465600e+00   2.69619900e+00   9.71142400e-02   9.43117600e-03   
86   1.30486600e-08   1.75209800e+00   2.06958200e+00   1.43461400e+00   2.38706600e+00   1.11713000e+00   3.17484000e-01   1.00796100e-01   1.78774200e+00   1.96764000e+00   1.60784300e+00   2.14753900e+00   1.42794400e+00   1.79898800e-01   3.23635600e-02   2.87017700e+00   3.04152600e+00   2.69882900e+00   3.21287400e+00   2.52748100e+00   1.71348300e-01   2.93602500e-02   2.89546300e+00   2.99281500e+00   2.79811100e+00   3.09016700e+00   2.70075900e+00   9.73521600e-02   9.47744300e-03   
87   1.30764600e-08   1.75042100e+00   2.05694000e+00   1.44390200e+00   2.36345800e+00   1.13738400e+00   3.06518600e-01   9.39536800e-02   1.78453300e+00   1.95820800e+00   1.61085700e+00   2.13188300e+00   1.43718200e+00   1.73675200e-01   3.01630700e-02   2.87954100e+00   3.04924800e+00   2.70983400e+00   3.21895500e+00   2.54012600e+00   1.69707100e-01   2.88005100e-02   2.90466400e+00   3.00109500e+00   2.80823300e+00   3.09752700e+00   2.71180100e+00   9.64313100e-02   9.29899700e-03   
88   1.31042700e-08   1.74900300e+00   2.04443600e+00   1.45357000e+00   2.33986900e+00   1.15813700e+00   2.95432800e-01   8.72805700e-02   1.78155200e+00   1.94893100e+00   1.61417400e+00   2.11630900e+00   1.44679600e+00   1.67378100e-01   2.80154200e-02   2.88850300e+00   3.05437300e+00   2.72263300e+00   3.22024200e+00   2.55676400e+00   1.65869500e-01   2.75127000e-02   2.91318400e+00   3.00745000e+00   2.81891900e+00   3.10171600e+00   2.72465300e+00   9.42657400e-02   8.88603000e-03   
89   1.31598700e-08   1.74657500e+00   2.02076200e+00   1.47238900e+00   2.29494900e+00   1.19820200e+00   2.74186600e-01   7.51782700e-02   1.77607400e+00   1.93143700e+00   1.62071100e+00   2.08679900e+00   1.46534800e+00   1.55362800e-01   2.41375900e-02   2.90492700e+00   3.06076900e+00   2.74908500e+00   3.21661100e+00   2.59324300e+00   1.55842000e-01   2.42867300e-02   2.92843900e+00   3.01703400e+00   2.83984300e+00   3.10562900e+00   2.75124800e+00   8.85953500e-02   7.84913600e-03   
90   1.32154800e-08   1.74473500e+00   1.99923300e+00   1.49023700e+00   2.25373100e+00   1.23573900e+00   2.54497900e-01   6.47691600e-02   1.77135500e+00   1.91557800e+00   1.62713100e+00   2.05980200e+00   1.48290700e+00   1.44223600e-01   2.08004600e-02   2.91922300e+00   3.06401700e+00   2.77442800e+00   3.20881100e+00   2.62963400e+00   1.44794200e-01   2.09653500e-02   2.94143100e+00   3.02377000e+00   2.85909200e+00   3.10610900e+00   2.77675300e+00   8.23389200e-02   6.77969700e-03   
91   1.33267000e-08   1.74301900e+00   1.96351000e+00   1.52252800e+00   2.18400200e+00   1.30203700e+00   2.20491200e-01   4.86163700e-02   1.76463400e+00   1.88954900e+00   1.63972000e+00   2.01446300e+00   1.51480500e+00   1.24914500e-01   1.56036200e-02   2.94208600e+00   3.06512400e+00   2.81904700e+00   3.18816300e+00   2.69600900e+00   1.23038500e-01   1.51384600e-02   2.96164300e+00   3.03165300e+00   2.89163400e+00   3.10166200e+00   2.82162400e+00   7.00095900e-02   4.90134200e-03   
92   1.34379200e-08   1.74375400e+00   1.93653000e+00   1.55097800e+00   2.12930500e+00   1.35820200e+00   1.92775800e-01   3.71625100e-02   1.76132700e+00   1.87045700e+00   1.65219600e+00   1.97958800e+00   1.54306600e+00   1.09130500e-01   1.19094600e-02   2.95888300e+00   3.06145800e+00   2.85630800e+00   3.16403400e+00   2.75373200e+00   1.02575400e-01   1.05217200e-02   2.97583200e+00   3.03425700e+00   2.91740700e+00   3.09268200e+00   2.85898300e+00   5.84248400e-02   3.41346200e-03   
93   1.35491300e-08   1.74632100e+00   1.91661700e+00   1.57602500e+00   2.08691300e+00   1.40572900e+00   1.70295800e-01   2.90006800e-02   1.76065300e+00   1.85699000e+00   1.66431500e+00   1.95332700e+00   1.56797800e+00   9.63371700e-02   9.28085000e-03   2.97101900e+00   3.05598100e+00   2.88605600e+00   3.14094300e+00   2.80109400e+00   8.49622900e-02   7.21859000e-03   2.98568000e+00   3.03417000e+00   2.93718900e+00   3.08266100e+00   2.88869800e+00   4.84907400e-02   2.35135200e-03   
94   1.37715700e-08   1.75401400e+00   1.89498800e+00   1.61304000e+00   2.03596200e+00   1.47206600e+00   1.40974000e-01   1.98736800e-02   1.76400600e+00   1.84359300e+00   1.68441900e+00   1.92318100e+00   1.60483200e+00   7.95871800e-02   6.33411900e-03   2.98536200e+00   3.04809500e+00   2.92263000e+00   3.11082700e+00   2.85989700e+00   6.27324800e-02   3.93536400e-03   2.99714900e+00   3.03309100e+00   2.96120600e+00   3.06903300e+00   2.92526400e+00   3.59422800e-02   1.29184800e-03   
