Index    TIME    {V(DRAIN)}_quad_pce_mean    {V(DRAIN)}_quad_pce_meanPlus    {V(DRAIN)}_quad_pce_meanMinus    {V(DRAIN)}_quad_pce_stddev    {V(DRAIN)}_quad_pce_variance    
47   4.52438900e-07   8.16708100e-01   1.13483100e+00   4.98584800e-01   3.18123300e-01   1.01202400e-01   
48   4.52790400e-07   8.03229000e-01   1.13236600e+00   4.74091900e-01   3.29137200e-01   1.08331300e-01   
49   4.53142000e-07   7.89799200e-01   1.12909100e+00   4.50507200e-01   3.39292000e-01   1.15119100e-01   
50   4.53458400e-07   7.77730000e-01   1.12539200e+00   4.30068300e-01   3.47661700e-01   1.20868700e-01   
51   4.53774800e-07   7.64955900e-01   1.12173000e+00   4.08181900e-01   3.56774000e-01   1.27287700e-01   
52   4.54091200e-07   7.51379000e-01   1.11824900e+00   3.84509500e-01   3.66869500e-01   1.34593200e-01   
53   4.54407600e-07   7.37089100e-01   1.11493600e+00   3.59242200e-01   3.77846900e-01   1.42768300e-01   
54   4.54724000e-07   7.22417900e-01   1.11164800e+00   3.33187900e-01   3.89229900e-01   1.51499900e-01   
55   4.55040400e-07   7.07545900e-01   1.10832100e+00   3.06771300e-01   4.00774700e-01   1.60620300e-01   
56   4.55356800e-07   6.92224900e-01   1.10512200e+00   2.79327900e-01   4.12897000e-01   1.70483900e-01   
57   4.55673200e-07   6.76895600e-01   1.10180400e+00   2.51987600e-01   4.24908000e-01   1.80546800e-01   
58   4.55989600e-07   6.62982800e-01   1.09760400e+00   2.28361200e-01   4.34621600e-01   1.88895900e-01   
59   4.56306000e-07   6.51313300e-01   1.09216800e+00   2.10458700e-01   4.40854600e-01   1.94352800e-01   
60   4.56622400e-07   6.41101600e-01   1.08582200e+00   1.96381300e-01   4.44720200e-01   1.97776100e-01   
61   4.56938800e-07   6.31032400e-01   1.07902500e+00   1.83039900e-01   4.47992500e-01   2.00697300e-01   
62   4.57255200e-07   6.21154400e-01   1.07181000e+00   1.70498900e-01   4.50655500e-01   2.03090400e-01   
63   4.57571600e-07   6.12445100e-01   1.06379200e+00   1.61098400e-01   4.51346700e-01   2.03713900e-01   
64   4.57888000e-07   6.04273100e-01   1.05497000e+00   1.53576300e-01   4.50696800e-01   2.03127600e-01   
65   4.58204400e-07   5.95607500e-01   1.04556200e+00   1.45652700e-01   4.49954800e-01   2.02459300e-01   
66   4.58520800e-07   5.86735100e-01   1.03552100e+00   1.37948700e-01   4.48786400e-01   2.01409200e-01   
67   4.58837200e-07   5.78227600e-01   1.02470700e+00   1.31748100e-01   4.46479400e-01   1.99343900e-01   
68   4.59153600e-07   5.69677600e-01   1.01317000e+00   1.26184900e-01   4.43492600e-01   1.96685700e-01   
69   4.59470000e-07   5.60464900e-01   1.00104900e+00   1.19880800e-01   4.40584100e-01   1.94114400e-01   
70   4.59786400e-07   5.50594900e-01   9.88397400e-01   1.12792300e-01   4.37802600e-01   1.91671100e-01   
71   4.60419300e-07   5.28823700e-01   9.61762000e-01   9.58854100e-02   4.32938300e-01   1.87435600e-01   
72   4.61052100e-07   5.04303600e-01   9.33865500e-01   7.47417500e-02   4.29561900e-01   1.84523400e-01   
73   4.61684900e-07   4.77004200e-01   9.05351600e-01   4.86568200e-02   4.28347400e-01   1.83481500e-01   
74   4.62317700e-07   4.46941000e-01   8.76849200e-01   1.70328000e-02   4.29908200e-01   1.84821100e-01   
75   4.62950500e-07   4.14211500e-01   8.48903900e-01   -2.04807800e-02   4.34692300e-01   1.88957400e-01   
76   4.63583300e-07   3.79367200e-01   8.22001700e-01   -6.32673600e-02   4.42634500e-01   1.95925300e-01   
77   4.63691100e-07   3.73351700e-01   8.17527500e-01   -7.08240800e-02   4.44175800e-01   1.97292100e-01   
78   4.63906600e-07   3.61910000e-01   8.08932100e-01   -8.51120200e-02   4.47022100e-01   1.99828700e-01   
79   4.64122200e-07   3.52270900e-01   8.00875700e-01   -9.63338600e-02   4.48604800e-01   2.01246300e-01   
80   4.64337700e-07   3.44829400e-01   7.93322000e-01   -1.03663200e-01   4.48492600e-01   2.01145600e-01   
81   4.64553200e-07   3.39049800e-01   7.86053600e-01   -1.07954100e-01   4.47003900e-01   1.99812500e-01   
82   4.64768800e-07   3.34233600e-01   7.78824000e-01   -1.10356800e-01   4.44590400e-01   1.97660600e-01   
83   4.64984300e-07   3.29845900e-01   7.71455800e-01   -1.11764000e-01   4.41609900e-01   1.95019300e-01   
84   4.65199900e-07   3.25834500e-01   7.63907900e-01   -1.12238900e-01   4.38073400e-01   1.91908300e-01   
85   4.65415400e-07   3.22113800e-01   7.56117800e-01   -1.11890200e-01   4.34004000e-01   1.88359500e-01   
86   4.65631000e-07   3.18379600e-01   7.47979200e-01   -1.11220000e-01   4.29599600e-01   1.84555800e-01   
87   4.66062100e-07   3.10364800e-01   7.30478700e-01   -1.09749200e-01   4.20113900e-01   1.76495700e-01   
88   4.66493200e-07   3.01520500e-01   7.11298600e-01   -1.08257600e-01   4.09778100e-01   1.67918100e-01   
89   4.66924300e-07   2.91801000e-01   6.90408300e-01   -1.06806400e-01   3.98607300e-01   1.58887800e-01   
90   4.67355300e-07   2.81169800e-01   6.67799800e-01   -1.05460100e-01   3.86629900e-01   1.49482700e-01   
91   4.67786400e-07   2.69593400e-01   6.43490900e-01   -1.04304000e-01   3.73897400e-01   1.39799300e-01   
92   4.68217500e-07   2.57044500e-01   6.17532400e-01   -1.03443300e-01   3.60487900e-01   1.29951500e-01   
93   4.68648600e-07   2.43502300e-01   5.90015200e-01   -1.03010600e-01   3.46512900e-01   1.20071200e-01   
94   4.69079700e-07   2.28954000e-01   5.61078300e-01   -1.03170400e-01   3.32124400e-01   1.10306600e-01   
95   4.69510800e-07   2.13395200e-01   5.30917000e-01   -1.04126600e-01   3.17521800e-01   1.00820100e-01   
96   4.69941900e-07   1.96831500e-01   4.99792300e-01   -1.06129200e-01   3.02960800e-01   9.17852300e-02   
97   4.70373000e-07   1.79280200e-01   4.68040900e-01   -1.09480400e-01   2.88760700e-01   8.33827300e-02   
98   4.70804100e-07   1.60774800e-01   4.36084900e-01   -1.14535400e-01   2.75310200e-01   7.57956800e-02   
99   4.71235200e-07   1.41378900e-01   4.04442500e-01   -1.21684700e-01   2.63063600e-01   6.92024500e-02   
100   4.71666300e-07   1.21261400e-01   3.73767600e-01   -1.31244700e-01   2.52506100e-01   6.37593500e-02   
101   4.72097400e-07   1.01654700e-01   3.45443100e-01   -1.42133600e-01   2.43788400e-01   5.94327600e-02   
102   4.72171600e-07   9.86390000e-02   3.40995000e-01   -1.43717000e-01   2.42356000e-01   5.87364300e-02   
103   4.72245800e-07   9.57848100e-02   3.36708700e-01   -1.45139100e-01   2.40923900e-01   5.80443300e-02   
104   4.72394300e-07   9.11361200e-02   3.28911400e-01   -1.46639200e-01   2.37775300e-01   5.65371000e-02   
105   4.72542700e-07   8.78192300e-02   3.21969300e-01   -1.46330800e-01   2.34150000e-01   5.48262400e-02   
106   4.72691100e-07   8.54153600e-02   3.15521700e-01   -1.44691000e-01   2.30106300e-01   5.29489300e-02   
107   4.72839600e-07   8.34598000e-02   3.09235800e-01   -1.42316200e-01   2.25776000e-01   5.09748100e-02   
108   4.73136500e-07   7.98797200e-02   2.96467700e-01   -1.36708300e-01   2.16588000e-01   4.69103600e-02   
109   4.73433400e-07   7.62834200e-02   2.83134700e-01   -1.30567900e-01   2.06851300e-01   4.27874600e-02   
110   4.74027100e-07   6.85454200e-02   2.54436700e-01   -1.17345900e-01   1.85891300e-01   3.45555800e-02   
111   4.74620900e-07   6.00878800e-02   2.23034500e-01   -1.02858700e-01   1.62946600e-01   2.65515900e-02   
112   4.75214700e-07   5.09201000e-02   1.88968800e-01   -8.71285600e-02   1.38048700e-01   1.90574300e-02   
113   4.75808500e-07   4.10689800e-02   1.52343700e-01   -7.02057500e-02   1.11274700e-01   1.23820700e-02   
114   4.76402300e-07   3.05831500e-02   1.13346900e-01   -5.21805800e-02   8.27637300e-02   6.84983400e-03   
115   4.76996000e-07   1.95547300e-02   7.23344100e-02   -3.32249400e-02   5.27796800e-02   2.78569400e-03   
116   4.77589800e-07   8.38693500e-03   3.08455100e-02   -1.40716400e-02   2.24585800e-02   5.04387700e-04   
117   4.77670500e-07   6.93311900e-03   2.54519800e-02   -1.15857400e-02   1.85188600e-02   3.42948300e-04   
118   4.77831900e-07   4.26438600e-03   1.55433900e-02   -7.01461700e-03   1.12790000e-02   1.27215900e-04   
119   4.78154800e-07   1.11085500e-03   3.71618400e-03   -1.49447300e-03   2.60532900e-03   6.78773800e-06   
120   4.78428300e-07   4.24706700e-04   1.05111900e-03   -2.01705700e-04   6.26412300e-04   3.92392400e-07   
121   4.78701900e-07   3.42708600e-04   7.64925400e-04   -7.95083000e-05   4.22216900e-04   1.78267100e-07   
122   4.78975500e-07   3.24612900e-04   7.17465400e-04   -6.82396800e-05   3.92852500e-04   1.54333100e-07   
123   4.79249000e-07   3.09280400e-04   6.78889800e-04   -6.03289800e-05   3.69609400e-04   1.36611100e-07   
124   4.79796200e-07   2.81442200e-04   6.09277300e-04   -4.63929400e-05   3.27835100e-04   1.07475900e-07   
