Index      TIME           V(1)           V(2)           V(3)           I(VMON)
57      5.18055259e-04   3.79633225e+02   1.11775497e+02   2.80713589e+01   2.09260345e+01   
58      5.28055259e-04   3.79107860e+02   1.13374141e+02   2.89585569e+01   2.11038961e+01   
59      5.38055259e-04   3.78578066e+02   1.14981557e+02   2.98602082e+01   2.12803373e+01   
60      5.48055259e-04   3.78043878e+02   1.16597658e+02   3.07762608e+01   2.14553493e+01   
61      5.58055259e-04   3.77505334e+02   1.18222352e+02   3.17066574e+01   2.16289236e+01   
62      5.68055259e-04   3.76962468e+02   1.19855542e+02   3.26513361e+01   2.18010514e+01   
63      5.78055259e-04   3.76415318e+02   1.21497127e+02   3.36102300e+01   2.19717243e+01   
64      5.88055259e-04   3.75863918e+02   1.23147003e+02   3.45832673e+01   2.21409339e+01   
65      5.98055259e-04   3.75308308e+02   1.24805059e+02   3.55703715e+01   2.23086719e+01   
66      6.08055259e-04   3.74748522e+02   1.26471181e+02   3.65714612e+01   2.24749300e+01   
67      6.18055259e-04   3.74184598e+02   1.28145251e+02   3.75864503e+01   2.26397002e+01   
68      6.28055259e-04   3.73616574e+02   1.29827146e+02   3.86152478e+01   2.28029745e+01   
69      6.38055259e-04   3.73044487e+02   1.31516738e+02   3.96577581e+01   2.29647449e+01   
70      6.48055259e-04   3.72468375e+02   1.33213896e+02   4.07138808e+01   2.31250037e+01   
71      6.58055259e-04   3.71888275e+02   1.34918484e+02   4.17835111e+01   2.32837432e+01   
72      6.68055259e-04   3.71304225e+02   1.36630363e+02   4.28665392e+01   2.34409559e+01   
73      6.78055259e-04   3.70716265e+02   1.38349388e+02   4.39628510e+01   2.35966343e+01   
74      6.88055259e-04   3.70124432e+02   1.40075412e+02   4.50723276e+01   2.37507711e+01   
75      6.98055259e-04   3.69528765e+02   1.41808282e+02   4.61948460e+01   2.39033591e+01   
76      7.08055259e-04   3.68929303e+02   1.43547844e+02   4.73302783e+01   2.40543913e+01   
77      7.18055259e-04   3.68326085e+02   1.45293935e+02   4.84784923e+01   2.42038608e+01   
78      7.28055259e-04   3.67719149e+02   1.47046395e+02   4.96393516e+01   2.43517607e+01   
79      7.38055259e-04   3.67108536e+02   1.48805053e+02   5.08127154e+01   2.44980845e+01   
80      7.48055259e-04   3.66494284e+02   1.50569740e+02   5.19984384e+01   2.46428255e+01   
81      7.58055259e-04   3.65876434e+02   1.52340281e+02   5.31963713e+01   2.47859775e+01   
82      7.68055259e-04   3.65255025e+02   1.54116497e+02   5.44063606e+01   2.49275342e+01   
83      7.78055259e-04   3.64630098e+02   1.55898206e+02   5.56282486e+01   2.50674895e+01   
84      7.88055259e-04   3.64001691e+02   1.57685223e+02   5.68618736e+01   2.52058374e+01   
85      7.98055259e-04   3.63369846e+02   1.59477359e+02   5.81070699e+01   2.53425723e+01   
86      8.08055259e-04   3.62734603e+02   1.61274422e+02   5.93636678e+01   2.54776884e+01   
87      8.18055259e-04   3.62096002e+02   1.63076215e+02   6.06314937e+01   2.56111804e+01   
88      8.28055259e-04   3.61454084e+02   1.64882542e+02   6.19103702e+01   2.57430429e+01   
89      8.38055259e-04   3.60808891e+02   1.66693199e+02   6.32001161e+01   2.58732706e+01   
90      8.48055259e-04   3.60160462e+02   1.68507982e+02   6.45005467e+01   2.60018588e+01   
91      8.58055259e-04   3.59508839e+02   1.70326683e+02   6.58114735e+01   2.61288025e+01   
92      8.68055259e-04   3.58854063e+02   1.72149092e+02   6.71327043e+01   2.62540970e+01   
93      8.78055259e-04   3.58196175e+02   1.73974995e+02   6.84640437e+01   2.63777379e+01   
94      8.88055259e-04   3.57535217e+02   1.75804176e+02   6.98052927e+01   2.64997209e+01   
95      8.98055259e-04   3.56871231e+02   1.77636416e+02   7.11562491e+01   2.66200418e+01   
96      9.08055259e-04   3.56204257e+02   1.79471494e+02   7.25167072e+01   2.67386967e+01   
97      9.18055259e-04   3.55534338e+02   1.81309185e+02   7.38864583e+01   2.68556817e+01   
98      9.28055259e-04   3.54861515e+02   1.83149264e+02   7.52652905e+01   2.69709933e+01   
