Index         TIME             V(1)             V(2)             V(3A)            V(3B)        {V(4A)-V(4B)}  {V(2)/2+V(3A)/3+V(4A)}
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       1.00000000e-10   6.28318531e-10   1.25663706e-09   6.28318531e-10   -1.25663706e-09  0.00000000e+00   -1.03397577e-25  
2       3.00000000e-10   1.88495559e-09   3.76991118e-09   1.88495559e-09   -3.76991118e-09  0.00000000e+00   -4.13590306e-25  
3       7.00000000e-10   4.39822972e-09   8.79645943e-09   4.39822972e-09   -8.79645943e-09  0.00000000e+00   -8.27180613e-25  
4       1.50000000e-09   9.42477796e-09   1.88495559e-08   9.42477796e-09   -1.88495559e-08  0.00000000e+00   -1.65436123e-24  
5       3.10000000e-09   1.94778745e-08   3.89557489e-08   1.94778745e-08   -3.89557489e-08  0.00000000e+00   -3.30872245e-24  
6       6.30000000e-09   3.95840674e-08   7.91681349e-08   3.95840674e-08   -7.91681349e-08  0.00000000e+00   0.00000000e+00   
7       1.27000000e-08   7.97964534e-08   1.59592907e-07   7.97964534e-08   -1.59592907e-07  0.00000000e+00   0.00000000e+00   
8       2.55000000e-08   1.60221225e-07   3.20442451e-07   1.60221225e-07   -3.20442451e-07  0.00000000e+00   0.00000000e+00   
9       5.11000000e-08   3.21070769e-07   6.42141538e-07   3.21070769e-07   -6.42141538e-07  0.00000000e+00   0.00000000e+00   
10      1.02300000e-07   6.42769857e-07   1.28553971e-06   6.42769857e-07   -1.28553971e-06  0.00000000e+00   -1.05879118e-22  
11      2.04700000e-07   1.28616803e-06   2.57233606e-06   1.28616803e-06   -2.57233606e-06  0.00000000e+00   -2.11758237e-22  
12      4.09500000e-07   2.57296438e-06   5.14592877e-06   2.57296438e-06   -5.14592877e-06  0.00000000e+00   -4.23516474e-22  
13      8.19100000e-07   5.14655709e-06   1.02931142e-05   5.14655709e-06   -1.02931142e-05  0.00000000e+00   0.00000000e+00   
14      1.63830000e-06   1.02937425e-05   2.05874850e-05   1.02937425e-05   -2.05874850e-05  0.00000000e+00   0.00000000e+00   
15      3.27670000e-06   2.05881133e-05   4.11762266e-05   2.05881133e-05   -4.11762266e-05  0.00000000e+00   0.00000000e+00   
16      6.55350000e-06   4.11768549e-05   8.23537098e-05   4.11768549e-05   -8.23537098e-05  0.00000000e+00   6.77626358e-21   
17      1.31071000e-05   8.23543380e-05   1.64708676e-04   8.23543380e-05   -1.64708676e-04  0.00000000e+00   -1.35525272e-20  
18      2.62143000e-05   1.64709304e-04   3.29418608e-04   1.64709304e-04   -3.29418608e-04  0.00000000e+00   2.71050543e-20   
19      5.24287000e-05   3.29419232e-04   6.58838463e-04   3.29419232e-04   -6.58838463e-04  0.00000000e+00   0.00000000e+00   
20      1.04857500e-04   6.58839056e-04   1.31767811e-03   6.58839056e-04   -1.31767811e-03  0.00000000e+00   1.08420217e-19   
21      2.09715100e-04   1.31767845e-03   2.63535691e-03   1.31767845e-03   -2.63535691e-03  0.00000000e+00   0.00000000e+00   
22      4.19430300e-04   2.63535525e-03   5.27071050e-03   2.63535525e-03   -5.27071050e-03  0.00000000e+00   0.00000000e+00   
23      8.38860700e-04   5.27069282e-03   1.05413856e-02   5.27069282e-03   -1.05413856e-02  0.00000000e+00   0.00000000e+00   
24      1.67772150e-03   1.05412398e-02   2.10824797e-02   1.05412398e-02   -2.10824797e-02  0.00000000e+00   0.00000000e+00   
25      3.35544310e-03   2.10813090e-02   4.21626179e-02   2.10813090e-02   -4.21626179e-02  0.00000000e+00   0.00000000e+00   
26      6.71088630e-03   4.21532485e-02   8.43064971e-02   4.21532485e-02   -8.43064971e-02  0.00000000e+00   0.00000000e+00   
27      1.34217727e-02   8.42315625e-02   1.68463125e-01   8.42315625e-02   -1.68463125e-01  0.00000000e+00   1.38777878e-17   
28      2.68435455e-02   1.67864443e-01   3.35728885e-01   1.67864443e-01   -3.35728885e-01  0.00000000e+00   0.00000000e+00   
29      4.02653183e-02   2.50304212e-01   5.00608423e-01   2.50304212e-01   -5.00608423e-01  0.00000000e+00   0.00000000e+00   
30      5.36870911e-02   3.30964922e-01   6.61929844e-01   3.30964922e-01   -6.61929844e-01  0.00000000e+00   0.00000000e+00   
31      6.71088639e-02   4.09273271e-01   8.18546542e-01   4.09273271e-01   -8.18546542e-01  0.00000000e+00   1.11022302e-16   
32      8.05306367e-02   4.84672675e-01   9.69345351e-01   4.84672675e-01   -9.69345351e-01  0.00000000e+00   0.00000000e+00   
33      9.39524095e-02   5.56627227e-01   1.11325445e+00   5.56627227e-01   -1.11325445e+00  0.00000000e+00   0.00000000e+00   
34      1.07374182e-01   6.24625503e-01   1.24925101e+00   6.24625503e-01   -1.24925101e+00  0.00000000e+00   0.00000000e+00   
35      1.20795955e-01   6.88184199e-01   1.37636840e+00   6.88184199e-01   -1.37636840e+00  0.00000000e+00   0.00000000e+00   
36      1.34217728e-01   7.46851568e-01   1.49370314e+00   7.46851568e-01   -1.49370314e+00  0.00000000e+00   0.00000000e+00   
37      1.47639501e-01   8.00210625e-01   1.60042125e+00   8.00210625e-01   -1.60042125e+00  0.00000000e+00   2.22044605e-16   
38      1.61061274e-01   8.47882116e-01   1.69576423e+00   8.47882116e-01   -1.69576423e+00  0.00000000e+00   0.00000000e+00   
39      1.74483046e-01   8.89527213e-01   1.77905443e+00   8.89527213e-01   -1.77905443e+00  0.00000000e+00   0.00000000e+00   
40      1.87904819e-01   9.24849919e-01   1.84969984e+00   9.24849919e-01   -1.84969984e+00  0.00000000e+00   0.00000000e+00   
41      2.01326592e-01   9.53599174e-01   1.90719835e+00   9.53599174e-01   -1.90719835e+00  0.00000000e+00   0.00000000e+00   
42      2.14748365e-01   9.75570642e-01   1.95114128e+00   9.75570642e-01   -1.95114128e+00  0.00000000e+00   2.22044605e-16   
43      2.28170138e-01   9.90608158e-01   1.98121632e+00   9.90608158e-01   -1.98121632e+00  0.00000000e+00   0.00000000e+00   
44      2.41591910e-01   9.98604842e-01   1.99720968e+00   9.98604842e-01   -1.99720968e+00  0.00000000e+00   0.00000000e+00   
45      2.55013683e-01   9.99503856e-01   1.99900771e+00   9.99503856e-01   -1.99900771e+00  0.00000000e+00   0.00000000e+00   
46      2.68435456e-01   9.93298811e-01   1.98659762e+00   9.93298811e-01   -1.98659762e+00  0.00000000e+00   0.00000000e+00   
47      2.81857229e-01   9.80033810e-01   1.96006762e+00   9.80033810e-01   -1.96006762e+00  0.00000000e+00   0.00000000e+00   
48      2.95279002e-01   9.59803134e-01   1.91960627e+00   9.59803134e-01   -1.91960627e+00  0.00000000e+00   2.22044605e-16   
49      3.08700774e-01   9.32750575e-01   1.86550115e+00   9.32750575e-01   -1.86550115e+00  0.00000000e+00   0.00000000e+00   
50      3.22122547e-01   8.99068412e-01   1.79813682e+00   8.99068412e-01   -1.79813682e+00  0.00000000e+00   0.00000000e+00   
51      3.35544320e-01   8.58996043e-01   1.71799209e+00   8.58996043e-01   -1.71799209e+00  0.00000000e+00   0.00000000e+00   
52      3.48966093e-01   8.12818286e-01   1.62563657e+00   8.12818286e-01   -1.62563657e+00  0.00000000e+00   0.00000000e+00   
53      3.62387866e-01   7.60863353e-01   1.52172671e+00   7.60863353e-01   -1.52172671e+00  0.00000000e+00   0.00000000e+00   
54      3.75809638e-01   7.03500519e-01   1.40700104e+00   7.03500519e-01   -1.40700104e+00  0.00000000e+00   -1.11022302e-16  
55      3.89231411e-01   6.41137495e-01   1.28227499e+00   6.41137495e-01   -1.28227499e+00  0.00000000e+00   0.00000000e+00   
56      4.02653184e-01   5.74217531e-01   1.14843506e+00   5.74217531e-01   -1.14843506e+00  0.00000000e+00   1.11022302e-16   
57      4.16074957e-01   5.03216267e-01   1.00643253e+00   5.03216267e-01   -1.00643253e+00  0.00000000e+00   0.00000000e+00   
58      4.29496730e-01   4.28638350e-01   8.57276699e-01   4.28638350e-01   -8.57276699e-01  0.00000000e+00   0.00000000e+00   
