Index         TIME             V(1)             V(2)             V(3A)            V(3B)        {V(4A)-V(4B)}  {V(2)/2+V(3A)/3+V(4A)}
59      4.42918502e-01   3.51013849e-01   7.02027698e-01   3.51013849e-01   -7.02027698e-01  0.00000000e+00   -5.55111512e-17  
60      4.56340275e-01   2.70894487e-01   5.41788974e-01   2.70894487e-01   -5.41788974e-01  0.00000000e+00   0.00000000e+00   
61      4.69762048e-01   1.88849719e-01   3.77699439e-01   1.88849719e-01   -3.77699439e-01  0.00000000e+00   0.00000000e+00   
62      4.83183821e-01   1.05462686e-01   2.10925373e-01   1.05462686e-01   -2.10925373e-01  0.00000000e+00   0.00000000e+00   
63      4.96605594e-01   2.13260682e-02   4.26521364e-02   2.13260682e-02   -4.26521364e-02  0.00000000e+00   0.00000000e+00   
64      5.10027366e-01   -6.29621268e-02  -1.25924254e-01  -6.29621268e-02  1.25924254e-01   0.00000000e+00   0.00000000e+00   
65      5.23449139e-01   -1.46802813e-01  -2.93605626e-01  -1.46802813e-01  2.93605626e-01   0.00000000e+00   0.00000000e+00   
66      5.36870912e-01   -2.29600086e-01  -4.59200172e-01  -2.29600086e-01  4.59200172e-01   0.00000000e+00   0.00000000e+00   
67      5.50292685e-01   -3.10765456e-01  -6.21530913e-01  -3.10765456e-01  6.21530913e-01   0.00000000e+00   0.00000000e+00   
68      5.63714458e-01   -3.89722035e-01  -7.79444069e-01  -3.89722035e-01  7.79444069e-01   0.00000000e+00   0.00000000e+00   
69      5.77136230e-01   -4.65908630e-01  -9.31817261e-01  -4.65908630e-01  9.31817261e-01   0.00000000e+00   0.00000000e+00   
70      5.90558003e-01   -5.38783740e-01  -1.07756748e+00  -5.38783740e-01  1.07756748e+00   0.00000000e+00   -1.11022302e-16  
71      6.03979776e-01   -6.07829399e-01  -1.21565880e+00  -6.07829399e-01  1.21565880e+00   0.00000000e+00   0.00000000e+00   
72      6.17401549e-01   -6.72554858e-01  -1.34510972e+00  -6.72554858e-01  1.34510972e+00   0.00000000e+00   1.11022302e-16   
73      6.30823322e-01   -7.32500076e-01  -1.46500015e+00  -7.32500076e-01  1.46500015e+00   0.00000000e+00   -1.11022302e-16  
74      6.44245094e-01   -7.87238986e-01  -1.57447797e+00  -7.87238986e-01  1.57447797e+00   0.00000000e+00   0.00000000e+00   
75      6.57666867e-01   -8.36382529e-01  -1.67276506e+00  -8.36382529e-01  1.67276506e+00   0.00000000e+00   0.00000000e+00   
76      6.71088640e-01   -8.79581410e-01  -1.75916282e+00  -8.79581410e-01  1.75916282e+00   0.00000000e+00   -2.22044605e-16  
77      6.84510413e-01   -9.16528592e-01  -1.83305718e+00  -9.16528592e-01  1.83305718e+00   0.00000000e+00   0.00000000e+00   
78      6.97932186e-01   -9.46961468e-01  -1.89392294e+00  -9.46961468e-01  1.89392294e+00   0.00000000e+00   0.00000000e+00   
79      7.11353958e-01   -9.70663734e-01  -1.94132747e+00  -9.70663734e-01  1.94132747e+00   0.00000000e+00   0.00000000e+00   
80      7.24775731e-01   -9.87466925e-01  -1.97493385e+00  -9.87466925e-01  1.97493385e+00   0.00000000e+00   0.00000000e+00   
81      7.38197504e-01   -9.97251610e-01  -1.99450322e+00  -9.97251610e-01  1.99450322e+00   0.00000000e+00   0.00000000e+00   
82      7.51619277e-01   -9.99948243e-01  -1.99989649e+00  -9.99948243e-01  1.99989649e+00   0.00000000e+00   0.00000000e+00   
83      7.65041050e-01   -9.95537659e-01  -1.99107532e+00  -9.95537659e-01  1.99107532e+00   0.00000000e+00   0.00000000e+00   
84      7.78462822e-01   -9.84051206e-01  -1.96810241e+00  -9.84051206e-01  1.96810241e+00   0.00000000e+00   0.00000000e+00   
85      7.91884595e-01   -9.65570524e-01  -1.93114105e+00  -9.65570524e-01  1.93114105e+00   0.00000000e+00   0.00000000e+00   
86      8.05306368e-01   -9.40226967e-01  -1.88045393e+00  -9.40226967e-01  1.88045393e+00   0.00000000e+00   0.00000000e+00   
87      8.18728141e-01   -9.08200667e-01  -1.81640133e+00  -9.08200667e-01  1.81640133e+00   0.00000000e+00   0.00000000e+00   
88      8.32149914e-01   -8.69719252e-01  -1.73943850e+00  -8.69719252e-01  1.73943850e+00   0.00000000e+00   0.00000000e+00   
89      8.45571686e-01   -8.25056233e-01  -1.65011247e+00  -8.25056233e-01  1.65011247e+00   0.00000000e+00   0.00000000e+00   
90      8.58993459e-01   -7.74529057e-01  -1.54905811e+00  -7.74529057e-01  1.54905811e+00   0.00000000e+00   0.00000000e+00   
91      8.72415232e-01   -7.18496849e-01  -1.43699370e+00  -7.18496849e-01  1.43699370e+00   0.00000000e+00   0.00000000e+00   
92      8.85837005e-01   -6.57357863e-01  -1.31471573e+00  -6.57357863e-01  1.31471573e+00   0.00000000e+00   -1.11022302e-16  
93      8.99258778e-01   -5.91546649e-01  -1.18309330e+00  -5.91546649e-01  1.18309330e+00   0.00000000e+00   0.00000000e+00   
94      9.12680550e-01   -5.21530967e-01  -1.04306193e+00  -5.21530967e-01  1.04306193e+00   0.00000000e+00   0.00000000e+00   
95      9.26102323e-01   -4.47808459e-01  -8.95616919e-01  -4.47808459e-01  8.95616919e-01   0.00000000e+00   0.00000000e+00   
96      9.39524096e-01   -3.70903115e-01  -7.41806229e-01  -3.70903115e-01  7.41806229e-01   0.00000000e+00   -5.55111512e-17  
97      9.52945869e-01   -2.91361544e-01  -5.82723088e-01  -2.91361544e-01  5.82723088e-01   0.00000000e+00   -5.55111512e-17  
98      9.66367642e-01   -2.09749096e-01  -4.19498193e-01  -2.09749096e-01  4.19498193e-01   0.00000000e+00   -5.55111512e-17  
99      9.79789414e-01   -1.26645839e-01  -2.53291678e-01  -1.26645839e-01  2.53291678e-01   0.00000000e+00   0.00000000e+00   
100     9.93211187e-01   -4.26424355e-02  -8.52848711e-02  -4.26424355e-02  8.52848711e-02   0.00000000e+00   0.00000000e+00   
101     1.00000000e+00   -2.44921271e-16  -4.89842542e-16  -2.44921271e-16  4.89842542e-16   0.00000000e+00   0.00000000e+00   
End of Xyce(TM) Simulation
