Index        TIME             V(1S)            V(1)             V(2S)            V(2)             V(3S)            V(3)             V(4S)            V(4)
156     1.02586483e-08   2.00000000e+00   1.00000000e-03   1.24164131e+00   2.00000000e-03   1.33633802e+00   3.00000000e-03   -9.67876301e-02  4.00000000e-03   
157     1.03078943e-08   2.00000000e+00   1.00000000e-03   1.23120149e+00   2.00000000e-03   1.33680017e+00   3.00000000e-03   -3.60008111e-02  4.00000000e-03   
158     1.03361408e-08   2.00000000e+00   1.00000000e-03   1.22512690e+00   2.00000000e-03   1.33706365e+00   3.00000000e-03   -1.33404795e-03  4.00000000e-03   
159     1.03432024e-08   2.00000000e+00   1.00000000e-03   1.22359842e+00   2.00000000e-03   1.33712933e+00   3.00000000e-03   7.30822280e-03   4.00000000e-03   
160     1.03502640e-08   2.00000000e+00   1.00000000e-03   1.22206603e+00   2.00000000e-03   1.33719495e+00   3.00000000e-03   1.59403807e-02   4.00000000e-03   
161     1.03573256e-08   2.00000000e+00   1.00000000e-03   1.22052972e+00   2.00000000e-03   1.33726049e+00   3.00000000e-03   2.45622537e-02   4.00000000e-03   
162     1.03714489e-08   2.00000000e+00   1.00000000e-03   1.21744534e+00   2.00000000e-03   1.33739136e+00   3.00000000e-03   4.17744578e-02   4.00000000e-03   
163     1.03855721e-08   2.00000000e+00   1.00000000e-03   1.21434534e+00   2.00000000e-03   1.33752194e+00   3.00000000e-03   5.89434628e-02   4.00000000e-03   
164     1.03996953e-08   2.00000000e+00   1.00000000e-03   1.21122973e+00   2.00000000e-03   1.33765223e+00   3.00000000e-03   7.60678997e-02   4.00000000e-03   
165     1.04279418e-08   2.00000000e+00   1.00000000e-03   1.20495181e+00   2.00000000e-03   1.33791194e+00   3.00000000e-03   1.10177612e-01   4.00000000e-03   
166     1.04561883e-08   2.00000000e+00   1.00000000e-03   1.19861180e+00   2.00000000e-03   1.33817049e+00   3.00000000e-03   1.44092716e-01   4.00000000e-03   
