Index        TIME               V(VOUT)              V(IN)       
42       2.1333610331e-07    5.9550826143e-09    2.0000001073e+00
43       3.6333610331e-07   -5.9572112870e-09    1.9999998928e+00
44       5.1333610331e-07    5.9593594597e-09    2.0000001071e+00
45       6.6333610331e-07   -5.9614769797e-09    1.9999998929e+00
46       8.1333610331e-07    5.9636138790e-09    2.0000001070e+00
47       9.6333610331e-07   -5.9657202423e-09    1.9999998931e+00
48       1.1133361033e-06    5.9678461160e-09    2.0000001069e+00
49       1.2633361033e-06   -5.9699412984e-09    1.9999998932e+00
50       1.4133361033e-06    5.9720560018e-09    2.0000001067e+00
51       1.5000000000e-06   -5.9756688235e-09    1.9999998934e+00
52       1.5000312500e-06   -2.6223765969e-04    1.9931845735e+00
53       1.5000625000e-06   -4.9944960495e-04    1.9832807207e+00
54       1.5000937500e-06   -7.0038610651e-04    1.9724072207e+00
55       1.5001562500e-06   -8.8885008128e-04    1.9480122176e+00
56       1.5002812500e-06   -9.5552433965e-04    1.8979174133e+00
57       1.5004062500e-06   -1.0155298557e-03    1.8478976384e+00
58       1.5006562500e-06   -1.1899157801e-03    1.7478076770e+00
59       1.5011562500e-06   -1.8500500962e-03    1.5476738413e+00
60       1.5021562500e-06   -1.2011535345e-02    1.1468257283e+00
61       1.5024062500e-06   -1.5255452616e-02    1.0464557038e+00
62       1.5026730453e-06   -1.3009831018e-02    9.3985644876e-01
63       1.5027703370e-06   -9.1317354359e-03    9.0126754191e-01
64       1.5028676287e-06   -1.9660522982e-03    8.6309164051e-01
65       1.5028971743e-06    2.1067148210e-03    8.5153457596e-01
66       1.5029267200e-06    6.7209218031e-03    8.4005797102e-01
67       1.5029858113e-06    1.9721707956e-02    8.1717717062e-01
68       1.5030449025e-06    3.8838046298e-02    7.9443096802e-01
69       1.5031039938e-06    6.5422951737e-02    7.7182388594e-01
70       1.5031630851e-06    1.0056771884e-01    7.4932937265e-01
71       1.5032221764e-06    1.4498648702e-01    7.2690723327e-01
72       1.5032812677e-06    1.9897771956e-01    7.0451023733e-01
73       1.5033403589e-06    2.6245142788e-01    6.8209287690e-01
74       1.5033994502e-06    3.3499438923e-01    6.5961673218e-01
75       1.5034585415e-06    4.1594924546e-01    6.3705266217e-01
76       1.5035176328e-06    5.0449164991e-01    6.1438081952e-01
77       1.5035767240e-06    5.9969733466e-01    5.9158953048e-01
78       1.5036358153e-06    7.0059614638e-01    5.6867374459e-01
79       1.5036949066e-06    8.0621292182e-01    5.4563344122e-01
80       1.5037539979e-06    9.1559643960e-01    5.2247218888e-01
81       1.5038721804e-06    1.1417214510e+00    4.7581752343e-01
82       1.5041085456e-06    1.5991361968e+00    3.8133005991e-01
83       1.5041786625e-06    1.7249227419e+00    3.5274179665e-01
84       1.5042063576e-06    1.7700565042e+00    3.4130418058e-01
85       1.5042340526e-06    1.8113193152e+00    3.3003651169e-01
86       1.5042894426e-06    1.8700430621e+00    3.0642152279e-01
87       1.5043382443e-06    1.8990565876e+00    2.8410700199e-01
88       1.5043870461e-06    1.9149411981e+00    2.6164800138e-01
89       1.5044358478e-06    1.9238821537e+00    2.4012834136e-01
90       1.5045334512e-06    1.9335044491e+00    1.9930845478e-01
91       1.5046310547e-06    1.9388187696e+00    1.5989024247e-01
92       1.5048262616e-06    1.9466470291e+00    8.1646134866e-02
93       1.5050000000e-06    1.9518116280e+00    1.2045918128e-02
94       1.5050195207e-06    1.9524433649e+00    7.4333370272e-03
95       1.5050390414e-06    1.9530141119e+00    4.6585618410e-03
96       1.5050585621e-06    1.9535320374e+00    2.5594596802e-03
97       1.5050976035e-06    1.9542122916e+00    7.6224145622e-04
98       1.5051756862e-06    1.9546531874e+00    9.6037498653e-06
99       1.5052537690e-06    1.9546631305e+00    1.3529433718e-06
100      1.5054099345e-06    1.9546625705e+00   -7.2215108827e-07
101      1.5055661000e-06    1.9546629421e+00    3.9839752919e-07
102      1.5058784311e-06    1.9546626866e+00   -3.0035622027e-07
103      1.5065030932e-06    1.9546628975e+00    2.6129518631e-07
104      1.5077524174e-06    1.9546627058e+00   -2.4379346823e-07
105      1.5102510659e-06    1.9546628886e+00    2.3550282348e-07
106      1.5152483627e-06    1.9546627101e+00   -2.3146718310e-07
107      1.5252429565e-06    1.9546628865e+00    2.2947617516e-07
108      1.5452321440e-06    1.9546627112e+00   -2.2848726704e-07
109      1.5852105189e-06    1.9546628860e+00    2.2799448163e-07
110      1.6651672689e-06    1.9546627114e+00   -2.2774847558e-07
111      1.8250807688e-06    1.9546628859e+00    2.2762559838e-07
112      2.1260807688e-06    1.9546627115e+00   -2.2756032071e-07
113      2.4270807688e-06    1.9546628858e+00    2.2749509355e-07
114      2.7280807688e-06    1.9546627115e+00   -2.2742985435e-07
115      3.0050000000e-06    1.9546628858e+00    2.2735899643e-07
116      3.0050312500e-06    1.9548042936e+00    6.5417910665e-03
117      3.0050625000e-06    1.9547497866e+00    1.6119636561e-02
118      3.0050937500e-06    1.9545717142e+00    2.6673792966e-02
119      3.0051562500e-06    1.9535753378e+00    5.0624479529e-02
120      3.0052812500e-06    1.9503301970e+00    1.0045409338e-01
121      3.0054062500e-06    1.9463174165e+00    1.5041428543e-01
122      3.0056562500e-06    1.9356223237e+00    2.5025684333e-01
123      3.0057400206e-06    1.9307724311e+00    2.8370224775e-01
124      3.0058237913e-06    1.9252962135e+00    3.1715147731e-01
125      3.0059913325e-06    1.9102081621e+00    3.8396360359e-01
126      3.0061588738e-06    1.8860312410e+00    4.5091442353e-01
127      3.0063264150e-06    1.8413617037e+00    5.1757236064e-01
128      3.0064772022e-06    1.7670068385e+00    5.7634715982e-01
129      3.0066043637e-06    1.6733168782e+00    6.2559317397e-01
130      3.0067188090e-06    1.5703474194e+00    6.7044474226e-01
131      3.0068332543e-06    1.4570969376e+00    7.1574402493e-01
132      3.0070621450e-06    1.2275842175e+00    8.0775180997e-01
133      3.0072581595e-06    1.0456125069e+00    8.8741490672e-01
134      3.0074541740e-06    8.8746534404e-01    9.6681685354e-01
135      3.0076305871e-06    7.6541077182e-01    1.0382167066e+00
136      3.0078070001e-06    6.5985040736e-01    1.1094066668e+00
137      3.0079834132e-06    5.6636426768e-01    1.1803454818e+00
138      3.0081598263e-06    4.7610394176e-01    1.2506771381e+00
139      3.0083362393e-06    3.7382045832e-01    1.3202900451e+00
140      3.0085126524e-06    2.4511847442e-01    1.3894538905e+00
141      3.0086708005e-06    1.1211021065e-01    1.4518793937e+00
142      3.0086918281e-06    9.4999189394e-02    1.4602470086e+00
143      3.0087338834e-06    6.4130541831e-02    1.4770718479e+00
144      3.0087759387e-06    4.0444869400e-02    1.4945956497e+00
145      3.0088179939e-06    2.4129580615e-02    1.5126987369e+00
146      3.0088600492e-06    1.3914587117e-02    1.5309287123e+00
147      3.0089021045e-06    8.0181867940e-03    1.5488968080e+00
148      3.0089862150e-06    2.9299961954e-03    1.5838230313e+00
149      3.0090703256e-06    1.8352674403e-03    1.6178329941e+00
150      3.0092385467e-06    1.3982752998e-03    1.6851545970e+00
151      3.0094067678e-06    1.2507124509e-03    1.7523872422e+00
152      3.0097432100e-06    9.9017377162e-04    1.8868701395e+00
153      3.0100000000e-06    8.7575024332e-04    1.9894974781e+00
154      3.0100672884e-06    4.1309668611e-04    1.9969883536e+00
155      3.0101216627e-06    1.8485588920e-04    1.9989829368e+00
156      3.0101760370e-06    3.4209764980e-05    1.9999816234e+00
157      3.0102847856e-06   -1.2104777151e-05    2.0000002104e+00
