Index       V(2)              V(1)             I(VDS)      
62       2.00000000e-02    4.00000000e-01   -2.82626107e-05
63       4.00000000e-02    4.00000000e-01   -4.74347741e-05
64       6.00000000e-02    4.00000000e-01   -5.99161140e-05
65       8.00000000e-02    4.00000000e-01   -6.83361503e-05
66       1.00000000e-01    4.00000000e-01   -7.47834226e-05
67       1.20000000e-01    4.00000000e-01   -8.03570605e-05
68       1.40000000e-01    4.00000000e-01   -8.55105759e-05
69       1.60000000e-01    4.00000000e-01   -9.04296425e-05
70       1.80000000e-01    4.00000000e-01   -9.52005642e-05
71       2.00000000e-01    4.00000000e-01   -9.98701332e-05
72       2.20000000e-01    4.00000000e-01   -1.04467228e-04
73       2.40000000e-01    4.00000000e-01   -1.09011438e-04
74       2.60000000e-01    4.00000000e-01   -1.13516944e-04
75       2.80000000e-01    4.00000000e-01   -1.17994488e-04
76       3.00000000e-01    4.00000000e-01   -1.22452466e-04
77       3.20000000e-01    4.00000000e-01   -1.26897601e-04
78       3.40000000e-01    4.00000000e-01   -1.31335373e-04
79       3.60000000e-01    4.00000000e-01   -1.35770308e-04
80       3.80000000e-01    4.00000000e-01   -1.40206197e-04
81       4.00000000e-01    4.00000000e-01   -1.44646238e-04
82       4.20000000e-01    4.00000000e-01   -1.49093157e-04
83       4.40000000e-01    4.00000000e-01   -1.53549295e-04
84       4.60000000e-01    4.00000000e-01   -1.58016671e-04
85       4.80000000e-01    4.00000000e-01   -1.62497043e-04
86       5.00000000e-01    4.00000000e-01   -1.66991945e-04
87       5.20000000e-01    4.00000000e-01   -1.71502724e-04
88       5.40000000e-01    4.00000000e-01   -1.76030569e-04
89       5.60000000e-01    4.00000000e-01   -1.80576532e-04
90       5.80000000e-01    4.00000000e-01   -1.85141547e-04
91       6.00000000e-01    4.00000000e-01   -1.89726450e-04
92       6.20000000e-01    4.00000000e-01   -1.94331987e-04
93       6.40000000e-01    4.00000000e-01   -1.98958829e-04
94       6.60000000e-01    4.00000000e-01   -2.03607580e-04
95       6.80000000e-01    4.00000000e-01   -2.08278785e-04
96       7.00000000e-01    4.00000000e-01   -2.12972938e-04
97       7.20000000e-01    4.00000000e-01   -2.17690488e-04
98       7.40000000e-01    4.00000000e-01   -2.22431842e-04
99       7.60000000e-01    4.00000000e-01   -2.27197374e-04
100      7.80000000e-01    4.00000000e-01   -2.31987422e-04
101      8.00000000e-01    4.00000000e-01   -2.36802300e-04
102      8.20000000e-01    4.00000000e-01   -2.41642295e-04
103      8.40000000e-01    4.00000000e-01   -2.46507670e-04
104      8.60000000e-01    4.00000000e-01   -2.51398672e-04
105      8.80000000e-01    4.00000000e-01   -2.56315527e-04
106      9.00000000e-01    4.00000000e-01   -2.61258449e-04
107      9.20000000e-01    4.00000000e-01   -2.66227639e-04
108      9.40000000e-01    4.00000000e-01   -2.71223288e-04
109      9.60000000e-01    4.00000000e-01   -2.76245581e-04
110      9.80000000e-01    4.00000000e-01   -2.81294697e-04
111      1.00000000e+00    4.00000000e-01   -2.86370816e-04
112      1.02000000e+00    4.00000000e-01   -2.91474120e-04
113      1.04000000e+00    4.00000000e-01   -2.96604796e-04
114      1.06000000e+00    4.00000000e-01   -3.01763043e-04
115      1.08000000e+00    4.00000000e-01   -3.06949076e-04
116      1.10000000e+00    4.00000000e-01   -3.12163132e-04
117      1.12000000e+00    4.00000000e-01   -3.17405475e-04
118      1.14000000e+00    4.00000000e-01   -3.22676402e-04
119      1.16000000e+00    4.00000000e-01   -3.27976254e-04
120      1.18000000e+00    4.00000000e-01   -3.33305422e-04
121      1.20000000e+00    4.00000000e-01   -3.38664358e-04
122      0.00000000e+00    6.00000000e-01    0.00000000e+00
123      2.00000000e-02    6.00000000e-01   -1.71406828e-04
124      4.00000000e-02    6.00000000e-01   -3.17476283e-04
125      6.00000000e-02    6.00000000e-01   -4.41194494e-04
126      8.00000000e-02    6.00000000e-01   -5.45227302e-04
127      1.00000000e-01    6.00000000e-01   -6.32053155e-04
128      1.20000000e-01    6.00000000e-01   -7.04111228e-04
129      1.40000000e-01    6.00000000e-01   -7.63935206e-04
