Index       TIME             V(VDD)             V(IN)            V(OUT)      
72       3.03322166e-10    1.00000000e+00    0.00000000e+00    9.99998412e-01
73       3.20000000e-10    1.00000000e+00    0.00000000e+00    9.99999918e-01
74       3.21873982e-10    1.00000000e+00    4.68495602e-03    1.00110460e+00
75       3.23466417e-10    1.00000000e+00    8.66604198e-03    1.00185499e+00
76       3.25058851e-10    1.00000000e+00    1.26471279e-02    1.00252249e+00
77       3.28243720e-10    1.00000000e+00    2.06092999e-02    1.00346367e+00
78       3.34613457e-10    1.00000000e+00    3.65336437e-02    1.00444407e+00
79       3.47352933e-10    1.00000000e+00    6.83823314e-02    1.00508388e+00
80       3.60000000e-10    1.00000000e+00    1.00000000e-01    1.00529495e+00
81       3.60750516e-10    1.00000000e+00    1.07505158e-01    1.00686718e+00
82       3.61344600e-10    1.00000000e+00    1.13446004e-01    1.00802117e+00
83       3.61938685e-10    1.00000000e+00    1.19386849e-01    1.00913222e+00
84       3.63126854e-10    1.00000000e+00    1.31268540e-01    1.01112154e+00
85       3.65503192e-10    1.00000000e+00    1.55031922e-01    1.01436167e+00
86       3.70255869e-10    1.00000000e+00    2.02558687e-01    1.01891362e+00
87       3.79761222e-10    1.00000000e+00    2.97612216e-01    1.02338668e+00
88       3.89266574e-10    1.00000000e+00    3.92665745e-01    1.01890715e+00
89       3.98771927e-10    1.00000000e+00    4.87719274e-01    9.97802781e-01
90       4.06620928e-10    1.00000000e+00    5.66209281e-01    9.63388050e-01
91       4.07820109e-10    1.00000000e+00    5.78201090e-01    9.55889885e-01
92       4.09019290e-10    1.00000000e+00    5.90192900e-01    9.47970274e-01
93       4.11417652e-10    1.00000000e+00    6.14176518e-01    9.29976647e-01
94       4.13816014e-10    1.00000000e+00    6.38160137e-01    9.09113215e-01
95       4.16214376e-10    1.00000000e+00    6.62143755e-01    8.85471782e-01
96       4.18612737e-10    1.00000000e+00    6.86127374e-01    8.59244836e-01
97       4.21011099e-10    1.00000000e+00    7.10110992e-01    8.30661670e-01
98       4.23409461e-10    1.00000000e+00    7.34094611e-01    7.99949639e-01
99       4.25807823e-10    1.00000000e+00    7.58078229e-01    7.67309250e-01
100      4.28206185e-10    1.00000000e+00    7.82061848e-01    7.32905199e-01
101      4.33002908e-10    1.00000000e+00    8.30029085e-01    6.59413086e-01
102      4.37799632e-10    1.00000000e+00    8.77996322e-01    5.80487091e-01
103      4.40000000e-10    1.00000000e+00    9.00000000e-01    5.42749984e-01
104      4.40233962e-10    1.00000000e+00    9.00584905e-01    5.38255865e-01
105      4.40431264e-10    1.00000000e+00    9.01078159e-01    5.34471624e-01
106      4.40628565e-10    1.00000000e+00    9.01571413e-01    5.30690136e-01
107      4.41023168e-10    1.00000000e+00    9.02557921e-01    5.23144662e-01
108      4.41812375e-10    1.00000000e+00    9.04530938e-01    5.08125566e-01
109      4.43390788e-10    1.00000000e+00    9.08476970e-01    4.78390604e-01
110      4.46547614e-10    1.00000000e+00    9.16369036e-01    4.20278848e-01
111      4.49704441e-10    1.00000000e+00    9.24261102e-01    3.64266565e-01
112      4.52861267e-10    1.00000000e+00    9.32153167e-01    3.10842090e-01
113      4.56018093e-10    1.00000000e+00    9.40045233e-01    2.60660579e-01
114      4.59174919e-10    1.00000000e+00    9.47937298e-01    2.14508303e-01
115      4.62331746e-10    1.00000000e+00    9.55829364e-01    1.73138269e-01
116      4.65488572e-10    1.00000000e+00    9.63721430e-01    1.37101337e-01
117      4.68645398e-10    1.00000000e+00    9.71613495e-01    1.06652692e-01
118      4.71802224e-10    1.00000000e+00    9.79505561e-01    8.17123497e-02
119      4.74959051e-10    1.00000000e+00    9.87397627e-01    6.18880613e-02
120      4.78115877e-10    1.00000000e+00    9.95289692e-01    4.65590728e-02
121      4.80000000e-10    1.00000000e+00    1.00000000e+00    3.92724166e-02
122      4.80315683e-10    1.00000000e+00    1.00000000e+00    3.79911411e-02
123      4.80631365e-10    1.00000000e+00    1.00000000e+00    3.67481436e-02
124      4.80947048e-10    1.00000000e+00    1.00000000e+00    3.55241439e-02
125      4.81578413e-10    1.00000000e+00    1.00000000e+00    3.31870861e-02
126      4.82841144e-10    1.00000000e+00    1.00000000e+00    2.89294013e-02
127      4.85366605e-10    1.00000000e+00    1.00000000e+00    2.18756948e-02
128      4.87892066e-10    1.00000000e+00    1.00000000e+00    1.64701836e-02
129      4.90417527e-10    1.00000000e+00    1.00000000e+00    1.23584176e-02
