Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
  0   -1.00000000e-01  0.00000000e+00  -4.49936558e-10  1.49003106e-08  1.49003104e-08  0.00000000e+00  -4.12680211e-01  2.00000000e-01  -1.00000000e-01  1.00000000e-01  6.84924461e-02
  1   -9.90000000e-02  0.00000000e+00  -4.34174193e-10  1.43788330e-08  1.43788306e-08  0.00000000e+00  -4.12692912e-01  1.98000000e-01  -9.90000000e-02  9.90000000e-02  6.84922693e-02
  2   -9.80000000e-02  0.00000000e+00  -4.18960333e-10  1.38754201e-08  1.38754216e-08  0.00000000e+00  -4.12705587e-01  1.96000000e-01  -9.80000000e-02  9.80000000e-02  6.84920987e-02
  3   -9.70000000e-02  0.00000000e+00  -4.04275997e-10  1.33894588e-08  1.33894600e-08  0.00000000e+00  -4.12718235e-01  1.94000000e-01  -9.70000000e-02  9.70000000e-02  6.84919340e-02
  4   -9.60000000e-02  0.00000000e+00  -3.90102853e-10  1.29203439e-08  1.29203436e-08  0.00000000e+00  -4.12730856e-01  1.92000000e-01  -9.60000000e-02  9.60000000e-02  6.84917751e-02
  5   -9.50000000e-02  0.00000000e+00  -3.76423203e-10  1.24674909e-08  1.24674908e-08  0.00000000e+00  -4.12743448e-01  1.90000000e-01  -9.50000000e-02  9.50000000e-02  6.84916216e-02
  6   -9.40000000e-02  0.00000000e+00  -3.63219954e-10  1.20303453e-08  1.20303401e-08  0.00000000e+00  -4.12756012e-01  1.88000000e-01  -9.40000000e-02  9.40000000e-02  6.84914735e-02
  7   -9.30000000e-02  0.00000000e+00  -3.50476601e-10  1.16083517e-08  1.16083488e-08  0.00000000e+00  -4.12768547e-01  1.86000000e-01  -9.30000000e-02  9.30000000e-02  6.84913306e-02
  8   -9.20000000e-02  0.00000000e+00  -3.38177205e-10  1.12009930e-08  1.12009928e-08  0.00000000e+00  -4.12781051e-01  1.84000000e-01  -9.20000000e-02  9.20000000e-02  6.84911926e-02
  9   -9.10000000e-02  0.00000000e+00  -3.26306378e-10  1.08077664e-08  1.08077662e-08  0.00000000e+00  -4.12793525e-01  1.82000000e-01  -9.10000000e-02  9.10000000e-02  6.84910594e-02
 10   -9.00000000e-02  0.00000000e+00  -3.14849259e-10  1.04281834e-08  1.04281799e-08  0.00000000e+00  -4.12805966e-01  1.80000000e-01  -9.00000000e-02  9.00000000e-02  6.84909309e-02
 11   -8.90000000e-02  0.00000000e+00  -3.03791498e-10  1.00617608e-08  1.00617618e-08  0.00000000e+00  -4.12818375e-01  1.78000000e-01  -8.90000000e-02  8.90000000e-02  6.84908068e-02
 12   -8.80000000e-02  0.00000000e+00  -2.93119238e-10  9.70805717e-09  9.70805589e-09  0.00000000e+00  -4.12830751e-01  1.76000000e-01  -8.80000000e-02  8.80000000e-02  6.84906871e-02
 13   -8.70000000e-02  0.00000000e+00  -2.82819101e-10  9.36662514e-09  9.36662153e-09  0.00000000e+00  -4.12843092e-01  1.74000000e-01  -8.70000000e-02  8.70000000e-02  6.84905715e-02
 14   -8.60000000e-02  0.00000000e+00  -2.72878167e-10  9.03703547e-09  9.03703325e-09  0.00000000e+00  -4.12855399e-01  1.72000000e-01  -8.60000000e-02  8.60000000e-02  6.84904599e-02
 15   -8.50000000e-02  0.00000000e+00  -2.63283962e-10  8.71888390e-09  8.71888005e-09  0.00000000e+00  -4.12867669e-01  1.70000000e-01  -8.50000000e-02  8.50000000e-02  6.84903523e-02
 16   -8.40000000e-02  0.00000000e+00  -2.54024442e-10  8.41176549e-09  8.41176491e-09  0.00000000e+00  -4.12879902e-01  1.68000000e-01  -8.40000000e-02  8.40000000e-02  6.84902483e-02
