Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
  0   -1.00000000e-01  0.00000000e+00  5.38512407e-08  1.74336027e-06  1.74335984e-06  0.00000000e+00  3.03400357e-01  2.00000000e-01  -1.00000000e-01  9.99999999e-02  7.44581282e-02
  1   -9.90000000e-02  0.00000000e+00  5.19211308e-08  1.68171737e-06  1.68171729e-06  0.00000000e+00  3.03413671e-01  1.98000000e-01  -9.90000000e-02  9.89999999e-02  7.44508203e-02
  2   -9.80000000e-02  0.00000000e+00  5.00585459e-08  1.62218866e-06  1.62218863e-06  0.00000000e+00  3.03426957e-01  1.96000000e-01  -9.80000000e-02  9.79999999e-02  7.44437607e-02
  3   -9.70000000e-02  0.00000000e+00  4.82611868e-08  1.56470418e-06  1.56470417e-06  0.00000000e+00  3.03440216e-01  1.94000000e-01  -9.70000000e-02  9.70000000e-02  7.44369413e-02
  4   -9.60000000e-02  0.00000000e+00  4.65268295e-08  1.50919659e-06  1.50919636e-06  0.00000000e+00  3.03453445e-01  1.92000000e-01  -9.60000000e-02  9.60000000e-02  7.44303541e-02
  5   -9.50000000e-02  0.00000000e+00  4.48533224e-08  1.45559969e-06  1.45559973e-06  0.00000000e+00  3.03466646e-01  1.90000000e-01  -9.50000000e-02  9.50000000e-02  7.44239915e-02
  6   -9.40000000e-02  0.00000000e+00  4.32385845e-08  1.40385073e-06  1.40385085e-06  0.00000000e+00  3.03479816e-01  1.88000000e-01  -9.40000000e-02  9.40000000e-02  7.44178462e-02
  7   -9.30000000e-02  0.00000000e+00  4.16806031e-08  1.35388852e-06  1.35388826e-06  0.00000000e+00  3.03492956e-01  1.86000000e-01  -9.30000000e-02  9.30000000e-02  7.44119108e-02
  8   -9.20000000e-02  0.00000000e+00  4.01774315e-08  1.30565256e-06  1.30565240e-06  0.00000000e+00  3.03506063e-01  1.84000000e-01  -9.20000000e-02  9.20000000e-02  7.44061786e-02
  9   -9.10000000e-02  0.00000000e+00  3.87271874e-08  1.25908549e-06  1.25908559e-06  0.00000000e+00  3.03519139e-01  1.82000000e-01  -9.10000000e-02  9.10000000e-02  7.44006427e-02
