Index       TIME              V(3)              I(S1)      
0        0.00000000e+00    0.00000000e+00    2.50000000e-02
1        1.00000000e-10    0.00000000e+00    2.50000000e-02
2        3.00000000e-10    0.00000000e+00    2.50000000e-02
3        7.00000000e-10    0.00000000e+00    2.50000000e-02
4        1.50000000e-09    0.00000000e+00    2.50000000e-02
5        3.10000000e-09    0.00000000e+00    2.50000000e-02
6        6.30000000e-09    0.00000000e+00    2.50000000e-02
7        1.27000000e-08    0.00000000e+00    2.50000000e-02
8        2.55000000e-08    0.00000000e+00    2.50000000e-02
9        5.11000000e-08    0.00000000e+00    2.50000000e-02
10       1.02300000e-07    0.00000000e+00    2.50000000e-02
11       2.04700000e-07    0.00000000e+00    2.50000000e-02
12       4.09500000e-07    0.00000000e+00    2.50000000e-02
13       8.19100000e-07    0.00000000e+00    2.50000000e-02
14       1.63830000e-06    0.00000000e+00    2.50000000e-02
15       3.27670000e-06    0.00000000e+00    2.50000000e-02
16       6.55350000e-06    0.00000000e+00    2.50000000e-02
17       1.31071000e-05    0.00000000e+00    2.50000000e-02
18       2.62143000e-05    0.00000000e+00    2.50000000e-02
19       5.24287000e-05    0.00000000e+00    2.50000000e-02
20       1.04857500e-04    0.00000000e+00    2.50000000e-02
21       2.09715100e-04    0.00000000e+00    2.50000000e-02
22       4.19430300e-04    0.00000000e+00    2.50000000e-02
23       8.38860700e-04    0.00000000e+00    2.50000000e-02
24       1.67772150e-03    0.00000000e+00    2.50000000e-02
25       3.35544310e-03    0.00000000e+00    2.50000000e-02
26       6.71088630e-03    0.00000000e+00    2.50000000e-02
27       1.34217727e-02    0.00000000e+00    2.50000000e-02
28       2.68435455e-02    0.00000000e+00    2.50000000e-02
29       5.36870911e-02    0.00000000e+00    2.50000000e-02
30       1.00000000e-01    0.00000000e+00    2.50000000e-02
31       1.02450112e-01    2.45011215e-02    2.50000000e-02
32       1.04540775e-01    4.54077543e-02    2.50000000e-02
33       1.08722102e-01    8.72210201e-02    2.50000000e-02
34       1.17084755e-01    1.70847552e-01    2.50000000e-02
35       1.33810061e-01    3.38100614e-01    2.50000000e-02
36       1.42172715e-01    4.21727146e-01    2.50000000e-02
37       1.46354041e-01    4.63540412e-01    2.51029499e-02
38       1.46870887e-01    4.68708865e-01    2.51952880e-02
39       1.46872905e-01    4.68729055e-01    4.44809472e-02
40       1.46873019e-01    4.68730190e-01    4.44809856e-02
41       1.46873121e-01    4.68731212e-01    4.44810201e-02
42       1.46873326e-01    4.68733256e-01    4.44810892e-02
43       1.46873734e-01    4.68737345e-01    4.44812273e-02
44       1.46874552e-01    4.68745521e-01    4.44815035e-02
45       1.46876187e-01    4.68761875e-01    4.44820559e-02
46       1.46879458e-01    4.68794581e-01    4.44831606e-02
47       1.46885999e-01    4.68859995e-01    4.44853693e-02
48       1.46899082e-01    4.68990821e-01    4.44897847e-02
49       1.46925247e-01    4.69252474e-01    4.44986065e-02
50       1.46977578e-01    4.69775780e-01    4.45162146e-02
51       1.47082239e-01    4.70822392e-01    4.45512894e-02
52       1.47291562e-01    4.72915616e-01    4.46208736e-02
53       1.47710206e-01    4.77102063e-01    4.47577899e-02
54       1.48547496e-01    4.85474958e-01    4.50226939e-02
55       1.50222075e-01    5.02220748e-01    4.55175385e-02
56       1.53571233e-01    5.35712327e-01    4.63748365e-02
57       1.56920391e-01    5.69203907e-01    4.70725992e-02
58       1.60269549e-01    6.02695486e-01    4.76332312e-02
59       1.63618707e-01    6.36187066e-01    4.80791265e-02
60       1.66967865e-01    6.69678645e-01    4.84309814e-02
61       1.73666180e-01    7.36661804e-01    4.89221928e-02
62       1.87062812e-01    8.70628122e-01    4.93899022e-02
63       2.00000000e-01    1.00000000e+00    4.95049505e-02
64       2.01339663e-01    1.00000000e+00    4.95049505e-02
65       2.04018990e-01    1.00000000e+00    4.95049505e-02
66       2.09377642e-01    1.00000000e+00    4.95049505e-02
67       2.20094948e-01    1.00000000e+00    4.95049505e-02
68       2.41529559e-01    1.00000000e+00    4.95049505e-02
69       2.84398780e-01    1.00000000e+00    4.95049505e-02
70       3.00000000e-01    1.00000000e+00    4.95049505e-02
71       3.08573844e-01    9.78565389e-01    4.95049505e-02
72       3.14766190e-01    9.63084524e-01    4.95049505e-02
73       3.27150882e-01    9.32122795e-01    4.95049505e-02
74       3.51920266e-01    8.70199335e-01    4.95049505e-02
75       4.00000000e-01    7.50000000e-01    4.95049505e-02
76       4.04953877e-01    7.50000000e-01    4.95049505e-02
77       4.14861630e-01    7.50000000e-01    4.95049505e-02
78       4.34677137e-01    7.50000000e-01    4.95049505e-02
79       4.74308151e-01    7.50000000e-01    4.95049505e-02
80       5.00000000e-01    7.50000000e-01    4.95049505e-02
81       5.07926203e-01    7.69815507e-01    4.95049505e-02
82       5.13880056e-01    7.84700141e-01    4.95049505e-02
83       5.25787764e-01    8.14469409e-01    4.95049505e-02
84       5.49603178e-01    8.74007945e-01    4.95049505e-02
85       5.97234007e-01    9.93085017e-01    4.95049505e-02
86       6.00000000e-01    1.00000000e+00    4.95049505e-02
87       6.02765993e-01    1.00000000e+00    4.95049505e-02
88       6.08297980e-01    1.00000000e+00    4.95049505e-02
89       6.19361954e-01    1.00000000e+00    4.95049505e-02
90       6.41489901e-01    1.00000000e+00    4.95049505e-02
91       6.85745794e-01    1.00000000e+00    4.95049505e-02
92       7.00000000e-01    1.00000000e+00    4.95049505e-02
93       7.03145974e-01    9.68540259e-01    4.95049505e-02
94       7.05735706e-01    9.42642944e-01    4.95049505e-02
95       7.10915169e-01    8.90848314e-01    4.95049505e-02
96       7.21274095e-01    7.87259054e-01    4.95049505e-02
97       7.41991947e-01    5.80080535e-01    4.95049505e-02
98       7.52350873e-01    4.76491275e-01    4.93817076e-02
99       7.54155430e-01    4.58445704e-01    4.93070265e-02
100      7.54183626e-01    4.58163742e-01    4.41143341e-02
101      7.54185190e-01    4.58148095e-01    4.41137768e-02
102      7.54186755e-01    4.58132449e-01    4.41132194e-02
103      7.54188320e-01    4.58116802e-01    4.41126620e-02
104      7.54191449e-01    4.58085509e-01    4.41115470e-02
105      7.54197708e-01    4.58022923e-01    4.41093165e-02
106      7.54210225e-01    4.57897750e-01    4.41048534e-02
107      7.54235260e-01    4.57647404e-01    4.40959190e-02
108      7.54285329e-01    4.57146713e-01    4.40780174e-02
109      7.54385467e-01    4.56145331e-01    4.40420825e-02
110      7.54585743e-01    4.54142566e-01    4.39696860e-02
111      7.54986296e-01    4.50137038e-01    4.38227820e-02
112      7.55787402e-01    4.42125980e-01    4.35205121e-02
113      7.57389614e-01    4.26103864e-01    4.28821212e-02
114      7.60594037e-01    3.94059633e-01    4.14724420e-02
115      7.63798460e-01    3.62015401e-01    3.98982081e-02
116      7.67002883e-01    3.29971170e-01    3.81874191e-02
117      7.70207306e-01    2.97926939e-01    3.63822965e-02
118      7.76616152e-01    2.33838476e-01    3.27113410e-02
119      7.83024999e-01    1.69750014e-01    2.93677748e-02
120      7.88792960e-01    1.12070397e-01    2.70026425e-02
121      7.93895256e-01    6.10474424e-02    2.56172752e-02
122      7.98487322e-01    1.51267830e-02    2.50391172e-02
123      8.00000000e-01    0.00000000e+00    2.50000000e-02
124      8.00413286e-01    0.00000000e+00    2.50000000e-02
125      8.01239858e-01    0.00000000e+00    2.50000000e-02
126      8.02893002e-01    0.00000000e+00    2.50000000e-02
127      8.06199289e-01    0.00000000e+00    2.50000000e-02
128      8.12811864e-01    0.00000000e+00    2.50000000e-02
129      8.26037014e-01    0.00000000e+00    2.50000000e-02
130      8.52487314e-01    0.00000000e+00    2.50000000e-02
131      9.00000000e-01    0.00000000e+00    2.50000000e-02
132      9.05290060e-01    2.64502999e-03    2.50000000e-02
133      9.15870180e-01    7.93508996e-03    2.50000000e-02
134      9.37030420e-01    1.85152099e-02    2.50000000e-02
135      9.79350900e-01    3.96754498e-02    2.50000000e-02
136      1.00000000e+00    5.00000000e-02    2.50000000e-02
137      1.00846410e+00    5.00000000e-02    2.50000000e-02
138      1.02539229e+00    5.00000000e-02    2.50000000e-02
139      1.05924867e+00    5.00000000e-02    2.50000000e-02
140      1.10000000e+00    5.00000000e-02    2.50000000e-02
141      1.10677128e+00    4.66143616e-02    2.50000000e-02
142      1.11354255e+00    4.32287232e-02    2.50000000e-02
143      1.12708511e+00    3.64574465e-02    2.50000000e-02
144      1.15417021e+00    2.29148929e-02    2.50000000e-02
145      1.20000000e+00    0.00000000e+00    2.50000000e-02
146      1.20541702e+00    0.00000000e+00    2.50000000e-02
147      1.21625106e+00    0.00000000e+00    2.50000000e-02
148      1.23791915e+00    0.00000000e+00    2.50000000e-02
149      1.28125532e+00    0.00000000e+00    2.50000000e-02
150      1.30000000e+00    0.00000000e+00    2.50000000e-02
End of Xyce(TM) Simulation
