Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)       N(M1:VDSSAT)   
40      -6.00000000e-02    0.00000000e+00    1.22735936e-08    4.03742292e-07    4.03747141e-07    0.00000000e+00    2.91915774e-01    7.48861552e-02
41      -5.90000000e-02    0.00000000e+00    1.18134921e-08    3.88727514e-07    3.88726214e-07    0.00000000e+00    2.91927181e-01    7.48843629e-02
42      -5.80000000e-02    0.00000000e+00    1.13697724e-08    3.74237740e-07    3.74234430e-07    0.00000000e+00    2.91938507e-01    7.48826338e-02
43      -5.70000000e-02    0.00000000e+00    1.09418375e-08    3.60252698e-07    3.60252731e-07    0.00000000e+00    2.91949751e-01    7.48809656e-02
44      -5.60000000e-02    0.00000000e+00    1.05291104e-08    3.46763857e-07    3.46762687e-07    0.00000000e+00    2.91960909e-01    7.48793564e-02
45      -5.50000000e-02    0.00000000e+00    1.01310332e-08    3.33746178e-07    3.33746476e-07    0.00000000e+00    2.91971979e-01    7.48778040e-02
46      -5.40000000e-02    0.00000000e+00    9.74706698e-09    3.21186356e-07    3.21186858e-07    0.00000000e+00    2.91982959e-01    7.48763064e-02
47      -5.30000000e-02    0.00000000e+00    9.37669071e-09    3.09062934e-07    3.09067161e-07    0.00000000e+00    2.91993845e-01    7.48748619e-02
48      -5.20000000e-02    0.00000000e+00    9.01940082e-09    2.97374334e-07    2.97371261e-07    0.00000000e+00    2.92004635e-01    7.48734684e-02
49      -5.10000000e-02    0.00000000e+00    8.67471058e-09    2.86082911e-07    2.86083561e-07    0.00000000e+00    2.92015325e-01    7.48721243e-02
50      -5.00000000e-02    0.00000000e+00    8.34214953e-09    2.75188941e-07    2.75188979e-07    0.00000000e+00    2.92025913e-01    7.48708278e-02
51      -4.90000000e-02    0.00000000e+00    8.02126293e-09    2.64673124e-07    2.64672924e-07    0.00000000e+00    2.92036396e-01    7.48695773e-02
52      -4.80000000e-02    0.00000000e+00    7.71161124e-09    2.54519559e-07    2.54521287e-07    0.00000000e+00    2.92046770e-01    7.48683712e-02
53      -4.70000000e-02    0.00000000e+00    7.41276964e-09    2.44720632e-07    2.44720422e-07    0.00000000e+00    2.92057033e-01    7.48672079e-02
54      -4.60000000e-02    0.00000000e+00    7.12432752e-09    2.35254192e-07    2.35257132e-07    0.00000000e+00    2.92067180e-01    7.48660860e-02
55      -4.50000000e-02    0.00000000e+00    6.84588801e-09    2.26117717e-07    2.26118654e-07    0.00000000e+00    2.92077208e-01    7.48650039e-02
56      -4.40000000e-02    0.00000000e+00    6.57706753e-09    2.17292578e-07    2.17292645e-07    0.00000000e+00    2.92087114e-01    7.48639603e-02
57      -4.30000000e-02    0.00000000e+00    6.31749535e-09    2.08768380e-07    2.08767169e-07    0.00000000e+00    2.92096894e-01    7.48629538e-02
58      -4.20000000e-02    0.00000000e+00    6.06681306e-09    2.00533224e-07    2.00530679e-07    0.00000000e+00    2.92106544e-01    7.48619833e-02
59      -4.10000000e-02    0.00000000e+00    5.82467414e-09    1.92575337e-07    1.92572007e-07    0.00000000e+00    2.92116060e-01    7.48610473e-02
60      -4.00000000e-02    0.00000000e+00    5.59074340e-09    1.84881464e-07    1.84880343e-07    0.00000000e+00    2.92125438e-01    7.48601446e-02
61      -3.90000000e-02    0.00000000e+00    5.36469646e-09    1.77441654e-07    1.77445217e-07    0.00000000e+00    2.92134675e-01    7.48592742e-02
62      -3.80000000e-02    0.00000000e+00    5.14621909e-09    1.70257173e-07    1.70256484e-07    0.00000000e+00    2.92143765e-01    7.48584349e-02
63      -3.70000000e-02    0.00000000e+00    4.93500658e-09    1.63303850e-07    1.63304300e-07    0.00000000e+00    2.92152705e-01    7.48576255e-02
64      -3.60000000e-02    0.00000000e+00    4.73076295e-09    1.56581430e-07    1.56579095e-07    0.00000000e+00    2.92161490e-01    7.48568450e-02
65      -3.50000000e-02    0.00000000e+00    4.53320016e-09    1.50072208e-07    1.50071552e-07    0.00000000e+00    2.92170116e-01    7.48560925e-02
66      -3.40000000e-02    0.00000000e+00    4.34203726e-09    1.43772710e-07    1.43772573e-07    0.00000000e+00    2.92178578e-01    7.48553669e-02
67      -3.30000000e-02    0.00000000e+00    4.15699942e-09    1.37673063e-07    1.37673257e-07    0.00000000e+00    2.92186871e-01    7.48546672e-02
68      -3.20000000e-02    0.00000000e+00    3.97781712e-09    1.31764861e-07    1.31764863e-07    0.00000000e+00    2.92194992e-01    7.48539926e-02
69      -3.10000000e-02    0.00000000e+00    3.80422525e-09    1.26041125e-07    1.26038789e-07    0.00000000e+00    2.92202934e-01    7.48533422e-02
70      -3.00000000e-02    0.00000000e+00    3.63596246e-09    1.20486871e-07    1.20486546e-07    0.00000000e+00    2.92210693e-01    7.48527151e-02
71      -2.90000000e-02    0.00000000e+00    3.47277058e-09    1.15099440e-07    1.15099742e-07    0.00000000e+00    2.92218264e-01    7.48521105e-02
72      -2.80000000e-02    0.00000000e+00    3.31439445e-09    1.09871225e-07    1.09870074e-07    0.00000000e+00    2.92225643e-01    7.48515276e-02
73      -2.70000000e-02    0.00000000e+00    3.16058191e-09    1.04788175e-07    1.04789334e-07    0.00000000e+00    2.92232823e-01    7.48509655e-02
74      -2.60000000e-02    0.00000000e+00    3.01108425e-09    9.98531093e-08    9.98494162e-08    0.00000000e+00    2.92239801e-01    7.48504237e-02
75      -2.50000000e-02    0.00000000e+00    2.86565693e-09    9.50438001e-08    9.50423476e-08    0.00000000e+00    2.92246570e-01    7.48499013e-02
76      -2.40000000e-02    0.00000000e+00    2.72406061e-09    9.03611281e-08    9.03603194e-08    0.00000000e+00    2.92253126e-01    7.48493977e-02
77      -2.30000000e-02    0.00000000e+00    2.58606234e-09    8.57996242e-08    8.57957281e-08    0.00000000e+00    2.92259464e-01    7.48489122e-02
