Index       TIME              V(VI)             V(1)       
78       3.98368270e-07    1.49012158e+00    2.80573119e+00
79       4.05346604e-07    1.40070212e+00    2.84635780e+00
80       4.12324938e-07    1.30859027e+00    2.88019355e+00
81       4.19303271e-07    1.21396308e+00    2.90844607e+00
82       4.33259939e-07    1.01789470e+00    2.95075180e+00
83       4.47216606e-07    8.14003792e-01    2.97685695e+00
84       4.61173274e-07    6.03857245e-01    2.98851822e+00
85       4.75129942e-07    3.89070045e-01    2.99059137e+00
86       4.89086609e-07    1.71292835e-01    2.99113990e+00
87       5.03043277e-07   -4.78007637e-02    2.99163386e+00
88       5.30956612e-07   -4.83204997e-01    2.99241240e+00
89       5.58869947e-07   -9.03784012e-01    2.99303510e+00
90       5.86783282e-07   -1.29663402e+00    2.99349510e+00
91       6.11905283e-07   -1.61650525e+00    2.99383391e+00
92       6.34515085e-07   -1.87023174e+00    2.99405614e+00
93       6.57124886e-07   -2.08627761e+00    2.99424618e+00
94       6.77473707e-07   -2.24488721e+00    2.99436067e+00
95       6.97822529e-07   -2.36684959e+00    2.99446020e+00
96       7.18171350e-07   -2.45017374e+00    2.99451090e+00
97       7.36485289e-07   -2.49099213e+00    2.99454836e+00
98       7.54799228e-07   -2.49886347e+00    2.99454499e+00
99       7.73113167e-07   -2.47368367e+00    2.99453629e+00
100      7.91427106e-07   -2.41578577e+00    2.99448648e+00
101      8.09741045e-07   -2.32593554e+00    2.99443030e+00
102      8.28054985e-07   -2.20532139e+00    2.99433044e+00
103      8.46368924e-07   -2.05553862e+00    2.99422139e+00
104      8.64682863e-07   -1.87856833e+00    2.99406339e+00
105      8.82996802e-07   -1.67675120e+00    2.99389107e+00
106      9.01310741e-07   -1.45275658e+00    2.99366104e+00
107      9.19624680e-07   -1.20954711e+00    2.99340830e+00
108      9.37938619e-07   -9.50339596e-01    2.99308414e+00
109      9.56252558e-07   -6.78562446e-01    2.99272405e+00
110      9.74566498e-07   -3.97810309e-01    2.99227153e+00
111      9.92880437e-07   -1.11796545e-01    2.99176255e+00
112      1.02950831e-06    4.60864494e-01    2.99030796e+00
113      1.03570500e-06    5.56160144e-01    2.98947097e+00
114      1.04809837e-06    7.44079299e-01    2.98228394e+00
115      1.06049174e-06    9.27488851e-01    2.96432295e+00
116      1.07288512e-06    1.10527722e+00    2.93427386e+00
117      1.08527849e-06    1.27636688e+00    2.89048935e+00
118      1.09767186e-06    1.43972094e+00    2.82969236e+00
119      1.11006523e-06    1.59434935e+00    2.74512489e+00
120      1.12245860e-06    1.73931496e+00    2.62051911e+00
121      1.12406753e-06    1.75737953e+00    2.59953193e+00
122      1.12567646e-06    1.77526450e+00    2.57684263e+00
123      1.12889431e-06    1.81048837e+00    2.52551269e+00
124      1.13211216e-06    1.84497217e+00    2.46288452e+00
125      1.13533002e-06    1.87870180e+00    2.38197063e+00
126      1.13854787e-06    1.91166348e+00    2.26679583e+00
127      1.13902001e-06    1.91643440e+00    2.24488096e+00
128      1.13949216e-06    1.92118846e+00    2.22114468e+00
129      1.14043644e-06    1.93064581e+00    2.16759719e+00
130      1.14138073e-06    1.94003519e+00    2.10404955e+00
131      1.14232502e-06    1.94935629e+00    2.02991152e+00
132      1.14326930e-06    1.95860876e+00    1.94561205e+00
133      1.14421359e-06    1.96779229e+00    1.85327256e+00
134      1.14515788e-06    1.97690654e+00    1.75502939e+00
135      1.14704645e-06    1.99492596e+00    1.54935784e+00
136      1.14893503e-06    2.01266448e+00    1.34295212e+00
137      1.15082360e-06    2.03011961e+00    1.14960814e+00
138      1.15271218e-06    2.04728888e+00    9.82566127e-01
139      1.15460075e-06    2.06416988e+00    8.53545532e-01
140      1.15630047e-06    2.07911434e+00    7.67740909e-01
141      1.15800018e-06    2.09382168e+00    7.02615076e-01
142      1.15969990e-06    2.10829020e+00    6.51052258e-01
143      1.16139962e-06    2.12251827e+00    6.08736360e-01
144      1.16479905e-06    2.15024656e+00    5.41930612e-01
145      1.17159792e-06    2.20274811e+00    4.48897800e-01
146      1.17839678e-06    2.25123054e+00    3.84878627e-01
147      1.18519565e-06    2.29560538e+00    3.37485519e-01
148      1.19199452e-06    2.33579167e+00    3.01013201e-01
149      1.19879339e-06    2.37171608e+00    2.72411249e-01
150      1.20559225e-06    2.40331306e+00    2.49769229e-01
151      1.21239112e-06    2.43052497e+00    2.31897668e-01
152      1.21918999e-06    2.45330216e+00    2.17935918e-01
153      1.22598885e-06    2.47160305e+00    2.07335001e-01
154      1.23278772e-06    2.48539427e+00    1.99664208e-01
155      1.23958659e-06    2.49465065e+00    1.94677546e-01
156      1.24638546e-06    2.49935530e+00    1.92177769e-01
157      1.25318432e-06    2.49949963e+00    1.92108327e-01
158      1.25998319e-06    2.49508339e+00    1.94440336e-01
159      1.26678206e-06    2.48611462e+00    1.99278043e-01
160      1.27358092e-06    2.47260970e+00    2.06759346e-01
161      1.28037979e-06    2.45459327e+00    2.17177477e-01
162      1.28717866e-06    2.43209819e+00    2.30898081e-01
163      1.29397752e-06    2.40516552e+00    2.48514858e-01
164      1.30077639e-06    2.37384439e+00    2.70808997e-01
165      1.30757526e-06    2.33819195e+00    2.99002925e-01
166      1.31437413e-06    2.29827326e+00    3.34885273e-01
167      1.32117299e-06    2.25416114e+00    3.81477483e-01
168      1.32797186e-06    2.20593609e+00    4.44163549e-01
169      1.33477073e-06    2.15368610e+00    5.34736188e-01
170      1.33585737e-06    2.14496836e+00    5.53404144e-01
171      1.33694401e-06    2.13615064e+00    5.73755476e-01
172      1.33911729e-06    2.11821687e+00    6.20811606e-01
173      1.34129057e-06    2.09988814e+00    6.79741935e-01
174      1.34346385e-06    2.08116786e+00    7.57676135e-01
175      1.34563713e-06    2.06205953e+00    8.67647672e-01
176      1.34759308e-06    2.04453319e+00    1.00714240e+00
177      1.34935344e-06    2.02849540e+00    1.16679757e+00
178      1.35111380e-06    2.01220944e+00    1.34819727e+00
179      1.35287416e-06    1.99567732e+00    1.54053571e+00
180      1.35523709e-06    1.97310271e+00    1.79667044e+00
181      1.35760003e-06    1.95009319e+00    2.02352293e+00
182      1.35971022e-06    1.92918139e+00    2.17647949e+00
183      1.36145173e-06    1.91166752e+00    2.26668395e+00
184      1.36319325e-06    1.89392475e+00    2.33508926e+00
185      1.36493476e-06    1.87595523e+00    2.38964262e+00
186      1.36667627e-06    1.85776109e+00    2.43512296e+00
187      1.37015930e-06    1.82070772e+00    2.50843101e+00
188      1.37712536e-06    1.74400326e+00    2.61525352e+00
189      1.38409141e-06    1.66395831e+00    2.69309134e+00
190      1.39105747e-06    1.58072617e+00    2.75408974e+00
191      1.39802352e-06    1.49446628e+00    2.80352395e+00
192      1.40498958e-06    1.40534385e+00    2.84445542e+00
193      1.41195563e-06    1.31352960e+00    2.87855099e+00
194      1.41892169e-06    1.21919939e+00    2.90703363e+00
195      1.43285380e-06    1.02371828e+00    2.94976096e+00
196      1.44678591e-06    8.20397521e-01    2.97627563e+00
197      1.46071802e-06    6.10794146e-01    2.98833882e+00
198      1.47465013e-06    3.96513299e-01    2.99056800e+00
199      1.48858224e-06    1.79195948e-01    2.99112155e+00
200      1.50251435e-06   -3.94936890e-02    2.99161663e+00
201      1.53037857e-06   -4.74293220e-01    2.99239814e+00
202      1.55824279e-06   -8.94591988e-01    2.99302292e+00
203      1.58610701e-06   -1.28754002e+00    2.99348521e+00
204      1.61397124e-06   -1.64112356e+00    2.99385731e+00
205      1.63904903e-06   -1.91672711e+00    2.99409639e+00
206      1.66161905e-06   -2.12433752e+00    2.99427639e+00
207      1.68193207e-06   -2.27482257e+00    2.99438336e+00
208      1.70224509e-06   -2.38830209e+00    2.99447560e+00
209      1.72255810e-06   -2.46293007e+00    2.99451999e+00
210      1.74083982e-06   -2.49586040e+00    2.99455164e+00
211      1.75912154e-06   -2.49589525e+00    2.99454304e+00
212      1.77740325e-06   -2.46303415e+00    2.99452873e+00
213      1.79568497e-06   -2.39771020e+00    2.99447363e+00
214      1.81396668e-06   -2.30078440e+00    2.99441161e+00
215      1.83224840e-06   -2.17353421e+00    2.99430595e+00
216      1.85053011e-06   -2.01763679e+00    2.99419032e+00
217      1.86881183e-06   -1.83514689e+00    2.99402549e+00
218      1.88709354e-06   -1.62846971e+00    2.99384525e+00
219      1.90537526e-06   -1.40032927e+00    2.99360665e+00
220      1.92365697e-06   -1.15373246e+00    2.99334382e+00
221      1.94193869e-06   -8.91929441e-01    2.99300836e+00
222      1.96022041e-06   -6.18370771e-01    2.99263482e+00
223      1.97850212e-06   -3.36661962e-01    2.99216681e+00
224      2.01506555e-06    2.36295879e-01    2.99099815e+00
225      2.05162898e-06    7.96837230e-01    2.97832913e+00
226      2.05600914e-06    8.61742081e-01    2.97215807e+00
227      2.06038930e-06    9.25994268e-01    2.96451964e+00
228      2.06914961e-06    1.05234653e+00    2.94468093e+00
229      2.08667024e-06    1.29511555e+00    2.88459246e+00
230      2.10419087e-06    1.52220518e+00    2.78884964e+00
231      2.11995938e-06    1.71090260e+00    2.65041120e+00
232      2.12173441e-06    1.73112586e+00    2.62952809e+00
233      2.12350945e-06    1.75113380e+00    2.60694339e+00
234      2.12705952e-06    1.79049377e+00    2.55592272e+00
235      2.13060958e-06    1.82896293e+00    2.49384517e+00
236      2.13415965e-06    1.86652213e+00    2.41418322e+00
237      2.13770972e-06    1.90315269e+00    2.30181465e+00
238      2.13822959e-06    1.90843787e+00    2.28057771e+00
239      2.13874947e-06    1.91370268e+00    2.25754282e+00
240      2.13978922e-06    1.92417099e+00    2.20532336e+00
241      2.14082898e-06    1.93455718e+00    2.14236920e+00
242      2.14186873e-06    1.94486081e+00    2.06716741e+00
243      2.14290848e-06    1.95508143e+00    1.97878409e+00
244      2.14394824e-06    1.96521860e+00    1.88003695e+00
245      2.14498799e-06    1.97527190e+00    1.77290129e+00
246      2.14602774e-06    1.98524090e+00    1.66144057e+00
247      2.14810725e-06    2.00492429e+00    1.43243587e+00
248      2.15018676e-06    2.02426541e+00    1.21273224e+00
249      2.15226626e-06    2.04326095e+00    1.01867815e+00
250      2.15413782e-06    2.06005879e+00    8.81674418e-01
251      2.15582222e-06    2.07493335e+00    7.89360851e-01
252      2.15750662e-06    2.08957551e+00    7.19925596e-01
253      2.15919102e-06    2.10398361e+00    6.65316496e-01
254      2.16087542e-06    2.11815606e+00    6.21034544e-01
255      2.16255982e-06    2.13209125e+00    5.83642271e-01
256      2.16592862e-06    2.15924368e+00    5.23516991e-01
257      2.17266623e-06    2.21063467e+00    4.37335414e-01
258      2.17940383e-06    2.25806450e+00    3.77019680e-01
259      2.18614143e-06    2.30144818e+00    3.31820748e-01
260      2.19287903e-06    2.34070797e+00    2.96918923e-01
261      2.19961663e-06    2.37577353e+00    2.69359848e-01
262      2.20635424e-06    2.40658202e+00    2.47567363e-01
263      2.21309184e-06    2.43307823e+00    2.30270055e-01
264      2.21982944e-06    2.45521470e+00    2.16821834e-01
265      2.22656704e-06    2.47295175e+00    2.06555026e-01
266      2.23330465e-06    2.48625759e+00    1.99211411e-01
267      2.24004225e-06    2.49510840e+00    1.94415953e-01
268      2.25351745e-06    2.49938947e+00    1.92177358e-01
269      2.26699266e-06    2.48576427e+00    1.99451069e-01
270      2.28046786e-06    2.45433043e+00    2.17344879e-01
271      2.29394306e-06    2.40531314e+00    2.48394086e-01
272      2.30741827e-06    2.33906357e+00    2.98288476e-01
273      2.32089347e-06    2.25605636e+00    3.79264770e-01
274      2.32301324e-06    2.24151053e+00    3.96529348e-01
